nama_hotel,melati,alamat,jumlah_kamar,no_telepon
WISMA SETRASARI,2,Jl. Prof. Surya Sumantri No. 10,24,2005677
OTTEN INN,2,Jl. Otten No. 28 Bandung,8,-
ACHINO,3,Jl. Moch. Ramdhan No. 98,39,52229966
AMARIS,3,Jl. Cimanuk No. 14,60,4209984
ARWIGA & CONVENTION,3,Jl. Sederhana No. 53,30,2039992
AMAIA FAMILY HOTEL/CHARA,3,Jl. Jend. Gatot Subrotoi No. 31,31,-
CV. MANDIRI BERKAH LESTARI/ AMALIA PASTEUR HOTEL,3,Jl. Cibogo No. 81,-,-
AUGUSTA VALLEY,3,Jl. Cipaku I No. 19,-,-
BANDUNG PERMAI,3,Jl. Jend. A. Yani No. 308,30,7204790
BARITO SHINTA,3,Jl. WR Supratman No. 23,30,7278829
BENUA,3,Jl. Pel. Pejuang 45 No. 111,36,7321708
BEVERLY HILLS,3,Jl. Sangkuriang No. 15,6,2534899
BOULEVARD,3,Jl. Pelajar Pejuang 45 No. 106,30,-
BUKIT DAGO MILENIUM,3,Jl. Ir. H. Juanda No. 331,74,2505943
BUMI KITRI PRAMUKA,3,Jl. Cikutra No. 09/02,52,7216913
CV. ANUGRAH DAMAI ABADI /RIO HOTEL,3,Jl. Martadinata No. 160,33,-
CARYOTA,3,Jl. Sukajadi No. 169,32,2032581
CASA D'LADERA,3,Jl. Dr. Setiabudhi No. 224,57,2012491
CASSADUA,3,Jl. Cassa No. 2,38,2006370
CHRISANTA,3,Jl. Pasteur No. 35,35,4237733
CHARA,3,Jl. Gatot Subroto No. 31,-,-
CIHAMPELAS 1,3,Jl. Cihampelas No. 240,18,2037281
CIHAMPELAS 2,3,Jl. Cihampelas No. 222,26,2035374
CORSICA,3,Jl. WR Supratman No. 43A,36,7271363
CUNA,3,Jl. Mustang 82 No. 1 A,9,-
D'Art,3,Jl. Dr. Setiabudhi No. 268,15,-
EDELWEISS,3,Jl. Sukajadi No. 206,20,2032369
EXELLENT SEVEN DEWATA SKY,3,Jl. Dr. Ehrlich No. 7,20,-
GRAND MALABAR,3,Jl. Malabar No. 2 Bandung,40,-
GKPRI LENGKONG,3,Jl. Lengkong Besar No. 4,24,70823618
GOTHIC,3,Jl. Cijaura Girang/Sukarno Hata,12,7511464
GRAGE,3,Jl. Cijagra II No. 12,24,7304049
GRAHA SARTIKA,3,Jl. Pel. Pejuang 45 No. 42,18,7312516
GRAND PASIFIK,3,Jl. Pasirkaliki No. 100,-,-
GRAND SOVIA/PT. KANA INDAH,3,Jl. Kebon Kawung No. 16,-,-
GRAND KOPO,3,Jl. Kopo ,27,-
GRAHA CIUMBULEUIT,3,Jl. Cimbuleuit No. 156,125,-
GUCI,3,Jl. Pasirkaliki No. 53,50,6015053
HARMONY INN,3,Jl. Talaga Bodas No. 23,19,7317757
HYPER INN,3,Jl. Paskal Hyper Square Blok D29-32,55,-
ILOS,3,Jl. Bbk. Jeruk III No. 37-39,26,2020764
JELITA PARAHYANGAN,3,Jl. Pasirkaliki No. 61,53,6031133
JF HOTEL,3,Jl Cihampelas,16,-
KAGUM GUEST HOUSE,3,Jl. Hegarsari II no. 15,17,-
KANIRA,3,Jl. Pel. Pejuang 45 No. 10,34,7316283
KARMILA,3,Jl. Ir. H. Juanda No. 32,38,4206778
KARTIKA,3,Jl. RE Martadinata No. 144A,43,7271670
KENANGAN,3,Jl. Kebon Sirih No. 4,18,4213244
LATIEF INN,3,Jl. Natuna no. 16,28,-
LEBAK GUNUNG INDAH,3,Jl. Dr. Setiabudhi No. 418,40,2013515
LEBAK GUNUNG PERMAI,3,Jl. Dr. Setiabudhi No. 414,31,2010960
LOTUS HOTEL,3,Jl. Tubagus Ismail VIII No.43,-,-
MAGNOLIA BED & RESIDENCE,3,Jl. Sindang Sirna II No. 363,11,-
MONTAMERI,3,Pelajar Pejuang 45 No. 77,-,-
MARALA,3,Jl. Pel. Pejuang 45 No. 114-116,32,7307716
MY 3 GUEST HOUSE,3,Jl. Maulana Yusuf No. 3,14,4238220
NARAPATI,3,Jl. Pel. Pejuang 45 No. 33-35,17,7303376
NIRMALA,3,Jl. Cipaganti No. 150,21,2031318
NYLAND I,3,Jl. Cipaganti No. 14,26,4239560
NYLAND II,3,Jl. Dr. Junjunan No. 125,75,6074518
NYLAND III,3,Jl. Kembar Indah No. 1,22,5202688
PT. BAGUS RONO WIDI/ GEGERKALONG ASRI,3,Jl. Gegerkalong Hilir No. 126,-,-
PADASUKA,3,Jl. Dr. Setiabudhi No. 337,30,2016559
PALEM,3,Jl. Blk. Pasar No. 117,19,4236277
PERMATA INDAH,3,Jl. Pasirkaliki No. 90,16,4205996
