skpd_terlapor,januari_2015,februari_2015,maret_2015,april_2015,mei_2015,juni_2015,juli_2015,agustus_2015,september_2015,oktober_2015,november_2015,desember_2015
"Kecamatan Sukajadi, Kota Bandung",1,0,0,1,2,0,1,0,1,2,1,1
"Kecamatan Sukasari, Kota Bandung",2,0,4,0,0,2,0,1,1,0,1,1
"Kecamatan Sumur Bandung, Kota Bandung",2,0,0,3,3,0,1,0,1,1,3,0
"Kecamatan Ujungberung, Kota Bandung",0,1,2,0,4,0,2,1,1,0,4,2
Kementerian Agama,0,0,0,0,0,0,0,0,0,0,0,0
Kementerian Dalam Negeri,0,0,0,0,0,0,0,0,0,0,1,0
Kodim 0618/BS Kota Bandung,0,1,0,0,0,0,0,0,0,0,0,0
PD BPR Kota Bandung,0,1,1,0,4,12,2,1,0,0,0,0
PD Kebersihan Kota Bandung,10,1,7,11,5,4,7,3,4,2,8,4
PD Pasar Bermartabat Kota Bandung,3,1,3,1,0,7,3,1,2,3,0,2
PDAM Tirta Wening Kota Bandung,24,11,24,16,5,17,6,9,21,35,11,16
Pemerintah Kota Bandung,1,0,0,0,0,0,0,0,0,0,0,0
Polrestabes Bandung,0,0,0,0,0,0,0,0,0,0,0,0
PT Pertamina,0,1,0,0,0,0,0,0,0,0,0,0
Rumah Sakit Khusus Gigi dan Mulut (RSKGM) Kota Bandung,0,0,0,0,1,0,1,2,2,3,1,1
Rumah Sakit Umum Daerah Kota Bandung (RSUD),1,1,0,1,3,0,0,2,1,1,4,1
Satuan Polisi Pamong Praja Kota Bandung,37,28,24,16,13,28,20,17,18,21,10,14
Sekretariat DPRD Kota Bandung,0,0,1,1,0,0,0,0,0,0,0,0
