KODE REKENING,URAIAN,JUMLAH,DASAR HUKUM
1.20 . 1.20.04 . 00 . 00 . 5,BELANJA,96273237146,
1.20 . 1.20.04 . 00 . 00 . 5 . 1,BELANJA TIDAK LANGSUNG,8296396666,
1.20 . 1.20.04 . 00 . 00 . 5 . 1 . 1,Belanja Pegawai,8296396666,PP 12 Tahun 2006 ttg Tunjangan Umum bagi PNS
1.20 . 1.20.04 . 01 . 01 . 5 . 2,BELANJA LANGSUNG,87976840480,
1.20 . 1.20.04 . 01,Program Pelayanan Administrasi Perkantoran,14772139420,
1.20 . 1.20.04 . 01 . 01,Penyediaan jasa surat menyurat,207944000,
1.20 . 1.20.04 . 01 . 01 . 5 . 2 . 1,Belanja Pegawai,131544000,
1.20 . 1.20.04 . 01 . 01 . 5 . 2 . 2,Belanja Barang dan Jasa,76400000,
1.20 . 1.20.04 . 01 . 02,Penyediaan jasa komunikasi sumber daya air dan listrik,2740000000,
1.20 . 1.20.04 . 01 . 02 . 5 . 2 . 2,Belanja Barang dan Jasa,2740000000,
1.20 . 1.20.04 . 01 . 03,Penyediaan jasa peralatan dan perlengkapan kantor,577365000,
1.20 . 1.20.04 . 01 . 03 . 5 . 2 . 1,Belanja Pegawai,55290000,
1.20 . 1.20.04 . 01 . 03 . 5 . 2 . 2,Belanja Barang dan Jasa,522075000,
1.20 . 1.20.04 . 01 . 06,Penyediaan jasa pemeliharaan dan perizinan kendaraan dinas/operasional,161300000,
1.20 . 1.20.04 . 01 . 06 . 5 . 2 . 1,Belanja Pegawai,28325000,
1.20 . 1.20.04 . 01 . 06 . 5 . 2 . 2,Belanja Barang dan Jasa,132975000,
1.20 . 1.20.04 . 01 . 08,Penyediaan jasa kebersihan kantor,2634248720,
1.20 . 1.20.04 . 01 . 08 . 5 . 2 . 1,Belanja Pegawai,47625000,
1.20 . 1.20.04 . 01 . 08 . 5 . 2 . 2,Belanja Barang dan Jasa,2586623720,
1.20 . 1.20.04 . 01 . 10,Penyediaan alat tulis kantor,611025000,
1.20 . 1.20.04 . 01 . 10 . 5 . 2 . 1,Belanja Pegawai,11025000,
1.20 . 1.20.04 . 01 . 10 . 5 . 2 . 2,Belanja Barang dan Jasa,600000000,
1.20 . 1.20.04 . 01 . 11,Penyediaan barang cetakan dan penggandaan,675500000,
1.20 . 1.20.04 . 01 . 11 . 5 . 2 . 1,Belanja Pegawai,20838000,
1.20 . 1.20.04 . 01 . 11 . 5 . 2 . 2,Belanja Barang dan Jasa,654662000,
1.20 . 1.20.04 . 01 . 12,Penyediaan komponen instalasi listrik/penerangan bangunan kantor,227875000,
1.20 . 1.20.04 . 01 . 12 . 5 . 2 . 1,Belanja Pegawai,7875000,
1.20 . 1.20.04 . 01 . 12 . 5 . 2 . 2,Belanja Barang dan Jasa,220000000,
1.20 . 1.20.04 . 01 . 15 . 5 . 2 . 1,Penyediaan bahan bacaan dan peraturan perundang-undangan,445127000,
1.20 . 1.20.04 . 01 . 15 . 5 . 2 . 2,Belanja Pegawai,35808000,
1.20 . 1.20.04 . 01 . 15 . 5 . 2 . 3,Belanja Barang dan Jasa,209319000,
1.20 . 1.20.04 . 01 . 17,Belanja Modal,200000000,
1.20 . 1.20.04 . 01 . 17 . 5 . 2 . 2,Penyediaan makanan dan minuman,2090000000,
1.20 . 1.20.04 . 01 . 18,Belanja Pegawai,50244000,
1.20 . 1.20.04 . 01 . 18 . 5 . 2 . 1,Belanja Barang dan Jasa,2039756000,
1.20 . 1.20.04 . 01 . 20,Rapat-rapat koordinasi dan konsultasi ke luar daerah,1026189700,
1.20 . 1.20.04 . 01 . 20 . 5 . 2 . 1,Belanja Pegawai,14985000,
1.20 . 1.20.04 . 01 . 20 . 5 . 2 . 2,Belanja Barang dan Jasa,1011204700,
1.20 . 1.20.04 . 02 . 05,Penyediaan Jasa Pengamanan Kantor,3375565000,
1.20 . 1.20.04 . 02 . 05 . 5 . 2 . 1,Belanja Pegawai,52965000,
1.20 . 1.20.04 . 02 . 05 . 5 . 2 . 3,Belanja Barang dan Jasa,3322600000,
1.20 . 1.20.04 . 02 . 06 . 5 . 2 . 1,Program Peningkatan Sarana dan Prasarana Aparatur,32088025000,
1.20 . 1.20.04 . 02 . 06 . 5 . 2 . 3,pengadaan Kendaraan dinas/operasional,865000000,
1.20 . 1.20.04 . 02 . 07,Belanja Pegawai,10000000,
1.20 . 1.20.04 . 02 . 07 . 5 . 2 . 1,Belanja Modal,855000000,
1.20 . 1.20.04 . 02 . 07 . 5 . 2 . 3,Pengadaan perlengkapan rumah jabatan/dinas,1083900000,
1.20 . 1.20.04 . 02 . 10,Belanja Pegawai,38300000,
1.20 . 1.20.04 . 02 . 10 . 5 . 2 . 1,Belanja Barang dan Jasa,40600000,
1.20 . 1.20.04 . 02 . 10 . 5 . 2 . 3,Belanja Modal,1005000000,
