skpd,tahun,total_usulan,usulan_diakomodir,dana_diakomodir,usulan_tdk_diakomodir,dana_tdk_diakomodir,total_dana_usulan
Dinas Kesehatan,2015,487,257,18008957350,230,18236201503,36245158853
Dinas Bina Marga dan Pengairan,2015,2721,194,52373740000,2527,929134153250,981507893250
Dinas Pencegahan dan Penanggulangan Kebakaran,2015,29,10,470575000,19,1627500000,2098075000
Dinas Pemakaman dan Pertamanan,2015,141,82,6105500000,59,10708200000,16813700000
Dinas Tata Ruang dan Cipta Karya,2015,1284,346,29232677245,938,79792633040,109025310285
Dinas Perhubungan,2015,31,25,613500000,6,1060000000,1673500000
Badan Pengelola Lingkungan Hidup,2015,240,152,8441800000,88,11453800000,19895600000
Dinas Pemuda dan Olahraga,2015,228,58,1302150000,170,14238670000,15540820000
Dinas Kependudukan dan Pencatatan Sipil,2015,17,15,300000000,2,170000000,470000000
Badan Pemberdayaan Perempuan dan KB,2015,35,28,569000000,7,2687100000,3256100000
Dinas Sosial,2015,87,25,1423250000,62,2283840000,3707090000
Dinas Tenaga Kerja,2015,181,44,2108500000,137,7017850000,9126350000
Dinas Koperasi  Usaha Kecil Menengah dan  Perindustrian Perdagangan,2015,124,55,2383800000,69,8166500000,10550300000
Badan Kesatuan Bangsa dan Pemberdayaan Masyarakat,2015,106,2,150000000,104,5866530000,6016530000
Kantor Satuan Polisi Pamong Praja,2015,62,51,3622575000,11,55233700000,58856275000
Dinas Kebudayaan dan Pariwisata,2015,255,0,0,255,6014720000,6014720000
Kantor Perpustakaan dan Arsip Daerah,2015,15,0,0,15,529200000,529200000
Dinas Komunikasi dan Informatika,2015,25,4,513000000,21,1564800000,2077800000
Dinas Pertanian dan Ketahanan Pangan,2015,107,86,3971000000,21,897060000,4868060000
Dinas Pendidikan,2015,460,205,21533870000,255,16186630000,37720500000
Dinas Pengelolaan Keuangan dan Aset Daerah,2015,160,53,102028000000,107,205473350000,307501350000
SETDA Bag. Pemerintahan Umum,2015,39,0,0,39,127684900000,127684900000
SETDA Bag. Hukum dan HAM,2015,9,5,165000000,4,34875000,199875000
