kelompok_pengeluaran_inflasi,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember
Bahan Makanan,0.89,-0.59,-1.18,-0.31,-0.38,0.15,2.14,0.18,-1.12,0.5,1.83,1.5
"Makanan Jadi, Rokok dan tembakau",0.01,0.11,0.09,0.01,0.38,0.47,0.07,0.33,0.18,0.21,0.08,0.21
"Perumahan, Air, Listrik, Gas dan Bahan Bakar",0.07,0.04,0.15,0.11,0.02,0.05,0.03,0.01,0.04,0.37,0.12,1.66
Sandang,0.03,-0.06,-0.01,0.14,0.67,0,0.36,0.98,0.03,-0.68,0.03,0.58
Kesehatan,0.18,0.15,0.07,0.07,2.08,0.53,-0.04,0.04,0.01,0,0.09,0
Pendidikan,-0.06,0,2.01,-0.02,-0.06,0.14,0.04,2.28,0.17,0,0,0.04
Transport dan Komukasi,0.6,0.32,0.33,0.09,0.16,-0.02,-0.06,0.35,-0.02,-0.15,-0.02,-0.01
Umum,0.32,-0.05,-0.01,-0.02,0.12,0.17,0.51,0.38,-0.2,0.19,0.47,0.84
