NO,KELURAHAN,JUMLAH
1,BALONGGEDE,1472
2,PUNGKUR,2196
3,CIATEUL,1743
4,CIGERELENG,1444
5,ANCOL,2733
6,CISEUREUH,4559
7,PASIRLUYU,7783
,JUMLAH TOTAL,21930
