BULAN,Kutipan Kedua Kali Akta Kelahiran,Kutipan Kedua Kali Akta Kematian,Kutipan Kedua Kali Akta Perkawinan,Kutipan Kedua Kali Akta Perceraian
Januari,0,0,0,0
Februari,86,0,2,0
Maret,101,1,5,0
April,135,2,2,0
Mei,137,2,2,1
Juni,198,0,2,0
Juli,132,1,3,0
Agustus,160,2,5,0
September,192,0,3,0
Oktober,149,3,3,0
November,149,4,5,0
Desember,158,7,2,0
