tahun,bulan,jumlah_kebakaran,benda_yang_terbakar_bangunan_perumahan,benda_yang_terbakar_pasar,benda_yang_terbakar_bangunan_industri,benda_yang_terbakar_shoping_centre,benda_yang_terbakar_bangunan_umum,benda_yang_terbakar_lain-lain,penyebab_kebakaran_kompor,penyebab_kebakaran_lampu_tempel,penyebab_kebakaran_listrik,penyebab_kebakaran_rokok,penyebab_kebakaran_lain_lain,jumlah_yang_terbakar_bangunan_perumahan,jumlah_yang_terbakar_kios,jumlah_yang_terbakar_bangunan_industri,jumlah_yang_terbakar_shoping_centre,jumlah_yang_terbakar_lain-lain,korban_mati,korban_luka,mobil_yang_bertugas,penggunaan_air_pdam_m3,penggunaan_air_lain-lain_m3,areal_kebakaran_m2,bangunan_terselamatkan,taksiran_jumlah_kerugian_rp
2011,JANUARI,3,1,-,1,-,1,-,-,-,1,-,2,1,-,1,-,-,-,-,7,32,-,625,3,275000000
2011,FEBRUARI,1,-,-,1,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,5,8,-,90,-,100000000
2011,MARET,5,3,-,-,-,2,-,-,-,5,-,-,8,-,-,-,1,-,-,14,84,-,829,10,660000000
2011,APRIL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2011,MEI,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2011,JUNI,2,1,-,1,-,-,-,-,-,2,-,-,1,-,1,-,-,-,-,8,12,-,16,3,30000000
2011,JULI,1,1,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,4,4,-,8,3,5000000
2011,AGUSTUS,4,2,-,1,-,1,-,-,-,1,-,3,2,-,1,-,-,-,-,11,132,-,1382,6,1910000000
2011,SEPTEMBER,4,1,-,-,-,2,1,-,-,2,-,2,1,-,-,-,1,1,-,7,12,-,1149,3,165000000
2011,OKTOBER,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2011,NOPEMBER,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2011,DESEMBER,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
