NO,NAMA POSYANDU,ALAMAT POSYANDU,TINGKATAN STRATA
1.,Melati,Rancasagatan Rt. 01 Rw. 01,Madya
2.,Kenanga,Cisaranten Kidul Rw. 02,Madya
3.,Delima,Gedebage Rt. 03 Rw. 03,Madya
4.,Nusa Indah,Rancapacing Rt. 01 Rw. 04,Madya
5.,Mawar,Gedebage TengahRt. 03 Rw. 05,Mandiri
6.,Kemuning A,Arisandi Rt. 03 Rw. 06,Purnama
7.,Kemuning B,Cisaranten Kidul Rt. 01 Rw. 06,Purnama
8.,Bugenfil,Cisaranten Kidul Rt. 02 Rw. 07,Madya
9.,Anggrek A,Rancakamurang Rt. 02 Rw. 08,Purnama
10.,Anggrek B,Rancakamurang Rt. 04 Rw. 08,Purnama
11.,Sakura A,Jl. Riung Wulan No. 3 Rw. 09,Madya
12.,Sakura B,Riung Karya Juang III/7 Rw. 09,Madya
13.,Sakura C,Riung Subur I B No. 77 Rw. 09,Madya
14.,Bunga Lili,Riung Asri No. 10 Rw. 010,Madya
15.,Aster,Cisaranten Kidul  Rw. 011,Mandiri
16.,Teratai A,Jl. Riung Mungpulung VI/6Rw. 12,Madya
17.,Teratai B,Cisaranten Kidul Rw. 12,Purnama
18.,Sedap Malam,Cisaranten Kidul Rw. 13,Purnama
19.,Flamboyan,Cisaranten Kidul Rw. 14,Madya
20.,Edelweis,Cisaranten Kidul Rw. 15,Pratama
