"nomor_registrasi","alamat_lokasi","nama_kelurahan","nama_kecamatan"
"3433/KRK-DISTARCIP/IX-2016","KEBONJATI 139","Kebon Jeruk","Andir"
"3413/KRK-DISTARCIP/IX-2016","SUKAMANAH INDAH NO. 7","Kebon Jeruk","Andir"
"3412/KRK-DISTARCIP/IX-2016","SUKAMANAH INDAH NO. 8","Kebon Jeruk","Andir"
"3410/KRK-DISTARCIP/IX-2016","SUKAMANAH INDAH NO. 8","Kebon Jeruk","Andir"
"3388/KRK-DISTARCIP/IX-2016","SUKAMANAH INDAH NO. 6","Kebon Jeruk","Andir"
"3387/KRK-DISTARCIP/IX-2016","SUKAMANAH INDAH NO. 5","Kebon Jeruk","Andir"
"3386/KRK-DISTARCIP/IX-2016","SUKAMANAH INDAH NO. 4","Kebon Jeruk","Andir"
"3385/KRK-DISTARCIP/IX-2016","SUKAMANAH INDAH NO. 3","Kebon Jeruk","Andir"
"3234/KRK-DISTARCIP/VIII-2016","DULATIF","Kebon Jeruk","Andir"
"2657/KRK-DISTARCIP/VII-2016","SARITEM NO.5","Kebon Jeruk","Andir"
"2473/KRK-DISTARCIP/VI-2016","TAMIM NO. 23","Kebon Jeruk","Andir"
"4881/KRK-DISTARCIP/XII-2016","ELANG VIII NO 26","Maleber","Andir"
"4735/KRK-DISTARCIP/XI-2016","SRI GUNTING BARAT 24","Maleber","Andir"
"4559/KRK-DISTARCIP/XI-2016","JENDRAL SUDIRMAN","Maleber","Andir"
"4521/KRK-DISTARCIP/XI-2016","MALEBER BARAT","Maleber","Andir"
"4207/KRK-DISTARCIP/X-2016","MALEBER UTARA / KOMP. MALTRA RECIDENCE KAV. 4","Maleber","Andir"
"3779/KRK-DISTARCIP/IX-2016","SRIGUNTING BARAT KAV.24 NO.14","Maleber","Andir"
"3736/KRK-DISTARCIP/IX-2016","BELIBIS","Maleber","Andir"
"3400/KRK-DISTARCIP/IX-2016","INPRES","Maleber","Andir"
"3373/KRK-DISTARCIP/IX-2016","JENDRAL SUDIRMAN NO. 826","Maleber","Andir"
"3342/KRK-DISTARCIP/IX-2016","JL.ELANG VII NO.17 BANDUNG","Maleber","Andir"
