"nomor_registrasi","alamat_lokasi","nama_kelurahan","nama_kecamatan"
"2863/KRK-DISTARCIP/VIII-2016","DARMA RAJA NO.9","Mekar Wangi","Bojongloa Kidul"
"2813/KRK-DISTARCIP/VIII-2016","MEKAR JELITA 11","Mekar Wangi","Bojongloa Kidul"
"2734/KRK-DISTARCIP/VII-2016","MEKAR SEJATI NO 21","Mekar Wangi","Bojongloa Kidul"
"2715/KRK-DISTARCIP/VII-2016","TAMAN MEKAR KENCANA NO.48","Mekar Wangi","Bojongloa Kidul"
"2509/KRK-DISTARCIP/VI-2016","MEKAR UTAMA NO.3A","Mekar Wangi","Bojongloa Kidul"
"5226/KRK-DISTARCIP/XII-2016","KOPO NO. 311","Situsaer","Bojongloa Kidul"
"4995/KRK-DISTARCIP/XII-2016","GG. NYENGSERET SELATAN 380","Situsaer","Bojongloa Kidul"
"4994/KRK-DISTARCIP/XII-2016","BLOK. PERUMNAS CIJERAH KAV. 28.(BLOK 04)","Situsaer","Bojongloa Kidul"
"4941/KRK-DISTARCIP/XII-2016","KOPO NO 215","Situsaer","Bojongloa Kidul"
"4845/KRK-DISTARCIP/XII-2016","LEUWISARI VI.(UJUNG) JL.KEBON LEGA-LEUWI PANJANG","Situsaer","Bojongloa Kidul"
"4806/KRK-DISTARCIP/XII-2016","LEUWI PANJANG NO. 193","Situsaer","Bojongloa Kidul"
"4682/KRK-DISTARCIP/XI-2016","SOEKARNO - HATTA NO.187 A / KARASAK TIMUR","Situsaer","Bojongloa Kaler"
"4802/KRK-DISTARCIP/XII-2016","LEUWI PANJANG","Situsaer","Bojongloa Kidul"
"4561/KRK-DISTARCIP/XI-2016","KOPO NO. 215","Situsaer","Bojongloa Kidul"
"4073/KRK-DISTARCIP/X-2016","GG. CITARIP TIMUR I NO. 16A","Situsaer","Bojongloa Kidul"
"4006/KRK-DISTARCIP/X-2016","GG.H.MUKTI 77A","Situsaer","Bojongloa Kidul"
"3993/KRK-DISTARCIP/X-2016","GG H. SAMSUDIN","Situsaer","Bojongloa Kidul"
"3959/KRK-DISTARCIP/X-2016","K.H.WAHID HASJIM NO.127","Situsaer","Bojongloa Kidul"
"3861/KRK-DISTARCIP/X-2016","GG. BAKTI 2 NO. 153","Situsaer","Bojongloa Kidul"
"3791/KRK-DISTARCIP/IX-2016","MUARA BARU I NO.16","Situsaer","Bojongloa Kidul"
"3034/KRK-DISTARCIP/VIII-2016","NYENGSERET UTARA NO. 186B / 198B","Situsaer","Bojongloa Kidul"
"3690/KRK-DISTARCIP/IX-2016","LEUWIPANJANG","Situsaer","Bojongloa Kidul"
"2899/KRK-DISTARCIP/VIII-2016","LEUWI ANYAR IV C-13","Situsaer","Bojongloa Kidul"
"2845/KRK-DISTARCIP/VIII-2016","KOPO NO 161","Situsaer","Bojongloa Kidul"
"2729/KRK-DISTARCIP/VII-2016","KOPO NO. 311","Situsaer","Bojongloa Kidul"
"5114/KRK-DISTARCIP/XII-2016","BATU PERMATA II KAV 9","Cijaura","Buahbatu"
"5017/KRK-DISTARCIP/XII-2016","KENCANA ARUM V BLOK S","Cijaura","Buahbatu"
"4945/KRK-DISTARCIP/XII-2016","KOMP.BUNGA BAKUNG KAV A-110","Cijaura","Buahbatu"
"4931/KRK-DISTARCIP/XII-2016","BUNGA BAKUNG VI NO. 12","Cijaura","Buahbatu"
"4913/KRK-DISTARCIP/XII-2016","TRS. CIWASTRA","Cijaura","Buahbatu"
"4843/KRK-DISTARCIP/XII-2016","MARGAWANGI SELATAN V","Cijaura","Buahbatu"
"4762/KRK-DISTARCIP/XI-2016","MARGAPURI II NO.4 KOTA BANDUNG","Cijaura","Buahbatu"
"4705/KRK-DISTARCIP/XI-2016","GG.MARGACINTA III NO.55 KOTA BANDUNG","Cijaura","Buahbatu"
"4649/KRK-DISTARCIP/XI-2016","CIWASTRA NO. 10","Cijaura","Buahbatu"
"4433/KRK-DISTARCIP/XI-2016","CIJAWURA HILIR NO. 212","Cijaura","Buahbatu"
"4430/KRK-DISTARCIP/XI-2016","KENCANA WANGI","Cijaura","Buahbatu"
"4324/KRK-DISTARCIP/XI-2016","KO. BUNGA BAKUNG A - 07","Cijaura","Buahbatu"
"4156/KRK-DISTARCIP/X-2016","KENCANA ARUM V BLOK S NO 1 H","Cijaura","Buahbatu"
"3860/KRK-DISTARCIP/X-2016","KENCANA ARUM V","Cijaura","Buahbatu"
"3859/KRK-DISTARCIP/X-2016","KENCANA ARUM V NO. 3","Cijaura","Buahbatu"
"3858/KRK-DISTARCIP/X-2016","BLOK RANCAMALANG KOTA BNDUNG","Cijaura","Buahbatu"
"3827/KRK-DISTARCIP/X-2016","MARGAWANGI I NO. 84","Cijaura","Buahbatu"
"3729/KRK-DISTARCIP/IX-2016","TERUSAN CIWASTRA NO. 3","Cijaura","Buahbatu"
"3402/KRK-DISTARCIP/IX-2016","KENCANA ARUM VI","Cijaura","Buahbatu"
"3327/KRK-DISTARCIP/IX-2016","MARGA KENCANA SELATAN 55","Cijaura","Buahbatu"
"3235/KRK-DISTARCIP/VIII-2016","MARGA KENCANA SELATAN NO. 56","Cijaura","Buahbatu"
"3208/KRK-DISTARCIP/VIII-2016","ANGGARAN III","Cijaura","Buahbatu"
"3078/KRK-DISTARCIP/VIII-2016","BUNGA BAKUNG I","Cijaura","Buahbatu"
"2955/KRK-DISTARCIP/VIII-2016","KAV .DPR 26","Cijaura","Buahbatu"
"2954/KRK-DISTARCIP/VIII-2016","KAV DPR 26","Cijaura","Buahbatu"
"2951/KRK-DISTARCIP/VIII-2016","KVR DPR 26","Cijaura","Buahbatu"
"2948/KRK-DISTARCIP/VIII-2016","KAV DPR 26","Cijaura","Buahbatu"
"2736/KRK-DISTARCIP/VII-2016","MARGA ASRI II","Cijaura","Buahbatu"
"2587/KRK-DISTARCIP/VII-2016","PLATINA NO.16","Cijaura","Buahbatu"
"2463/KRK-DISTARCIP/VI-2016","HJ. RATNAMAH NO. 14","Cijaura","Buahbatu"
"4930/KRK-DISTARCIP/XII-2016","KAWALUYAAN INDAH XX NO. 32","Jati Sari","Buahbatu"
"4859/KRK-DISTARCIP/XII-2016","SOEKARNO HATTA BLOK F NO. 5","Jati Sari","Buahbatu"
"4803/KRK-DISTARCIP/XII-2016","KAWALUYAAN NO. 32","Jati Sari","Buahbatu"
"4673/KRK-DISTARCIP/XI-2016","KAWALUYAAN INDAH XI NO.22","Jati Sari","Buahbatu"
"4314/KRK-DISTARCIP/XI-2016","SOEKARNO HATTA 665 ( BLOK CIDURIAN )","Jati Sari","Buahbatu"
"4246/KRK-DISTARCIP/X-2016","PERMATA KAWALUYAAN D-3","Jati Sari","Buahbatu"
"4171/KRK-DISTARCIP/X-2016","KAWALUYAAN INDAH IV NO. 20","Jati Sari","Buahbatu"
"4166/KRK-DISTARCIP/X-2016","KAWALUYAAN INDAH IV NO. 18","Jati Sari","Buahbatu"
"4164/KRK-DISTARCIP/X-2016","KAWALUYAAN INDAH IV NO. 11","Jati Sari","Buahbatu"
"4161/KRK-DISTARCIP/X-2016","KAWALUYAAN INDAH IV NO. 9","Jati Sari","Buahbatu"
"3866/KRK-DISTARCIP/X-2016","SEKEJATI","Jati Sari","Buahbatu"
"3647/KRK-DISTARCIP/IX-2016","SANGGAR KENCANA UTAMA","Jati Sari","Buahbatu"
"3607/KRK-DISTARCIP/IX-2016","ISTANA KAWALUYAAN II NO. 5","Jati Sari","Buahbatu"
"3560/KRK-DISTARCIP/IX-2016","KAWALUYAAN INDAH XX NO. 29","Jati Sari","Buahbatu"
"3264/KRK-DISTARCIP/VIII-2016","ISTANA KAWALUYAAN III NO.16","Jati Sari","Buahbatu"
"2941/KRK-DISTARCIP/VIII-2016","SOEKARNO HATTA 1/43","Jati Sari","Buahbatu"
"2937/KRK-DISTARCIP/VIII-2016","SANGGAR KENCANA XXVII NO.2","Jati Sari","Buahbatu"
"2808/KRK-DISTARCIP/VIII-2016","KAWALUYAAN INDAH NO-22/23","Jati Sari","Buahbatu"
"2795/KRK-DISTARCIP/VIII-2016","PALEM PUTRI NO.3","Jati Sari","Buahbatu"
"2582/KRK-DISTARCIP/VII-2016","KAWALUYAAN INDAH XIX NO 35 A","Jati Sari","Buahbatu"
"2660/KRK-DISTARCIP/VII-2016","KAWALUYAAN INDAH XV NO. 15","Jati Sari","Buahbatu"
"2453/KRK-DISTARCIP/VI-2016","KAWALUYAAN RAYA","Jati Sari","Buahbatu"
"5234/KRK-DISTARCIP/XII-2016","BAHAGIA PERMAI VIII NO. 5","Margasari","Buahbatu"
"5224/KRK-DISTARCIP/XII-2016","TAMAN PERSADA ASRI II BLOK V NO. 6","Margasari","Buahbatu"
"5130/KRK-DISTARCIP/XII-2016","KIARA SARI PERMAI III","Margasari","Buahbatu"
"5129/KRK-DISTARCIP/XII-2016","KIARASARI PERMAI V","Margasari","Buahbatu"
"5102/KRK-DISTARCIP/XII-2016","SMP 18 / SUKAMENAK IV NO. 111","Margasari","Buahbatu"
"5101/KRK-DISTARCIP/XII-2016","ANTAWANGI NO 22","Margasari","Buahbatu"
"5095/KRK-DISTARCIP/XII-2016","JALAN PROPELAT BARAT VI","Margasari","Buahbatu"
"5082/KRK-DISTARCIP/XII-2016","SATURNUS SELATAN IX NO. 5","Margasari","Buahbatu"
"5034/KRK-DISTARCIP/XII-2016","CIPAGALO GIRANG","Margasari","Buahbatu"
"5021/KRK-DISTARCIP/XII-2016","KIARA SARI II BLOK. SAYANG KAAK","Margasari","Buahbatu"
"4965/KRK-DISTARCIP/XII-2016","PROPELAT BARAT VI","Margasari","Buahbatu"
"4871/KRK-DISTARCIP/XII-2016","KP. CIPAGALO","Margasari","Buahbatu"
"4862/KRK-DISTARCIP/XII-2016","KIARASARI PERMAI III","Margasari","Buahbatu"
"4839/KRK-DISTARCIP/XII-2016","KP. MARGASARI","Margasari","Buahbatu"
"4817/KRK-DISTARCIP/XII-2016","RANCABOLANG","Margasari","Buahbatu"
"4810/KRK-DISTARCIP/XII-2016","KOMP. PROPELAT BARAT I","Margasari","Buahbatu"
"4737/KRK-DISTARCIP/XI-2016","TERUSAN CIWASTRA NO. 53 KOTA BANDUNG","Margasari","Buahbatu"
"4699/KRK-DISTARCIP/XI-2016","KIARASARI RAYA KAV 22","Margasari","Buahbatu"
"4677/KRK-DISTARCIP/XI-2016","MARGASARI NO. 221","Margasari","Buahbatu"
"4634/KRK-DISTARCIP/XI-2016","KOMP. CIWASTRA INDAH C 09 (BLOK BESEREANG BLOK L KAV. NO.9)","Margasari","Buahbatu"
"4586/KRK-DISTARCIP/XI-2016","H. SITI MARIAH NO. 144","Margasari","Buahbatu"
"4499/KRK-DISTARCIP/XI-2016","KAJIM","Margasari","Buahbatu"
"4510/KRK-DISTARCIP/XI-2016","MANJAHLEGA AMPEN","Margasari","Buahbatu"
"4405/KRK-DISTARCIP/XI-2016","GG.MARGALUYU X","Margasari","Buahbatu"
"4469/KRK-DISTARCIP/XI-2016","TERUSAN CIWASTRA","Margasari","Buahbatu"
"4457/KRK-DISTARCIP/XI-2016","RANCASAWO NO. 170","Margasari","Buahbatu"
"4455/KRK-DISTARCIP/XI-2016","SARIJATI II","Margasari","Buahbatu"
"4410/KRK-DISTARCIP/XI-2016","RANCASAWO","Margasari","Buahbatu"
"4381/KRK-DISTARCIP/XI-2016","BAHAGIA PERMAI I NO 23","Margasari","Buahbatu"
"4351/KRK-DISTARCIP/XI-2016","KIARA SARI PERMAI I","Margasari","Buahbatu"
"4327/KRK-DISTARCIP/XI-2016","KO. BANGUN MEGAH ABADI A-06","Margasari","Buahbatu"
"4308/KRK-DISTARCIP/XI-2016","JL CIWASTRA","Margasari","Buahbatu"
"4307/KRK-DISTARCIP/XI-2016","CIWASTRA","Margasari","Buahbatu"
"4298/KRK-DISTARCIP/XI-2016","BAHAGIA PERMAI VII NO. 21","Margasari","Buahbatu"
"4294/KRK-DISTARCIP/X-2016","KIARA SARI PERMAI IX NO. 4","Margasari","Buahbatu"
"4263/KRK-DISTARCIP/X-2016","PROPELAT BARAT VI","Margasari","Buahbatu"
"4081/KRK-DISTARCIP/X-2016","RANCABOLANG","Margasari","Buahbatu"
"4080/KRK-DISTARCIP/X-2016","RANCABOLANG","Margasari","Buahbatu"
"4060/KRK-DISTARCIP/X-2016","BAHAGIA PERMAI I NO. 39","Margasari","Buahbatu"
"4044/KRK-DISTARCIP/X-2016","BLOK MARGASARI (JALAN CIWASTRA NO. 169)","Margasari","Buahbatu"
"3954/KRK-DISTARCIP/X-2016","KIARASARI PERMAI I","Margasari","Buahbatu"
"2668/KRK-DISTARCIP/VII-2016","BLOK. CIPAGALO/BAHAGIA PERMAI","Margasari","Buahbatu"
"3844/KRK-DISTARCIP/X-2016","PLUTO UTARA II E 29 / 22","Margasari","Buahbatu"
"3817/KRK-DISTARCIP/X-2016","SATURNUS SELATAN III H-19/9","Margasari","Buahbatu"
"3733/KRK-DISTARCIP/IX-2016","CANDRA WULAN NO. 2 MUSTIKA HEGAR","Margasari","Buahbatu"
"3650/KRK-DISTARCIP/IX-2016","CIJAWURA GIRANG","Margasari","Buahbatu"
"3568/KRK-DISTARCIP/IX-2016","KIARASARI VII NO 76","Margasari","Buahbatu"
"1289/KRK-DISTARCIP/III-2016","MARGA MAKMUR","Margasari","Buahbatu"
"3486/KRK-DISTARCIP/IX-2016","SATURNUS SELATAN IX NO. 17","Margasari","Buahbatu"
"3302/KRK-DISTARCIP/IX-2016","CIPAGALO GIRANG","Margasari","Buahbatu"
"3260/KRK-DISTARCIP/VIII-2016","KIARASARI RAYA","Margasari","Buahbatu"
"3246/KRK-DISTARCIP/VIII-2016","MARGACINTA RAYA 246","Margasari","Buahbatu"
"3112/KRK-DISTARCIP/VIII-2016","PROPELAT BARAT II NO. 61","Margasari","Buahbatu"
"2950/KRK-DISTARCIP/VIII-2016","PROPELAT","Margasari","Buahbatu"
"2877/KRK-DISTARCIP/VIII-2016","KIARASARI PERMAI II NO.6","Margasari","Buahbatu"
"2842/KRK-DISTARCIP/VIII-2016","KP.CIPAGALO GIRANG 25/GG ABAH ALEH","Margasari","Buahbatu"
"2771/KRK-DISTARCIP/VIII-2016","KIARASARI VII","Margasari","Buahbatu"
"2688/KRK-DISTARCIP/VII-2016","RANCABOLANG NO. 5","Margasari","Buahbatu"
"2655/KRK-DISTARCIP/VII-2016","JL MARGALUYU BLOK LEUWIMUNDING","Margasari","Buahbatu"
"2654/KRK-DISTARCIP/VII-2016","JL MARGALUYU BLOK LEUWIMUNDING","Margasari","Buahbatu"
"2653/KRK-DISTARCIP/VII-2016","JL MARGALUYU BLOK LEUWIMUNDING","Margasari","Buahbatu"
"2652/KRK-DISTARCIP/VII-2016","JL MARGALUYU BLOK LEUWIMUNDING","Margasari","Buahbatu"
"2634/KRK-DISTARCIP/VII-2016","PLUTO UTARA NO. 23","Margasari","Buahbatu"
"2625/KRK-DISTARCIP/VII-2016","KIARA SARI PERMAI V NO. 4","Margasari","Buahbatu"
"2604/KRK-DISTARCIP/VII-2016","JALAN PROPELAT BARAT I","Margasari","Buahbatu"
"2561/KRK-DISTARCIP/VII-2016","BAKUNG ENDAH NO.25","Margasari","Buahbatu"
"2556/KRK-DISTARCIP/VII-2016","H, MUKTI. CIWASTRA","Margasari","Buahbatu"
"2555/KRK-DISTARCIP/VII-2016","H, MUKTI. CIWASTRA","Margasari","Buahbatu"
"2545/KRK-DISTARCIP/VI-2016","KP. BODOGOL","Margasari","Buahbatu"
"2493/KRK-DISTARCIP/VI-2016","JL. KIARA SARI VI","Margasari","Buahbatu"
"2492/KRK-DISTARCIP/VI-2016","KIARA SARI","Margasari","Buahbatu"
"5171/KRK-DISTARCIP/XII-2016","CIJAWURA GIRANG","Sekejati","Buahbatu"
"4926/KRK-DISTARCIP/XII-2016","SOEKARNO HATTA (KOMP. METRO INDAH MALL)","Sekejati","Buahbatu"
"4914/KRK-DISTARCIP/XII-2016","JUPITER BARAT 35 NO. 17","Sekejati","Buahbatu"
"4850/KRK-DISTARCIP/XII-2016","KP. RANCABOLANG","Sekejati","Buahbatu"
"4842/KRK-DISTARCIP/XII-2016","KOMP.KEMBANG PARE RESIDENCE A-23","Sekejati","Buahbatu"
"4841/KRK-DISTARCIP/XII-2016","KOMP.KEMBANG PARE RESIDENCE A-21","Sekejati","Buahbatu"
"4840/KRK-DISTARCIP/XII-2016","KOMP.KEMBANG PARE RESIDENCE A-24","Sekejati","Buahbatu"
"4800/KRK-DISTARCIP/XII-2016","CIDURIAN SELATAN NO. 8 / 21","Sekejati","Buahbatu"
"4582/KRK-DISTARCIP/XI-2016","CIJAWURA GIRANG 5 GG. SUMINTA","Sekejati","Buahbatu"
"4444/KRK-DISTARCIP/XI-2016","ANDROMEDA L-11 A/65","Sekejati","Buahbatu"
"4399/KRK-DISTARCIP/XI-2016","NEPTUNUS RAYA BARATA 14 NO. 11","Sekejati","Buahbatu"
"4384/KRK-DISTARCIP/XI-2016","YUPITER RAYA NO. 7","Sekejati","Buahbatu"
"4311/KRK-DISTARCIP/XI-2016","KOMP.KEMBANG PARE RESIDENCE B-6","Sekejati","Buahbatu"
"4304/KRK-DISTARCIP/XI-2016","CIDURIAN SELATAN NO. 98","Sekejati","Buahbatu"
"4135/KRK-DISTARCIP/X-2016","RANCABOLANG","Sekejati","Buahbatu"
"4114/KRK-DISTARCIP/X-2016","JUPITER BARAT H-II / 42","Sekejati","Buahbatu"
"4075/KRK-DISTARCIP/X-2016","CIJAWURA GIRANG II NO. 14","Sekejati","Buahbatu"
"3964/KRK-DISTARCIP/X-2016","KOMP. MARGAHAYU BARAT VIII A-8/02","Sekejati","Buahbatu"
"3894/KRK-DISTARCIP/X-2016","RADIOLOGY","Sekejati","Buahbatu"
"3658/KRK-DISTARCIP/IX-2016","MARGAHAYU RAYA BARAT VIII A13-24","Sekejati","Buahbatu"
"3856/KRK-DISTARCIP/X-2016","CIJAWURA GIRANG II JAYAGIRI UTARA NO.17(KAV.09)","Sekejati","Buahbatu"
"3826/KRK-DISTARCIP/X-2016","JUPITER SELATAN NO. 18","Sekejati","Buahbatu"
"3825/KRK-DISTARCIP/X-2016","JUPITER SELATAN NO. 11","Sekejati","Buahbatu"
"3798/KRK-DISTARCIP/IX-2016","GALAXY IV NO. 19 KOTA BANDUNG","Sekejati","Buahbatu"
"3773/KRK-DISTARCIP/IX-2016","KOMP. MARGAHAYU RAYA 197/ GALAXI SELATAN V","Sekejati","Buahbatu"
"3765/KRK-DISTARCIP/IX-2016","KOMP.KEMBANG PARE RESIDENCE C-20","Sekejati","Buahbatu"
"3764/KRK-DISTARCIP/IX-2016","KOMP.KEMBANG PARE RESIDENCE C-21","Sekejati","Buahbatu"
"3763/KRK-DISTARCIP/IX-2016","KOMP.KEMBANG PARE RESIDENCE C-20","Sekejati","Buahbatu"
"3762/KRK-DISTARCIP/IX-2016","KOMP.KEMBANG PARE RESIDENCE B-6","Sekejati","Buahbatu"
"3761/KRK-DISTARCIP/IX-2016","KOMP.KEMBANG PARE RESIDENCE C-23","Sekejati","Buahbatu"
"3760/KRK-DISTARCIP/IX-2016","KOMP.KEMBANG PARE RESIDENCE C-22","Sekejati","Buahbatu"
"3759/KRK-DISTARCIP/IX-2016","KOMP.KEMBANG PARE RESIDENCE B-5","Sekejati","Buahbatu"
"3610/KRK-DISTARCIP/IX-2016","JUPITER BARAT H II/41","Sekejati","Buahbatu"
"3455/KRK-DISTARCIP/IX-2016","RANCABOLANG NO. 180","Sekejati","Buahbatu"
"3225/KRK-DISTARCIP/VIII-2016","NEPTUNUS TIMUR NO. 66","Sekejati","Buahbatu"
"3075/KRK-DISTARCIP/VIII-2016","CIJAWURA GIRANG IV","Sekejati","Buahbatu"
"3035/KRK-DISTARCIP/VIII-2016","MARGAHAYU RAYA M-II NO. 62","Sekejati","Buahbatu"
"2997/KRK-DISTARCIP/VIII-2016","JUPITER 511/46","Sekejati","Buahbatu"
"2980/KRK-DISTARCIP/VIII-2016","JUPITER V BLOK E II NO.7","Sekejati","Buahbatu"
"2919/KRK-DISTARCIP/VIII-2016","CIJAWURA GIRANG II JAYAGIRI SELATAN NO.21(KAV.42)","Sekejati","Buahbatu"
"2895/KRK-DISTARCIP/VIII-2016","ANDROMEDA ASRI NO. 8","Sekejati","Buahbatu"
"2662/KRK-DISTARCIP/VII-2016","CIJAWURA GIRANG V","Sekejati","Buahbatu"
"2585/KRK-DISTARCIP/VII-2016","SATURNUS TIMUR I NO. 4","Sekejati","Buahbatu"
"2517/KRK-DISTARCIP/VI-2016","KOMP. MARGAHAYU RAYA BARAT BLOK R-II KAV. NO. 45","Sekejati","Buahbatu"
"5223/KRK-DISTARCIP/XII-2016","KP. CIPAHEUT LEGOK","Cigadung","Cibeunying Kaler"
"5181/KRK-DISTARCIP/XII-2016","BOJONG TENGAH 28","Cigadung","Cibeunying Kaler"
"5155/KRK-DISTARCIP/XII-2016","BLOK BOJONG KACOR/ JL. ALAMANDA NO. 7","Cigadung","Cibeunying Kaler"
"5148/KRK-DISTARCIP/XII-2016","CIGADUNG SELATAN VII KOMP. SELARAS BLOK JAMBI","Cigadung","Cibeunying Kaler"
"4996/KRK-DISTARCIP/XII-2016","KP. CIPAHEUT LEGOK","Cigadung","Cibeunying Kaler"
"4977/KRK-DISTARCIP/XII-2016","ALAM KANAYAKAN KAV 7","Cigadung","Cibeunying Kaler"
"4918/KRK-DISTARCIP/XII-2016","BOJONG KALER NO 17 B","Cigadung","Cibeunying Kaler"
"4852/KRK-DISTARCIP/XII-2016","CIGADUNG PESANTREN NO. 56","Cigadung","Cibeunying Kaler"
"4738/KRK-DISTARCIP/XI-2016","KAWISTA NO.10","Cigadung","Cibeunying Kaler"
"4684/KRK-DISTARCIP/XI-2016","CUKANG KAWUNG 21 O","Cigadung","Cibeunying Kaler"
"4658/KRK-DISTARCIP/XI-2016","CIGADUNG SELATAN 2","Cigadung","Cibeunying Kaler"
"4190/KRK-DISTARCIP/X-2016","CIGADUNG SELATAN VI","Cigadung","Cibeunying Kaler"
"4037/KRK-DISTARCIP/X-2016","KLIMATOLOGI 2 A","Cigadung","Cibeunying Kaler"
"3948/KRK-DISTARCIP/X-2016","CIGADUNG RAYA BARAT 3A RT. 005/02","Cigadung","Cibeunying Kaler"
"3847/KRK-DISTARCIP/X-2016","RANCAKENDAL NO. 96","Cigadung","Cibeunying Kaler"
"3796/KRK-DISTARCIP/IX-2016","CIGADUNG SELATAN X","Cigadung","Cibeunying Kaler"
"3598/KRK-DISTARCIP/IX-2016","CIGADUNG RAYA TENGAH/KOMP GREEN LAND K - 48","Cigadung","Cibeunying Kaler"
"3592/KRK-DISTARCIP/IX-2016","CIGADUNG RAYA TENGAH/KOMP GREEN LAND A - 6","Cigadung","Cibeunying Kaler"
"3591/KRK-DISTARCIP/IX-2016","CIGADUNG RAYA TENGAH/ KOMP GREEN LAND A - 5","Cigadung","Cibeunying Kaler"
"3590/KRK-DISTARCIP/IX-2016","CIGADUNG RAYA TENGAH/KOMP GREEN LAND A-4","Cigadung","Cibeunying Kaler"
"3588/KRK-DISTARCIP/IX-2016","CIGADUNG RAYA TENGAH/KOMP GREEN LAND A - 2","Cigadung","Cibeunying Kaler"
"3587/KRK-DISTARCIP/IX-2016","CIGADUNG RAYA TENGAH/KOMP GREEN LAND A - 1","Cigadung","Cibeunying Kaler"
"3569/KRK-DISTARCIP/IX-2016","CIGADUNG RAYA BARAT NO. 160","Cigadung","Cibeunying Kaler"
"3506/KRK-DISTARCIP/IX-2016","CIGADUNG RAYA TENGAH NO. 18 C","Cigadung","Cibeunying Kaler"
"3447/KRK-DISTARCIP/IX-2016","CIBEUNYING KOLOT 104","Cigadung","Cibeunying Kaler"
"3443/KRK-DISTARCIP/IX-2016","APEL NO.2","Cigadung","Cibeunying Kaler"
"3375/KRK-DISTARCIP/IX-2016","ALAM KANAYAKAN/ BLOK CIGADUNG","Cigadung","Cibeunying Kaler"
"3363/KRK-DISTARCIP/IX-2016","CIPAHEUT KIDUL","Cigadung","Cibeunying Kaler"
"3360/KRK-DISTARCIP/IX-2016","CIBEUNYING KOLOT I NO. 5","Cigadung","Cibeunying Kaler"
"3334/KRK-DISTARCIP/IX-2016","CIBEUNYING PERMAI I NO. 7","Cigadung","Cibeunying Kaler"
"3293/KRK-DISTARCIP/IX-2016","RANCAKENDAL NO.96","Cigadung","Cibeunying Kaler"
"3245/KRK-DISTARCIP/VIII-2016","CIGADUNG RAYA TENGAH/BLOK SEKEMIRUNG","Cigadung","Cibeunying Kaler"
"3209/KRK-DISTARCIP/VIII-2016","AKUTANSI NO.20","Cigadung","Cibeunying Kaler"
"3182/KRK-DISTARCIP/VIII-2016","AKUTANSI NO. 19 A","Cigadung","Cibeunying Kaler"
"3043/KRK-DISTARCIP/VIII-2016","DELTA 3 KAV. D","Cigadung","Cibeunying Kaler"
"2896/KRK-DISTARCIP/VIII-2016","KOMP. PERUMAHAN GREEN VALLEY (BLOK CIGADUNG TIMUR)","Cigadung","Cibeunying Kaler"
"2830/KRK-DISTARCIP/VIII-2016","CIGADUNG RAYA BARAT","Cigadung","Cibeunying Kaler"
"2822/KRK-DISTARCIP/VIII-2016","TETA 109","Cigadung","Cibeunying Kaler"
"2821/KRK-DISTARCIP/VIII-2016","CIBENYING PERMAI IV / 14","Cigadung","Cibeunying Kaler"
"2764/KRK-DISTARCIP/VII-2016","GANDARIA II","Cigadung","Cibeunying Kaler"
"2751/KRK-DISTARCIP/VII-2016","CIGADUNG RAYA TENGAH NO 18-D","Cigadung","Cibeunying Kaler"
"2752/KRK-DISTARCIP/VII-2016","CIGADUNG RAYA TENGAH NO. 18-A","Cigadung","Cibeunying Kaler"
"2594/KRK-DISTARCIP/VII-2016","CIGADUNG INDAH NO.14","Cigadung","Cibeunying Kaler"
"4651/KRK-DISTARCIP/XI-2016","JL SENTOT ALIBASYAH NO. 34 BANDUNG","Cihaurgeulis","Cibeunying Kaler"
"4611/KRK-DISTARCIP/XI-2016","BRIGJEND KATAMSO NO. 45","Cihaurgeulis","Cibeunying Kaler"
"4446/KRK-DISTARCIP/XI-2016","TERS. CISOKAN DLM 1-B","Cihaurgeulis","Cibeunying Kaler"
"4342/KRK-DISTARCIP/XI-2016","SUPRATMAN NO.72","Cihaurgeulis","Cibeunying Kaler"
"3695/KRK-DISTARCIP/IX-2016","MUARARAJEUN NO. 51","Cihaurgeulis","Cibeunying Kaler"
"3109/KRK-DISTARCIP/VIII-2016","SUPRATMAN NO. 76","Cihaurgeulis","Cibeunying Kaler"
"2995/KRK-DISTARCIP/VIII-2016","SUPRATMAN NO.104","Cihaurgeulis","Cibeunying Kaler"
"2922/KRK-DISTARCIP/VIII-2016","JL SUKALUYU I","Cihaurgeulis","Cibeunying Kaler"
"5144/KRK-DISTARCIP/XII-2016","CIKUTRA BARU NO. 30","Neglasari","Cibeunying Kaler"
"4718/KRK-DISTARCIP/XI-2016","PAHLAWAN NO. 64","Neglasari","Cibeunying Kaler"
"4337/KRK-DISTARCIP/XI-2016","CIKUTRA BARU VI","Neglasari","Cibeunying Kaler"
"3806/KRK-DISTARCIP/X-2016","SIMPANG PAHLAWAN NO. 16","Neglasari","Cibeunying Kaler"
"3418/KRK-DISTARCIP/IX-2016","CIKUTRA BARU VI","Neglasari","Cibeunying Kaler"
"3126/KRK-DISTARCIP/VIII-2016","TERS. CITRA GREEN GARDEN NO.25","Neglasari","Cibeunying Kaler"
"2981/KRK-DISTARCIP/VIII-2016","CIKUTRA BARU 1","Neglasari","Cibeunying Kaler"
"2758/KRK-DISTARCIP/VII-2016","CIKUTRA 219","Neglasari","Cibeunying Kaler"
"2156/KRK-DISTARCIP/VI-2016","CIKUTRA GG. NEGLASARI II","Neglasari","Cibeunying Kaler"
