NO,NAMA PERUSAHAAN,ALAMAT,JENIS USAHA,JUMLAH KARYAWAN,KELURAHAN,TAHUN BERDIRI
53,Hj. ELIS DAHLIA,Jl. Sridara No. 11 A,Konveksi,5 Orang,Cigereleng,2000
,,,,,,
54,BENNY SUDIARTA,Jl. Kembar II No. 4  ,Produksi Pakaian,4 Orang,Cigereleng,2000
,,,,,,
55,DAVID ARIANDY,Jl. Kembar TimuR III/ 2,Konveksi,7 Orang,Cigereleng,2002
,,,,,,
56,LIA YULIANTI,Jl. Sripohaci No. 16,Konveksi,7 Orang,Cigereleng,2003
,,,,,,
57,BAMBANG HANDOYO,Gg. Silih Asih No. 147/ 97 ,Produksi Pakaian,3 Orang,Cigereleng,2002
,,,,,,
58,LUSIA SETIAWATI,Jl Kembar Indah No. 30,Produk Makanan,3 Orang,Cigereleng,2002
,,,,,,
59,L I A,Jl. Kembar Mas 30,Produk Pisang Molen,3 Orang,Cigereleng,2005
60,BARSA,Jl. Kembar Baru Utara VII No. 9,Keripik Rujak Singkong,2 Orang,Cigereleng,2009
61,,Jl. Komp. PLN No. 48,Bunga Sedotan,4 Orang,Ciateul,2000
62,QUEN EDELWEIS,Jl. Sawah Kurung Dalam No. 33/ 99,Aneka Kue,12 Orang,Ciateul,2000
63,NAZWA,Jl. Komp. PLN Ciateul No. 8,Bolu Gulung,5 Orang,Ciateul,2002
64,,Jl. Sawah Kurung No. 17,Percetakan,3 Orang,Ciateul,2007
65,,Jl. Kota Baru VI No. 18,Aneka Kue,4 Orang,Ciateul,2002
66,,Jl. Akil No. 26,Membuat PIN,2 Orang,Ciateul,2003
67,CV. NOER ABADI,Jl. Murni Raya I No. 45 A,Pembuatan Rak,5 Orang,Ciateul,2003
68,,Jl. Kota Baru,Roti Kadet, dan Cingcau,10 Orang,Ciateul,1987
69,OTAK-OTAK BU LELA,Jl. Kota Baru II No. 1,Otak-otak,6 Orang,Ciateul,2005
70,SEKAR KEDATON,Jl. Komp. PLN Gg. III No. 4,Bunga dari daun Lontar,3 Orang,Ciateul,2000
71,,Jl. Kota Baru IV No. 10,Sepatu,7 Orang,Ciateul,1989
72,BAILO,Jl. Murni 50,Sepatu,7 Orang,Ciateul,2007
73,HENDI,Kel. Ciateul RT.03 RW.01,Pembuatan Tas,3 Orang,Ciateul,2003
74,NANI IRIANI,Komplek PLN No. 12,Produk Pakaian,5 Orang,Ciateul,2004
75,,Jl. Ancol Barat No. 9,Bubut,3 Orang,Ciateul,2005
76,,Jl. Sawah kurung dalam 33 B/99,Makanan,2 Orang,Ciateul,2009
77,RIZS COLLECTIONS,Jl. Denki Selatan IV No. 10 RT.04 RW.02,Kemeja, Kaos, Jaket,10 Orang,Ciseureuh,1996
78,ROJIKIN COLLECTIONS,Jl. Babakan Priangan I No. 12,Topi Bayi dan Anak,5 Orang,Ciseureuh,1997
79,,Jl. PLN Dalam RT.09 RW.05,Kaos, Jaket,5 Orang,Ciseureuh,2000
80,PERSIB PLUS,Jl. Babakan Priangan I No. 3,Majalah Tabloid,7 Orang,Ciseureuh,2005
81,DUA SAUDARA,Jl. Moch. Toha RT.02 RW.04,Makanan,4 Orang,Ciseureuh,1998
82,,Kel. Ciseureuh RT.03 RW.04,Produk Makanan,3 Orang,Ciseureuh,2003
83,,RW.04 Kel. Ciseureuh,Telor Asin,2 Orang,Ciseureuh,2003
84,,Jl. Denki Selatan II No. 102,Produk Makanan,5 Orang,Ciseureuh,2002
85,,Gg. Empang RT.03 RW.06,Pengrajin Kaos Kaki,4 Orang,Ciseureuh,1998
86,,Jl. Babakan Priangan RT.09 RW.1,Dompet, Tas,5 Orang,Ciseureuh,2001
87,PENJAHIT DODONG,Gg. Dungusema RT.02 RW.03,Jaket Kulit,4 Orang,Ciseureuh,1998
88,PENGRAJIN LILIN  UTANG,Jl. PLN Dalam RT.09 RW.05,Lilin,5 Orang,Ciseureuh,2003
89,IRWANRIYADI CAKE,Jl. Babakan Priangan RT.03 RW.01,Kue Cake,4 Orang,Ciseueuh,2000
90,,Jl. PLN Dalam RT.08 RW.05,Meubel/ Kursi,5 Orang,Ciseureuh,2000
91,,Jl. PLN Dalam RT.08 RW.05,Kue, Odading,4 Orang,Ciseureuh,2001
92,,Gg. Empang RT.02 RW.08,Lukisan,3 Orang,Ciseureuh,2000
93,,Jl. PLN Dalam RT.08 RW.05,Lukisan,3 Orang,Ciseureuh,2000
94,,Gg. Empang RT.02 RW.08,Keripik Tempe,3 Orang,Ciseureuh,1998
95,,Jl. Babakan Priangan RT.04 RW.01,Tutup Botol,3 Orang,Ciseureuh,2002
96,,Gg. Empang RT.05 RW.06,Kaos Kaki,4 Orang,Ciseureuh,2000
97,,Jl. Babakan Priangan RT.04 RW.01,Martabak Mini,2 Orang,Ciseureuh,2001
98,,Jl. H. Ahmad RT.07 RW.05,Telor Asin,2 Orang,Ciseureuh,2000
99,,Jl. Babakan Kajaksan RT.04 RW.04,Kantong Kertas,4 Orang,Ciseureuh,2001
100,,Jl. Babakan Priangan RT.05 RW.01,Tas Anak,4 Orang,Ciseureuh,1997
101,KUE ODADING,Jl. PLN Dalam Rt  08 Rw 05,Kue Odading,4 Orang,Ciseureuh,2001
102,ALUMINIUM,Jl. Soekarno Hatta Rt 04 Rw 03,Produk Aluminium,5 Orang,Ciseureuh,
103,KONVEKSI PAKAIAN,Jl. M. Toha Gg. Aki Ahmad Rt 07 Rw 05,Konveksi,20 Orang,Ciseureuh,
104,KONVEKSI PAKAIAN,Jl. M. Toha Gg. Aki Marhadi  Rt 07 Rw 05 ,Konveksi,5 Orang,Ciseureuh,
105,KAOS KAKI,Jl. M. Toha Gang Aki Marhadi  Rt 07 Rw 05,Kaos Kaki,3 Orang,Ciseureuh,
106,ROTI,Jl. Moh. Toha Rt 03 Rw 07,Produksi Roti,5 Orang,Ciseureuh,
107,KAOS KAKI,Jl. Moh. Toha Rt 03 Rw 07,Kaos KaKI,3 Orang,Ciseureuh,
108,KAOS KAKI,Jl. Moh. Toha Rt 02 Rw 07,Kaos Kaki,4 Orang,Ciseureuh,
109,KAOS KAKI,Jl. Moh. Toha Rt 04 Rw 07,Kaos Kaki,3 Orang,Ciseureuh,
110,SABLON BAJU,Jl. Moh. Rt 03 Rw 07,Sablon Baju,4 Orang,Ciseureuh,
111,PEMBUAT TAS, Jl. Moh. Toha Rt 04 Rw 07,Produksi Tas,5 Orang,Ciseureuh,
112,ICI,Jl. Moh. Toha Rt 07 Rw 05,Cat,,Ciseureuh,
113,Batagor Han han,Jl. BBk Priangan III No. 147,Batagor, lumpiah, dan siomay kukus,3 Orang,Ciseureuh,2007
113,,Jl. Srimahi III No.2 Rt 06 Rw 01,Percetakan,3 Orang,Ancol,1996
114,,Jl. Srimahi Dalam I No. 14 Rt 02 Rw 01,Bengkel Las Listrik,1 Orang,Ancol,1998
115,DEKA,Jl. Ancol Timur Rt 04 Rw 04,Produksi Makaroni,1 Orang,Ancol,2011
116,,Jl. Srimahi II No. 3 A Rt 05 Rw 01,Penjahit,3 Orang,Ancol,1990
117,,Jl. Ancol Timur I No. 94 Rt 06 Rw 04,Mebeul,,Ancol,
118,,Jl. Ancol Tengah Rt 02 Rw 05 ,Penjahit,1 Orang,Ancol,
119,,Jl. Pasir Salam VIII No. 345 Rt 03 Rw 09,Penjahit,2 orang,Ancol,2000
120,,Jl. Pasir Salam VIII No. 310 Rt 04 Rw 09,Penjahit,1 Orang,Ancol,1992
121,ROSIDA,Jl. Moch. Iwan III No. 87/ 102 RT.03 RW.02,Busana MUslim,3 Orang,Ancol,2002
122,EDI KUSNADI (YUCARI),Jl. Srimahi II No. 15 RT.05 RW.01,Kue Bolu,3 Orang,Ancol,2003
123,SUSANTO NUGRAHA,Jl. Kembar Mas No. 21,Produk Makanan,3 Orang,Ancol,2002
,,,,,,
124,Hj. E M I,Jl. Pasir Salam VIII No. 01 ,Produk Busana Muslim,5 Orang,Ancol,2003
125,OCE SANJAYA,Jl. Pasir Salam No. 27 ,Konveksi,5 Orang,Ancol,2003
126,BAPAK DENNY,Jl. Ancol Timur I RW.04,Pembuatan Bed Cover,3 Orang,Ancol,2003
127,,Jl. Babakan Garut RW.08,Pembuatan Tas,3 Orang,Ancol,2003
128,DINAR BROTHER,Jl. Pasir Salam ,Kerudung,3 Orang,Ancol,2005
129,,Jl. Ancol Timur I No. 93 RT.03 RW.04,Penjahit,2 Orang,Ancol,2000
130,,Jl. Pasir Subur No. 18,Dendeng & Ikan Asin,2 Orang,Ancol,2004
131,,Jl. Ancol Timur I No. 103 RT.03 RW.04,Jaket,4 Orang,Ancol,2003
132,,Jl. Ancol Timur I No. 25 RT.02 RW.04,Jajanan Pasar,2 Orang,Ancol,2004
133,,Jl. Pasir Huni Raya No. 23 RT.01 RW.09,Catering,4 Orang,Ancol,2003
134,,Jl. Kembar Timur VIII No. 02 RW.07,Sistik,4 Orang,Ancol,2005
135,,Jl. Babakan Garut  RW.09,Pembuatan Kit Gorden,3 Orang,Ancol,2003
136,,Jl. Muncang 29 RT 07/01,Pembuatan Sangkar Burung,6 Orang,Pungkur,1990
137,,Jl. Muncang 29 Rt 07/01,Olahan Makanan/Ranginang,3 Orang,Pungkur,1991
,,,,,,
138,ALSABI RIZKY,Jl. H. Umar Rt  01/05,Assesories/Atribut,3 Orang,Pungkur,2009
139,,Jl. H. Umar RT 06/05,Pembuatan sarung gitar,7 Orang,Pungkur,-
140,,Jl. H. Umar Rt 06/06,Sabun Kecil,5 Orang,Pungkur,2000
141,,Jl. Ciateul Kulon 37 Rt 08/06,Yoghurt & Susu Murni,5 Orang,Pungkur,1973
142,ARISTONE,Jl. Ciateul Tengah No. 11 Rt 07/06,Pembuat Gitar,3 Orang,Pungkur,2003
143,ZIMAR OFSET,Jl. H. Umar 31 A Rt 01/06,Percetakan,10 Orang,Pungkur,2001
,,,,,,
144,,Jl. Ciateul Kaler 39 Rt 07/06,Makloon,7 Orang,Pungkur,2014
145,,Gg. Ijan,Pembuat kue,5 Orang,Pungkur,1997
146,,Jl. Jembatan Baru 39 Blk.,Telor Asin Ayam Negeri,2 Orang,Balonggede,1995
147,ANEKA ROTI,Jl. Simpang No. 20 Rt 02 Rw 02,Makanan,30 Orang,Balonggede,
148,ANNISA CATTERING,Jl. Jembatan Baru No. 106/18 D Rt 05 Rw 06,Cattering,5 orang,Balonggede,
149,ALAT-ALAT KHITANAN,Jl. Jembatan Baru,Alat-alat Khitanan,20 Orang,Balonggede,
150,,Jl. Jembatan Baru 34,Accessories,2 Orang,Balonggede,2005
151,,Jl. Tisna Senjaya No. 80/ 18 D,Kantong Manik-manik,3 Orang,Balonggede,2002
152,,Jl. Jembatan Baru 17 A,Kue Kering,2 Orang,Balonggede,2000
153,,Jl. Nursaid No. 2,Kue Kering,2 Orang,Balonggede,2002
154,,Jl. Nursaid No. 12C,Kerajinan Souvenir,2 Orang,Balonggede,2003
155,,Jl. Nursaid 16,Kerajinan Souvenir,2 Orang,Balonggede,2003
156,,Jl. Jembatan Baru 17 A,Kue Kering,2 Orang,Balonggede,2002
157,,Gg. H. Rais,Ikat Pinggang ABG,4 Orang,Balonggede,1995
158,,Gg. H. Rais 182/18 C,Produksi Aneka macam Kue,3 orang,Balonggede,2000
159,,Gg. H. Rais,Produk Makanan,2 Orang,Balonggede,2000
160,,Jl. Murtasah,Boneka Karet,4 Orang,Balonggede,1995
161,,Jl. Pungkur Blk Pegadaian,Produksi Alat Sunat,2 Orang,Balonggede,2005
162,,Blk Puskesmas Pasundan,Sandal ABG,4 Orang,Balonggede,1997
163,,Jl. Pasundan No. 84/ 18 A RT.02 RW.04,Produksi Makanan,2 Orang,Balonggede,2000
164,,Jl. Pasundan No. 82/ 18 A RT.02 RW.04,Kue Basah,2 Orang,Balonggede,2000
165,,Jl. Simpang No. 11,Produk Makanan,3 Orang,Balonggede,2003
166,,Jl. Jembatan Baru No. 106/ 18 D,Produk Makanan,2 Orang,Balonggede,2003
167,UDAY ENTERPRISE,Jl. Jembatan Baru No. 54,Catering, Rias Pengantin,15 Orang,Balonggede,1995
