Jenis_Program,Jumlah_Lakilaki,Jumlah_Perempuan
AKAL (Antar Kerja Lokal),849,1556
AKAD (Antar Kerja Antar Daerah),5,0
AKAN (Antar Kerja Antar Negara),0,42
