nama_kecamatan,jumlah_pus,jml_pus_kps_ksi,persentase_pus_kps_ks1,jml_pus_jkn_penerima_bantuan,persentase_pus_jkn_terima_bantuan,jml_pus_jkn_bukan_penerima_bantuan,persentase_pus_jkn_bukan_penerima_bantuan,jml_pus_jkn,persentase_pus_jkn
Sukasari,8863,3561,40.18,0,0.00,0,0.00,0,0.00
Coblong,16769,7982,47.60,51,0.30,44,0.26,95,0.57
Babakan Ciparay,21548,8361,38.80,8168,37.91,13380,62.09,21548,100.00
Bojongloa Kaler,17541,7897,45.02,7623,43.46,9816,55.96,17439,99.42
Andir,14219,8981,63.16,2579,18.14,163,1.15,2742,19.28
Cicendo,13792,8646,62.69,0,0.00,13792,100.00,13792,100.00
Sukajadi,16614,5018,30.20,0,0.00,0,0.00,0,0.00
Cidadap,8151,2625,32.20,2621,32.16,4691,57.55,7312,89.71
Bandung Wetan,4642,2048,44.12,0,0.00,0,0.00,0,0.00
Astana Anyar,9675,2345,24.24,0,0.00,0,0.00,0,0.00
Regol,12215,3664,30.00,0,0.00,0,0.00,0,0.00
Batununggal,17036,9305,54.62,0,0.00,0,0.00,0,0.00
Lengkong,7411,3178,42.88,419,5.65,6699,90.39,7118,96.05
Cibeunying Kidul,17460,7879,45.13,7043,40.34,9878,56.58,16921,96.91
Bandung Kulon,13367,0,0.00,0,0.00,0,0.00,0,0.00
Kiaracondong,19210,13014,67.75,0,0.00,0,0.00,0,0.00
Bojongloa Kidul,12117,4927,40.66,2102,17.35,8972,74.04,11074,91.39
Cibeunying Kaler,10221,1993,19.50,1965,19.23,7646,74.81,9611,94.03
Sumur Bandung,3650,583,15.97,0,0.00,0,0.00,0,0.00
Antapani,10102,1401,13.87,0,0.00,0,0.00,0,0.00
Bandung Kidul,4264,1973,46.27,1874,43.95,2381,55.84,4255,99.79
Buahbatu,11816,2211,18.71,0,0.00,0,0.00,0,0.00
Rancasari,12669,1563,12.34,1423,11.23,139,1.10,1562,12.33
Arcamanik,8639,3267,37.82,0,0.00,0,0.00,0,0.00
Cibiru,9621,3526,36.65,1334,13.87,2352,24.45,3686,38.31
Ujung Berung,20751,16969,81.77,5473,26.37,6336,30.53,11809,56.91
Gedebage,7305,2754,37.70,557,7.62,3944,53.99,4501,61.62
Panyileukan,5605,1431,25.53,775,13.83,666,11.88,1441,25.71
Cinambo,4170,1498,35.92,777,18.63,1511,36.24,2288,54.87
Mandalajati,11259,4219,37.47,4219,37.47,7040,62.53,11259,100.00
