NO,NAMA GEREJA,JUMLAH ANGGOTA,JADWAL KEBAKTIAN,ALAMAT,KELURAHAN
1,Kebaktian HKBP,-,-,Komp. Taman Anggrek RT 04/07,Suka Asih
2,Tabernakel,100,Rabu dan Jumat,Gg. Maskardi RT.04 RW.01,Babakan 
