NO,NAMA PERUSAHAAN,ALAMAT PERUSAHAAN,KELURAHAN
1,Borma Toserba,Jl. Cipamokolan No. 50 RW 01,CIPAMOKOLAN
2,Alfamart,Jl. Bumi Asih No. 1 RW 05,CIPAMOKOLAN
3,SB Mart,Jl. Rancacili No. 188 RW 06,CIPAMOKOLAN
4,Baso Tahu,Rancaloa RW 03,CIPAMOKOLAN
5,Baso Tahu,Rancaloa RW 03,CIPAMOKOLAN
6,Baso Malang,Rancaloa RW 02,CIPAMOKOLAN
