nama_upt,nama_puskesmas,jenis,alamat,telepon_1,telepon_2,latitude,longitude,tk_bidan,tk_laki,tk_perempuan,tkg_laki,tkg_perempuan
UPT Sukarasa,Sukarasa,UPT,JL.GEGERKALONG HILIR NO.157 BANDUNG ,(022) 70722632,(022) -,-6.869571,107.588104,4,0,0,0,0
UPT Sukarasa,Ledeng,PKM,JL.SERSAN BAJURI NO.2 BANDUNG ,(022) 71173669,(022) -,-6.857982,107.594688,4,0,0,0,0
UPT Sukarasa,Karangsetra,PKM,JL.IR SUTAMI NO.40 BANDUNG ,(022) 2013079,(022) -,-6.877368,107.591293,2,0,0,0,0
UPT Sukarasa,Sarijadi,PKM,JL.SARI ASIH NO.34 BANDUNG ,(022) 70722591,(022) -,-6.875333,107.577255,2,0,0,0,0
UPT Sukajadi,Sukajadi,UPT,JL.SUKAGALIH NO.26 BANDUNG ,(022) 70722590,(022) -,-6.892227,107.594925,4,2,2,2,2
UPT Sukajadi,Sukawarna,PKM,JL.CIBOGO NO.76 BANDUNG ,(022) 2009464,(022) -,-6.888275,107.576660,3,0,0,0,0
UPT Pasirkaliki,Pasirkaliki,UPT,JL.PASIRKALIKI NO.88 BANDUNG ,(022) 4206531,(022) -,-6.900615,107.597641,8,0,0,0,0
UPT Pasirkaliki,Sukaraja,PKM,JL. MENTOR SUKARAJA BANDUNG,(022) -,(022) -,0.000000,0.000000,-,-,-,-,-
UPT Garuda,Garuda,UPT,JL.DADALI NO.81 BANDUNG ,(022) 6013885,(022) -,-6.910856,107.577583,18,1,1,1,1
UPT Garuda,Babatan,PKM,JL.ENCE AZIS NO.4 BANDUNG ,(022) 4263746,(022) -,0.000000,0.000000,5,0,0,0,0
UPT Ciumbuleuit,Ciumbuleuit,UPT,JL.BUKIT RESIK NO.I BANDUNG ,(022) 2032459,(022) -,-6.877885,107.603287,5,2,2,2,2
UPT Ciumbuleuit,Cipaku,PKM,JL.CIPAKU NO.2 BANDUNG ,(022) 70722586,(022) -,0.000000,0.000000,3,0,0,0,0
UPT Puter,Puter,UPT,JL.PUTER NO.3 BANDUNG ,(022) 2500334,(022) 2509292,-6.898042,107.622261,13,1,1,1,1
UPT Puter,Dago,PKM,JL.IR H JUANDA NO.360 BANDUNG ,(022) 2533539,(022) -,-6.875939,107.616312,5,0,0,0,0
UPT Puter,Sekeloa,PKM,JL.TUBAGUS ISMAIL BAWAH NO.4 BANDUNG ,(022) 2511299,(022) -,-6.889404,107.617050,3,0,0,0,0
UPT Puter,Cikutra Lama,PKM,JL.CIKUTRA NO.5 BANDUNG ,(022) 2531883,(022) -,-6.891449,107.626915,2,0,0,0,0
UPT Salam,Salam,UPT,JL.SALAM NO.2 BANDUNG ,(022) 7234610,(022) -,-6.909844,107.629944,3,1,1,1,1
UPT Salam,Tamansari,PKM,JL.KEBON BIBIT BANDUNG ,(022) -,(022) -,-6.897563,107.607350,3,1,1,1,1
UPT Tamblong,Tamblong,UPT,JL.TAMLONG NO.66 BANDUNG ,(022) 4264415,(022) -,-6.917800,107.612091,4,0,0,0,0
UPT Tamblong,Balai Kota,PKM,JL.WASTUKENCANA NO.2 BANDUNG ,(022) 4232338,(022) -,-6.913689,107.610481,2,0,0,0,0
UPT Neglasari,Neglasari,UPT,JL.CIKUTRA TIMUR BANDUNG ,(022) 70722595,(022) -,-6.891204,107.627426,4,0,0,0,0
UPT Neglasari,Cigadung,PKM,JL. CIGADUNG BANDUNG,(022) -,(022) -,0.000000,0.000000,-,-,-,-,-
UPT Padasuka,Padasuka,UPT,JL.PADASUKA NO.3 BANDUNG ,(022) 7272113,(022) -,-6.883525,107.598572,18,0,0,0,0
UPT Padasuka,Pasirlayung,PKM,JL.PADASUKA NO.146 BANDUNG ,(022) 7202580,(022) -,-6.893920,107.657043,4,0,0,0,0
UPT Babakan sari,Babakan Sari,UPT,JL.BABAKAN SARI NO.184 BANDUNG ,(022) 7270793,(022) -,-6.924595,107.655167,5,1,1,1,1
UPT Babakan sari,Babakan Surabaya,PKM,JL.SOMA NO.25 BANDUNG ,(022) 7210377,(022) -,-6.915435,107.654381,2,2,2,2,2
UPT Ibrahim Adjie,Ibrahim Adjie,UPT,JL.KIARACONDONG NO.88 BANDUNG ,(022) 7208355,(022) -,-6.918119,107.643593,15,0,0,0,0
UPT Ibrahim Adjie,Gumuruh,PKM,JL.RANCA GOONG NO.11 BANDUNG ,(022) 7330610,(022) -,-6.933083,107.635628,4,0,0,0,0
UPT Ibrahim Adjie,Ahmad Yani,PKM,JL.CIANJUR NO.23 BANDUNG ,(022) 7231407,(022) -,-6.925724,107.638931,4,1,1,1,1
UPT Talaga Bodas,Talaga Bodas,UPT,JL.TALAGA BODAS NO.35 BANDUNG ,(022) 7310550,(022) -,-6.928276,107.620487,4,0,0,0,0
UPT Talaga Bodas,Suryalaya,PKM,JL.SURYALAYA I NO.7 BANDUNG ,(022) 7314952,(022) -,-6.948835,107.621124,2,2,2,2,2
UPT Talaga Bodas,Cijagra Baru,PKM,JL.CIJAGRA I NO.28 BANDUNG ,(022) 7303420,(022) -,-6.946449,107.626465,3,0,0,0,0
UPT Talaga Bodas,Cijagra lama,PKM,JL.BUAH BATU NO.275 BANDUNG ,(022) 7302748,(022) -,-6.945470,107.628609,4,0,0,0,0
UPT Pasundan,Pasundan,UPT,JL.PASUNDAN NO.99 BANDUNG ,(022) 4236286,(022) -,-6.927407,107.609016,4,3,3,3,3
UPT Pasundan,Moch. Ramdan,PKM,JL.M RAMDHAN NO.108 BANDUNG ,(022) 5210562,(022) -,-6.937354,107.609039,3,0,0,0,0
UPT Pasundan,Pasirluyu,PKM,JL.SUKAATI BANDUNG ,(022) 7271861,(022) -,-6.948377,107.620140,3,2,2,2,2
UPT Pagarsih,Pagarsih,UPT,JL.PAGARSIH NO.95 BANDUNG ,(022) 6013212,(022) -,-6.923764,107.593529,13,1,1,1,1
UPT Pagarsih,Astana Anyar,PKM,JL.PAJAGALAN NO.72 BANDUNG ,(022) -,(022) -,-6.937162,107.609032,4,0,0,0,0
UPT Pagarsih,Lio Genteng,PKM,JL.LIO GENTENG BANDUNG ,(022) 5232166,(022) -,-6.932711,107.601166,3,0,0,0,0
UPT Pagarsih,Pelindung Hewan,PKM,JL.PELINDUNG HEWAN BANDUNG ,(022) 5227028,(022) -,-6.940500,107.602402,7,2,2,2,2
UPT Cetarip,Cetarip,UPT,JL.CETARIP BARAT BANDUNG ,(022) 5422571,(022) -,-6.938174,107.588615,4,2,2,2,2
UPT Cetarip,Suka Parkir,PKM,JL.PAGARSIH  GG PAK OYON NO.27 BANDUNG ,(022) 70722593,(022) -,-6.935800,107.587997,4,0,0,0,0
