NAMA PUSKESMAS,KODE PUSKESMAS,ALAMAT,TELEPON,JENIS PUSKESMAS
UPT CIBUNTU,P3273010201,"Jl. Syahbandar I Kel Cari, Kec. Bandungkulon",6021597,Non Perawatan
CIJERAH,P3273010202,"Jl. Mekar Hegar No. 1, Kec. Bandung Kulon",6022029,Non Perawatan
CIGONDEWAH,P3273010203,"Jl. Cigondewah Kaler No. 17, Kec. Bandung Kulon",6022908,Non Perawatan
UPT CARINGIN,P3273010204,"Jl. Caringin Babakan Ciparay No. 103, Kec. Bandung Kulon",5432275,Non Perawatan
SUKAHAJI,P3273020201,"Jl. H. Zakaria Blk No. 24, Kec. Babakan Ciparay",6026075,Non Perawatan
CIBOLERANG,P3273020202,"Jl. Cibolerang No. 187, Kec. Babakan Ciparay",5423822,Non Perawatan
SUKA PARKIR,P3273030201,"Jl. Pagarsih Gg.Bp.Oyon, Kec. Bojong Loa Kaler",70722593,Non Perawatan
UPT CETARIP,P3273030202,"Jl. Kopo Gg Citarip No.11, Kec. Bojong Loa Kaler",5422571,Non Perawatan
UPT KOPO,P3273040201,"Jl. Kopo No. 369, Kec. Bojong Loa Kidul",70722596,Non Perawatan
UPT PAGARSIH,P3273050201,"Jl. Pagarsih 95, Kec. Astana Anyar",6013212,Non Perawatan
LIO GENTENG,P3273050202,"Jl. Lio Genteng, Kec. Astana Anyar",5232166,Non Perawatan
PELINDUNG HEWAN,P3273050203,"Jl. Palindungan, Kec. Astana Anyar",5227028,Non Perawatan
ASTANA ANYAR,P3273050204,"Jl. Astana Anyar, Kec. Astana Anyar",,Non Perawatan
UPT PASUNDAN,P3273060201,"Jl. Pasundan 99, Kec. Regol",4236286,Non Perawatan
MOCH. RAMDAN,P3273060202,"Jl. Moch. Ramdan 108, Kec. Regol",5210562,Non Perawatan
PASIR LUYU,P3273060203,"Jl. Sukaati Bypass No. 1, Kec. Regol",7271861,Non Perawatan
UPT TALAGA BODAS,P3273070201,"Jl. Talaga Bodas 35, Kec. Lengkong",7310550,Non Perawatan
SURYALAYA,P3273070202,"Jl. Suryalaya VII No. 1, Kec. Lengkong",7314952,Non Perawatan
CIJAGRA LAMA,P3273070203,"Jl. Buah Batu No. 375, Kec. Lengkong",7302748,Non Perawatan
CIJAGRA BARU,P3273070204,"Jl. Cijagra I/28, Kec. Lengkong",7303420,Non Perawatan
PASAWAHAN,P3273080201,"Jl. Naradireja, Kec. Bandung Kidul",5232621,Non Perawatan
MENGGER,P3273080202,"Jl. Mengger No. 32, Kec. Bandung Kidul",5210994,Non Perawatan
UPT KUJANG SARI,P3273080203,"Jl. Ters Buah Batu, Kec. Bandung Kidul",7530456,Non Perawatan
UPT MARGAHAYU RAYA,P3273090201,"Jl. Pluto Raya No. 54, Kec. Buah Batu",7505457,Non Perawatan
SEKEJATI,P3273090202,"Jl. Yupiter B2, Kec. Buah Batu",7506501,Non Perawatan
DERWATI,P3273100201,"Jl. Derwati No. 38, Kec. Rancasari",70722584,Non Perawatan
UPT CIPAMOKOLAN,P3273100202,"Jl. Kali Cipamokolan, Kec. Rancasari",7534828,Non Perawatan
UPT RIUNG BANDUNG,P3273100203,"Jl. Riung Puma XI, Kec. Rancasari",,Non Perawatan
CEMPAKA ARUM,P3273101201,Jl. Usman bin Affan Belakang Polda Kec. Gedebage,,Non Perawatan
CILENGKRANG,P3273110201,"Jl. Cilengkrang I No. 130, Kec. Cibiru",70782329,Non Perawatan
