NO.,KELURAHAN,RT,RW,WNA,Pr,Pr,KRISTEN,KHATOLIK,BUDDHA,KEPERCAYAAN,KONGHUCHU
1,ANTAPANI KULON,41,7,0,4404,101,257,117,6,0,0
2,ANTAPANI WETAN,69,12,3,8461,0,662,231,0,0,0
3,ANTAPANI TENGAH,113,24,14,10243,88,613,270,4,0,0
4,ANTAPANI KIDUL,112,19,3,11621,0,924,532,30,0,0
JUMLAH,,335,62,20,34729,189,2456,1150,40,0,0
