NO,PANGKAT,GOL,JUMLAH
1,PEMBINA UTAMA MUDA,IV/C,0
2,PEMBINA TK. I,IV/B,2
3,PEMBINA,IV/A,3
4,PENATA TK. 1,III/D,13
5,PENATA,III/C,15
6,PENATA MUDA TK. 1,III/B,53
7,PENATA MUDA,III/A,53
8,PENGATUR TK.1,II/D,7
9,PENGATUR,II/C,2
10,PENGATUR MUDA TK. 1,II/B,228
11,PENGATUR MUDA,II/A,24
12,JURU TK. 1,I/D,21
13,JURU,I/C,11
14,JURU MUDA TK 1,I/B,23
15,JURU MUDA,I/A,0
