NO,KELURAHAN,LAKI-LAKI,PEREMPUAN,JUMLAH
1,Cijawura,404,254,658
2,Margasari,699,766,1465
3,Sekejati,436,256,692
4,Jatisari,353,319,672
,TOTAL,1892,1595,3487
