Nama Sekolah,NPSN,Alamat,Kecamatan,Tingkat 1,Tingkat 2,Tingkat 3,Tingkat 4,Tingkat 5,Tingkat 6,Jumlah
SD Alam Bandung,20269424,JL.CIKALAPA II NO.4 KP.TANGGULAN KEL.DAGO,Kec. Coblong,20,16,21,23,13,15,175
SD ALFA CENTAURI,69734330,Jl. Palasari No. 9,Kec. Lengkong,12,7,13,9,10,9,101
SD ANDIR MUKTI,20219533,Jl. Jend. Sudirman Blk 799,Kec. Bandung Kulon,26,19,13,12,17,10,195
SD ANGKASA 1,20219534,Jl. Pajajaran No. 150,Kec. Cicendo,27,33,46,19,18,22,294
SD ANGKASA 2,20219543,Jl. Pajajaran No. 150,Kec. Cicendo, -   , -   , -   ,4,7,19,52
SD ANGKASA 3,20219542,Jl. Zuhri Cik Deri,Kec. Cicendo,26,39,38,26,36,36,404
SD ANUGERAH,20219571,Jl. Sukamulya No. 52A,Kec. Sukajadi,3,1,4,4,4,3,31
SD ARRAFI,20247205,Jl. Sekejati III No.20,Kec. Kiaracondong,59,57,52,43,10,42,477
SD ASSALAAM,20219541,Jl. Sasakgantung No. 1-3,Kec. Regol,107,99,72,83,112,94,"1,055"
SD ASY-SYIFA 1,20219539,Jalan Saturnus Timur No. 94,Kec. Rancasari,50,50,57,37,41,47,557
SD ASY-SYIFA 2,20219580,Jl. Randusari V,Kec. Antapani,37,28,29,17,12,21,307
SD ATTAZHIMIYAH,20219538,Blok Pesantren RT.01 RW.04,Kec. Bandung Kulon,16,15,27,18,25,20,249
SD AZ-ZAKIYAH,20219579,Jl. Cijawura Girang Iv No.2,Kec. Buah Batu,24,39,24,19,25,15,281
SD BALA KESELAMATAN,20219585,Jl. Gardujati No. 89,Kec. Andir,3,6,8,9,6,9,69
SD BANDUNG INDEPENDENT SCHOOL,69850863,JL. SURYA SUMANTRI 61,Kec. Sukajadi,3,2,3,1,4,1,27
SD BANDUNG RAYA,20219537,Jl. Cijerah No. 151,Kec. Bandung Kulon,18,8,20,15,15,18,178
SD BIANGLALA,20247206,Jl. Sari Endah 19 A Gegerkalong Hilir,Kec. Sukasari,23,19,16,8,17,5,164
SD BINA TALENTA,20247274,Jl. Kembar Baru Utara No.4 Bandung,Kec. Regol,11,26,25,25,9,15,216
SD BINTANG MADANI,20270664,Jl. Terusan Pesantren No. 102,Kec. Arcamanik,37,37,37,21,18,16,321
SD BINTANG MULIA,20255795,Jl. Mekar Kencana No.1,Kec. Bojong Loa Kidul,33,41,30,27,38,35,429
SD BPI,20219536,Jl. HALIMUN NO. 40 RT.02 RW.05,Kec. Lengkong,68,52,82,82,55,69,741
SD BPMD TARUNA,20219535,Jl. Hasan Ali No. 64 A/76,Kec. Andir,17,22,26,14,23,24,229
SD BUDI ASIH,20219522,Jl. Cipagalo Girang,Kec. Buah Batu,12,13,7,13,9,10,121
SD BUDI ISTRI,20219617,Jl. Sancang No. 4,Kec. Lengkong,8,14,20,9,13,11,134
SD BUDI SASTRA,20219604,Jl. Warna Cinta No. 98,Kec. Bojong Loa Kidul,10,19,18,16,16,24,212
SD CAHAYA NUSANTARA,20258325,Komp. Taman Burung B 02 Gempol Sari,Kec. Bandung Kulon,1,4,7,6,4,9,58
SD CAHAYA PELITA 1,20219603,Jl. Babakan Ciparay No. 251/194 A,Kec. Babakan Ciparay,20,25,19,17,16,17,237
SD CAHAYA PELITA 2,20219602,Jl. Babakan Ciparay,Kec. Babakan Ciparay,20,15,16,21,13,20,213
SD CEMARA,20219601,Jl. Cemara Selatan No. 358 / 181,Kec. Sukajadi,12,8,8,16,16,15,139
SD CENDEKIA MUDA,20255299,Jl. Puri Ayu Pratama No. 17,Kec. Arcamanik,38,36,30,25,35,27,344
SD CERDAS MUTHAHHARI,20267679,Jl. Layar No. 17,Kec. Arcamanik,10,26,36,27,27,27,262
SD CIPAERA,20219599,Jl. Cipaera Selatan No. 145/33,Kec. Lengkong,11,8,8,12,11,15,108
SD CIPTA KARYA,20246315,Jl. Jembatan Opat Cibangkong Lor No. 34 Bandung,Kec. Batununggal,15,17,17,16,15,20,181
SD CITRA CEMARA,20269306,Jl. Soekarno Hatta No. 22,Kec. Bandung Kulon,23,22,14,20,12,18,189
SD CITRAWINAYA,20219598,Jl. Cipedes No. 8,Kec. Sukajadi,12,10,9,10,13,8,119
SD DARUL HIKAM,20219597,Jl. Ir. H. Juanda 285,Kec. Coblong,43,63,51,62,56,43,662
SD DEWI SARTIKA,20219596,Jl. Kautamaan Istri No.12,Kec. Regol,5,7,4,8,8,10,70
SD DIAN KENCANA,20219606,Jl. Raya BKR no. 167,Kec. Regol,34,36,39,41,27,38,433
SD DWI AMANAT,20219607,Jl. Pagarsih No. 205,Kec. Bojong Loa Kaler,20,20,19,17,29,18,236
SD DWISAKTI,20219616,Jl. Laksmud. Nurtanio No.58,Kec. Andir,21,31,25,20,38,27,301
SD GAGAS CERIA,20247207,Jl. Malabar No. 61,Kec. Lengkong,27,29,31,29,22,28,314
SD GANESHA,20219615,Jl. Muhamad Toha No. 84,Kec. Astananyar,12,8,3,5,10,8,90
SD GIKI,20219614,Jl. Karangsari No. 29,Kec. Sukajadi,14,14,16,17,16,12,169
SD GRACIA 2,20219612,JL. PAGARSIH NO. 256,Kec. Andir, -   , -   ,4,7,8,12,47
SD GRACIA 3,20219611,GG. SEREH NO. 26,Kec. Astananyar, -   ,4,4,5,9,11,67
SD HARAPAN KASIH,69895387,JL MEKAR KENCANA 2A BANDUNG,Kec. Bojong Loa Kidul,28,25,21,15,7,12,189
SD IBNU TAIMIYAH,20219610,Jl. Sukagalih Gg. H. Gojali 02/07,Kec. Sukajadi,36,35,18,17,13,11,239
SD IGNATIUS SLAMET RIYADI,20219609,Jl. Gatot Subroto 221 Bandung,Kec. Batununggal,35,22,32,41,29,32,353
SD IGNATIUS SLAMET RIYADI 2,20219608,Jl. Kebon Kangkung X,Kec. Kiaracondong,41,35,38,41,47,36,440
SD INDUSTRI,20219595,Jl. Industri Dalam No. 2,Kec. Cicendo,10,13,15,9,11,6,139
SD IRK,20219594,Jl. Karapitan 1 No. 2,Kec. Lengkong,7,14,17,11,12,12,125
SD ISLAM AL AZHAR 30,20253348,Jl. Tirtasari I No. 1,Kec. Sukasari,46,38,36,26,26,27,421
SD ISLAM MUTIARA HATI,20254714,Jl. Terusan Cikajang Raya,Kec. Antapani,17,14,11,14,21,23,172
SD ISLAM TERPADU AL IRSYAD,20253818,Jl. Cikutra No. 205 A,Kec. Cibeunying Kaler,34,43,33,30,27,30,332
SD ISLAM TERPADU LUQMANUL HAKIM,20219577,Jl. Cingised Komp. Pemda Kav. D13-D15,Kec. Arcamanik,34,46,44,38,35,34,422
SD ISTIQAMAH,20219578,Jl. Taman Citarum,Kec. Bandung Wetan,51,46,50,52,45,49,546
SD IT Al-FAJAR,20267927,Jl. Buana Sari IV No. 18-21,Kec. Bandung Kidul,16,23,22,16,11,7,155
SD JEMBAR,20219576,Jl. Jatinegara No. 1,Kec. Batununggal,9,7,9,15,21,12,118
SD JUARA,69734138,Jl Sukarajin I,Kec. Cibeunying Kidul,12,13,15,12,14,7,150
SD KARAKTER AZ-ZAHRA,20279824,Jl. Pasirlayung Asri No. 15,Kec. Cibeunying Kidul,13,21,24,13,9,2,146
SD KARTIKA X-1,20219574,Jl. Jenderal Gatot Subroto N0. 160,Kec. Lengkong,18,38,33,12,24,13,284
SD KARTIKA X-2,20219573,Jl. Jend. Gatot Subroto No.160,Kec. Lengkong,9,12,15,11,9,21,168
SD KARTIKA XIX - 1,20219575,Jl. Bangka No.3,Kec. Sumur Bandung,14,15,15,4,14,12,150
SD KASIH BANGSA,69894361,TAMAN HOLIS INDAH BLOK G1,Kec. Bandung Kulon,15,11,14,7,18,13,130
SD KEMAH INDONESIA,20219572,Jl. Pagarsih Gg. Onong No.183/89,Kec. Astananyar,22,13,24,16,21,18,212
SD KEMALA BHAYANGKARI 1,20219581,Jl. Palasari No.44,Kec. Lengkong,9,9,6,6,7,5,93
SD KEMALA BHAYANGKARI 2,20219582,Jl. Palasari No.44,Kec. Lengkong, -   , -   , -   , -   , -   ,2,6
SD KRISTEN 1 BINA BAKTI,20219583,Jl. Bima No. 9,Kec. Cicendo,29,15,29,19,26,33,322
SD KRISTEN 1 BPK PENABUR,20219592,Jl. Jend.sudirman 246,Kec. Andir,66,56,53,65,80,80,841
SD KRISTEN 2 BINA BAKTI,20219590,Jl. Bima No. 9,Kec. Cicendo,26,19,27,25,23,24,289
SD KRISTEN 5 BPK PENABUR,20219587,Jl. Guntur 34,Kec. Lengkong,31,40,35,52,41,38,427
SD KRISTEN 6 BPK PENABUR,20219586,Jl. Jend. Sudirman 638,Kec. Andir,56,55,55,48,43,70,627
SD KRISTEN BAPTIS,20219584,Jl. Wastukencana No. 40,Kec. Bandung Wetan,10,15,9,10,15,18,134
SD KRISTEN BPK PENABUR SINGGASANA,69760835,Jl. Indra Prahasta Timur No.2 Bandung,Kec. Bojong Loa Kidul,42,47,54,36,48,37,516
SD KRISTEN DIAN EMAS,20219845,Jl. Muara Barat No.2,Kec. Bojong Loa Kidul,10,9,9,16,7,7,105
SD KRISTEN GAMALIEL,20219844,Jl. Jendral Sudirman No. 205-207,Kec. Astananyar,50,41,42,35,37,34,452
SD KRISTEN PELITA,20219842,Jl. Holis No. 300,Kec. Bandung Kulon,19,19,17,10,13,9,148
SD KRISTEN TRIMULIA,20219840,Jl. Dr. Djunjunan 105,Kec. Andir,12,19,15,11, -   , -   ,107
SD KRISTEN YAHYA,20219839,Jl. Progo No. 4,Kec. Bandung Wetan,16,26,19,25,20,37,279
SD KUNTUM CEMERLANG,20255260,Jl. Cipaku Indah 11 No.2,Kec. Cidadap,21,23,26,29,21,17,255
SD LABORATORIUM PERCONTOHAN UPI,20252973,Jl. Senjaya Guru No.04,Kec. Sukasari,58,32,29,31,28,31,402
SD LINGGAWASTU,20219838,Jl. Linggawastu No. 8 A,Kec. Bandung Wetan,21,17,17,12,15,15,200
SD LPPN,20219837,Jl. Rajawali Timur No. 76,Kec. Andir,11,24,33,25,20,18,245
SD MALEBER BARAT,20219846,Jl. Maleber Barat Gg. Wibawa V No. 7,Kec. Andir,20,16,7,15,14,15,162
SD MALEBER SELATAN,20219847,Jl. Rajawali Gg. Latifah,Kec. Andir,13,6,12,14,18,18,158
SD MALEBER UTARA,20219848,Jl. Maleber Utara No.5,Kec. Andir,10,16,13,18,14,17,147
SD MARIA BINTANG LAUT,20219857,Jl. Kebonjati No.209 Bandung,Kec. Andir,43,44,41,41,38,53,509
SD MATHLAUL KHAIRIYAH,20219856,Jl. Tamansari Bawah No. 60,Kec. Bandung Wetan,35,43,29,25,31,27,372
SD MELANIA,20219883,Jl. Melania No. 1-3,Kec. Cibeunying Kaler,24,30,19,17,19,22,246
SD MIFTAHUL IMAN,20219855,Jl Setiabudhi 179/171 A,Kec. Sukasari,10,15,22,16,16,20,176
SD MUHAMMADIYAH 1,20219854,Jl. Banteng Dalam No. 6,Kec. Lengkong,10,4,1,12,8,7,65
SD MUHAMMADIYAH 2 BANDUNG,20219853,Jl Kebon Jayanti Gg. Pensiun Kiaracondong,Kec. Kiaracondong,9,9,9,7,14,6,129
SD MUHAMMADIYAH 3,20219852,Jl. Phh Mustopa,Kec. Cibeunying Kidul,42,42,36,34,24,24,372
SD MUHAMMADIYAH 4,20219851,Jl. Sukagalih Gg. H. Gojali No. 134,Kec. Sukajadi,36,30,28,29,33,22,325
SD MUHAMMADIYAH 5,20219850,Jl. Leuwipanjang No. 24,Kec. Bojong Loa Kidul,38,63,43,19,36,26,449
SD MUHAMMADIYAH 6,20219849,Jl. Ir.h. Juanda Kp. Bengkok,Kec. Cidadap,33,33,25,35,20,24,297
SD MUHAMMADIYAH 7,20219836,Jl. Kadipaten Raya No 4-6,Kec. Antapani,79,94,103,100,82,85,"1,071"
SD MUHAMMADIYAH 8 BANDUNG,20219835,Jl. A. H. Nasution 168 Bandung,Kec. Panyileukan,25,19,14,14,20,13,202
SD MUTIARA,20219834,Jl. Maleber Utara No.37,Kec. Andir,19,36,25,32,26,13,324
SD MUTIARA BUNDA,20253757,Jl. Arcamanik Endah No.3,Kec. Arcamanik,44,41,39,54,43,43,481
SD NEGERI AJITUNGGAL,20246393,Jl. Terusan Sukup No. 5,Kec. Ujungberung,36,37,35,28,25,15,352
SD NEGERI ANDIR,20245100,Jl. Cibadak No. 193,Kec. Astananyar,21,10,16,11,7,22,163
SD NEGERI ANDIR KIDUL 1,20245439,Jl. A.H Nasution No. 38 A,Kec. Cinambo,42,60,57,46,42,39,570
SD NEGERI ANDIR KIDUL 2,20245440,Jl. A.H. Nasution No. 38 A,Kec. Cinambo,37,62,57,46,40,50,559
SD NEGERI ANTAPANI 1,20245441,Jl. Sindangsari 1,Kec. Antapani,16,19,19,15,24,17,243
SD NEGERI ANTAPANI 2,20245442,Jl. Antapani No. 1,Kec. Antapani,20,30,14,29,31,31,338
SD NEGERI ANTAPANI 3,20245443,Jl. Antapani No. 1,Kec. Antapani,12,12,14,24,6,9,163
SD NEGERI ANTAPANI 5,20245445,Jl. Sindangsari I No. 1,Kec. Antapani,29,17,11,17,16,15,201
SD NEGERI ARCAMANIK,20245447,Jll. Mekarsari No. 2,Kec. Arcamanik,21,25,19,16,27,26,295
SD NEGERI ARCAMANIK ENDAH,20245448,Jl. Olah Raga No. 5,Kec. Arcamanik,37,35,58,31,40,35,468
SD NEGERI ASMI 1,20245201,Jl. Asmi No. 2,Kec. Regol,55,48,56,59,51,39,634
SD NEGERI ASMI 2,20245202,Jl. Asmi No.2,Kec. Regol,34,37,25,29,34,25,384
SD NEGERI ASTANAANYAR 1,20244993,Jl. Liogeneng No. 27,Kec. Astananyar,28,29,17,24,20,18,275
SD NEGERI ASTANAANYAR 2,20244994,Jl. Liogeneng no. 27,Kec. Astananyar,31,28,22,24,37,28,336
SD NEGERI AWIGOMBONG 1,20245102,Jl. Asep Berlian No. 33,Kec. Cibeunying Kidul,14,18,17,14,11,10,180
SD NEGERI AWIGOMBONG 2,20245103,Jl. Asep Berlian No. 33,Kec. Cibeunying Kidul,19,10,13,13,11,14,156
SD NEGERI AWIGOMBONG 3,20245104,Jl. Asep Berlian No. 33,Kec. Cibeunying Kidul,17,18,17,23,12,18,204
SD NEGERI AWIGOMBONG 4,20245105,Jl. Asep Berlian No. 33,Kec. Cibeunying Kidul,15,17,23,16,18,13,200
SD NEGERI AYUDIA,20245449,Jl. Ayudia No. 25,Kec. Cicendo,40,30,37,56,53,47,469
SD NEGERI BABAKAN 1,20244995,Jl. Aki Padma No. 1,Kec. Babakan Ciparay,22,22,14,24,14,18,212
SD NEGERI BABAKAN 2,20244996,Jl. Aki Padma No. 1,Kec. Babakan Ciparay,18,20,18,12,22,14,209
SD NEGERI BABAKAN 3,20244997,Jl. Aki Padma No. 51,Kec. Babakan Ciparay,23,22,18,15,16,18,201
SD NEGERI BABAKAN CIPARAY 01,20244998,Jl. Caringin No. 150,Kec. Babakan Ciparay,15,17,14,24,17,21,206
SD NEGERI BABAKAN CIPARAY 02,20245008,Jl. Caringin Cikungkurak,Kec. Babakan Ciparay,32,38,44,44,26,43,460
SD NEGERI BABAKAN CIPARAY 03,20245011,Jl. Kopo No. 440,Kec. Babakan Ciparay,14,18,21,15,19,21,217
SD NEGERI BABAKAN CIPARAY 04,20245013,Jl. Caringin No.106,Kec. Babakan Ciparay,23,20,18,23,19,19,245
SD NEGERI BABAKAN CIPARAY 05,20245014,Jl. Caringin Gg. Porib 3,Kec. Babakan Ciparay,28,35,33,27,17,20,286
SD NEGERI BABAKAN CIPARAY 06,20245015,Jl. Kopo No. 440,Kec. Babakan Ciparay,12,17,19,22,21,19,212
SD NEGERI BABAKAN CIPARAY 07,20245016,Jl. Caringin No.150,Kec. Babakan Ciparay,16,20,24,16,18,18,221
SD NEGERI BABAKAN CIPARAY 08,20245017,Jl. Caringin No. 150,Kec. Babakan Ciparay,22,22,18,19,25,14,226
SD NEGERI BABAKAN CIPARAY 10,20245001,Jl. Caringin Gg. Lumbung III No. 50,Kec. Babakan Ciparay,17,40,33,33,35,22,361
SD NEGERI BABAKAN CIPARAY 11,20245002,Jl. Caringin No. 106,Kec. Babakan Ciparay,19,20,23,15,20,13,235
SD NEGERI BABAKAN CIPARAY 12,20245003,Jl. Caringin. Gg Porib 3,Kec. Babakan Ciparay,21,24,19,13,24,16,222
SD NEGERI BABAKAN CIPARAY 16,20245005,Jl. Caringin No. 106,Kec. Babakan Ciparay,24,19,22,18,23,26,253
SD NEGERI BABAKAN CIPARAY 18,20245006,Jl. Kopo No. 440,Kec. Babakan Ciparay,18,16,15,17,19,13,199
SD NEGERI BABAKAN CIPARAY 19,20245007,Jl. Caringin No.150,Kec. Babakan Ciparay,21,20,15,20,18,19,237
SD NEGERI BABAKAN CIPARAY 21,20245010,Jl. Kopo No. 440,Kec. Babakan Ciparay,19,16,20,24,22,17,209
SD NEGERI BABAKAN CIPARAY 9,20245018,Jl. Caringin No. 106,Kec. Babakan Ciparay,25,24,24,16,19,22,246
SD NEGERI BABAKAN JATI,20246455,Jl. Cijawura Girang V,Kec. Buah Batu,60,63,64,66,63,69,739
SD NEGERI BABAKAN PRIANGAN 1,20245108,Jl. Babakan Priangan No. 29,Kec. Regol,16,25,17,18,25,18,230
SD NEGERI BABAKAN PRIANGAN 2,20245109,Jl. Babakan Priangan No. 29,Kec. Regol,16,13,25,15,12,19,208
SD NEGERI BABAKAN PRIANGAN 3,20245110,Jl. Sriwijaya,Kec. Regol,22,13,25,33,26,26,268
SD NEGERI BABAKAN PRIANGAN 5,20245112,Jl. Sriwijaya,Kec. Regol,15,5,22,9,13,15,157
SD NEGERI BABAKAN SARI 1,20245452,Jl. Babakan Sari I No.173,Kec. Kiaracondong,26,21,31,23,25,23,291
SD NEGERI BABAKAN SARI 2,20245453,Jl. Babakan Sari I No.173,Kec. Kiaracondong,24,35,26,28,27,30,304
SD NEGERI BABAKAN SARI 3,20245454,Jl. Babakan Sari I No.173,Kec. Kiaracondong,23,47,23,29,29,26,345
SD NEGERI BABAKAN SENTRAL 1,20245455,Jl. Terusan Psm No. 2 Bandung,Kec. Kiaracondong,18,7,13,14,14,25,170
SD NEGERI BABAKAN SENTRAL 2,20245457,Jl. Terusan Psm No. 2,Kec. Kiaracondong,18,11,16,12,17,11,167
SD NEGERI BABAKAN SENTRAL 3,20245458,Jl. Terusan Psm No. 02,Kec. Kiaracondong,16,11,8,17,10,12,162
SD NEGERI BABAKAN SENTRAL 4,20245459,Jl. Terusan Psm No. 2,Kec. Kiaracondong,13,14,12,18,11,19,152
SD NEGERI BABAKAN SINYAR 1,20245460,Jl. Terusan Sukapura,Kec. Kiaracondong,14,13,20,15,21,18,192
SD NEGERI BABAKAN SINYAR 2,20245461,Jl. Terusan Sukapura,Kec. Kiaracondong,28,22,18,13,24,19,221
SD NEGERI BABAKAN SINYAR 3,20245462,Jl. Terusan Sukapura,Kec. Kiaracondong,20,14,19,13,17,14,183
SD NEGERI BABAKAN SINYAR 4,20245463,Jl. Terusan Sukapura,Kec. Kiaracondong,19,18,18,23,13,20,213
SD NEGERI BABAKAN SURABAYA 01,20245464,Jl. Ibrahim Adjie Belakang No. 147,Kec. Kiaracondong,36,51,26,43,38,54,493
SD NEGERI BABAKAN SURABAYA 02,20245468,Jl. H. Ibrahim Adjie Belakang No. 147,Kec. Kiaracondong,57,42,37,30,45,41,505
SD NEGERI BABAKAN SURABAYA 03,20245469,Jl. H. Ibrahim Adjie Belakang No. 147,Kec. Kiaracondong,42,29,26,23,26,23,339
SD NEGERI BABAKAN SURABAYA 04,20245470,Jl. Ibrahim Adji No. 159,Kec. Kiaracondong,77,76,71,66,66,52,778
SD NEGERI BABAKAN SURABAYA 5,20253893,Jl. Babakan Sari I No. 173,Kec. Kiaracondong,25,27,30,22,26,26,290
SD NEGERI BABAKAN TAROGONG 1,20244943,Jl. Kopo No.256,Kec. Bojong Loa Kaler,18,25,19,16,19,28,230
SD NEGERI BABAKAN TAROGONG 2,20244944,Jl. Kh. Wahid Hasyim No. 256,Kec. Bojong Loa Kaler,13,27,19,14,23,19,228
SD NEGERI BABAKAN TAROGONG 3,20244945,Jl. Kh. Wahid Hasyim No. 256,Kec. Bojong Loa Kaler,19,15,18,16,25,19,219
SD NEGERI BABAKAN TAROGONG 4,20244946,Jl. Kh. Wahid Hasyim No. 256,Kec. Bojong Loa Kaler,18,21,15,17,21,24,228
SD NEGERI BABAKAN TAROGONG 5,20244947,Jl. Kopo No.256,Kec. Bojong Loa Kaler,22,20,17,17,26,18,236
SD NEGERI BABAKAN TAROGONG 6,20244948,Jl. Kh. Wahid Hasyim No. 256,Kec. Bojong Loa Kaler,15,14,23,14,19,21,228
SD NEGERI BABAKANJATI 1,20244823,Jl. H. Basuki No.159,Kec. Batununggal,16,26,20,22,18,22,233
SD NEGERI BABAKANJATI 2,20244824,Jl. H. Basuki No.159,Kec. Batununggal,36,26,23,23,16,22,277
SD NEGERI BALONGGEDE,20251861,Jl. Balonggede No.49,Kec. Regol,43,48,47,38,35,61,527
SD NEGERI BANDUNG BARU 1,20245106,Jalan Bukit Raya Selatan,Kec. Cidadap,28,19,17,17,17,22,253
SD NEGERI BANDUNG BARU 2,20245107,Jl. Bukit Raya Selatan No. 289,Kec. Cidadap,25,26,31,19,26,22,281
SD NEGERI BANDUNGKULON 1,20244949,Jln Cibadak Gg Ibu Aisah No. 16/9a Bandung,Kec. Astananyar,18,20,34,27,33,46,325
SD NEGERI BANDUNGKULON 3,20244950,Jl. Cibadak Gg. Ibu Aisah No. 16/9a Bandung,Kec. Astananyar,19,10,20,19,15,18,189
SD NEGERI BANDUNGKULON 4,20244951,Jln Cibadak Gg. Ibu Aisah No. 16/9a Bandung,Kec. Astananyar,15,15,11,21,14,26,182
SD NEGERI BANJARSARI 1,20245475,Jl. Merdeka No. 22,Kec. Sumur Bandung,14,9,15,35,24,43,284
SD NEGERI BANJARSARI 2,20245476,Jl. Merdeka No. 22,Kec. Sumur Bandung,28,25,39,29,36,53,422
SD NEGERI BANJARSARI 3,20245477,Jl. Merdeka No. 22,Kec. Sumur Bandung,26,33,35,34,36,54,429
SD NEGERI BANJARSARI 4,20245478,Jl. Merdeka No. 22,Kec. Sumur Bandung,13,16,18,24,25,22,222
SD NEGERI BATUNUNGGAL 2,20245020,Jl. Terusan Buah Batu Gg. Anyelir,Kec. Bandung Kidul,11,9,14,14,8,11,153
SD NEGERI BATUNUNGGAL 3,20245021,Jl. Arhanudri No. 12 B,Kec. Bandung Kidul,44,34,40,36,28,33,433
SD NEGERI BHAKTI WINAYA 1,20245114,Jl. Pasirjaya Vi No. 1,Kec. Regol,45,42,45,14,12,18,361
SD NEGERI BHAKTI WINAYA 2,20245115,Jl. Pasirjaya VI No. 1,Kec. Regol, -   , -   , -   ,20,16,20,97
SD NEGERI BHAKTI WINAYA 4,20245116,Jl. Pasirjaya Vi No. 1,Kec. Regol, -   , -   , -   , -   ,12,20,59
SD NEGERI BINAHARAPAN 1,20245481,Jl. Golf Selatan I No 26,Kec. Arcamanik,19,22,22,14,16,22,245
SD NEGERI BINAHARAPAN 2,20245482,Jl. Golf Selatan I No 26,Kec. Arcamanik,16,24,25,16,26,21,244
SD NEGERI BINAHARAPAN 3,20245483,Jl. Golf Selatan I No 26,Kec. Arcamanik,21,29,21,24,22,22,250
SD NEGERI BINAHARAPAN 4,20245484,Jl. Golf Selatan I No 26,Kec. Arcamanik,19,27,24,20,25,23,244
SD NEGERI BINAHARAPAN 5,20245485,Jl. Golf Selatan I No 26,Kec. Arcamanik,15,26,21,17,22,21,244
SD NEGERI BINONG JATI,20244825,Jl. Binongjati No. 20,Kec. Batununggal,69,83,85,65,87,64,852
SD NEGERI BLOK SAWAH,20244739,Kp. Blok Sawah,Kec. Bandung Kulon,35,28,24,21,28,32,303
SD NEGERI BOJONG 1,20244740,Jl. Kawat No. 1,Kec. Bandung Kulon,19,14,18,10,21,16,181
SD NEGERI BOJONG 2,20244768,Jl. Kawat No. 1,Kec. Bandung Kulon,16,17,18,14,12,15,157
SD NEGERI BOJONG INDAH,20244741,Jl. Kawat No. I,Kec. Bandung Kulon,18,13,17,21,13,27,204
SD NEGERI BOJONGKONENG 1,20245119,Jl. Bojongkoneng No. 38,Kec. Cibeunying Kidul,22,15,19,19,15,17,198
SD NEGERI BOJONGKONENG 2,20245120,Jl. Bojongkoneng No. 38,Kec. Cibeunying Kidul,14,22,20,17,17,15,204
SD NEGERI BOJONGKONENG 4,20245121,Jl. Bojongkoneng No. 38,Kec. Cibeunying Kidul,23,24,16,11,16,22,208
SD NEGERI BOJONGLOA 1,20244953,Jl. Cibaduyut Raya No. 142/199 C,Kec. Bojong Loa Kidul,20,25,23,14,17,24,240
SD NEGERI BOJONGLOA 2,20244954,Jl. Cibaduyut Raya No. 142/199 C,Kec. Bojong Loa Kidul,15,18,20,14,19,24,232
SD NEGERI BOJONGLOA 3,20244955,Jl. Cibaduyut Raya No. 142/199 C,Kec. Bojong Loa Kidul,16,23,19,30,20,22,233
SD NEGERI BOJONGLOA 4,20244956,Jl. Cibaduyut Raya No. 142/199 C,Kec. Bojong Loa Kidul,18,24,13,20,19,28,238
