Nama Sekolah,NPSN,Alamat,Kecamatan,Tingkat 1,Tingkat 2,Tingkat 3,Tingkat 4,Tingkat 5,Tingkat 6,Jumlah
SD 1 KRISTEN PAULUS,20219591,Jl. Dr. Rajiman No. 11,Kec. Cicendo,7,4,4,6,3,5,58
SD 2 KRISTEN PAULUS,20219589,Jl. Dr. Rajiman No. 11,Kec. Cicendo,3,5,8,4,4,3,58
SD 3 KRISTEN PAULUS,20219588,Jl. Lombok No. 7,Kec. Sumur Bandung,21,21,25,15,21,31,242
SD ADVENT CIMINDI,20219531,Jl. Raya Cimindi No. 74,Kec. Andir,29,16,24,20,19,24,246
SD ADVENT II BANDUNG,20258082,Jl. Setiabudhi No 1 Bandung,Kec. Coblong,18,13,11,15,16,25,163
SD ADVENT NARIPAN,20219530,Jl.Naripan No.91,Kec. Sumur Bandung,7,3,7,2,7,4,66
SD ADZKIA,NP212933,JL. PANUMBANG JAYA DALAM NO 38 F,Kec. Cidadap, -   , -   , -   , -   , -   , -   , -   
SD AL AMIN,20219529,Jl. Bangbayang No. 15-157 C,Kec. Coblong,23,12,15,28,14,12,198
SD AL AZHAR 36,69752555,Jl. Van De Venter No. 12,Kec. Sumur Bandung,58,59,18,15,12,10,341
SD AL BAROKAH,20219528,Jl. Aki Padma No. 23,Kec. Babakan Ciparay,12,30,13,23,19,12,232
SD AL BASYARIYAH,20219527,Jl. Cibaduyut Lama Komplek Sauyunan,Kec. Bojong Loa Kidul,103,101,86,92,66,65,917
SD AL FALAH,20219526,Jl. Cisitu Baru No.52,Kec. Coblong,13,11,10,14,14,9,140
SD AL FATAH,20219525,Jl. Kopo Gg. Sukaleueur,Kec. Bojong Loa Kaler,20,31,23,20,30,16,260
SD AL FATAH AL HASAN,20219524,Jl. Gunung Batu No. 31,Kec. Cicendo,25,12,12,16,22,15,209
SD AL HIDAYAH,20219523,Jl. Babakan Ciparay No. 147,Kec. Bojong Loa Kaler,12,13,14,12,10,17,182
SD AL HUSAINIYYAH,20219544,Jl. Bukit Jarian No.29/165 D,Kec. Cidadap,33,17,20,16,23,22,273
SD AL IKHLAS,20219532,Karang Tineung Dlm 84,Kec. Sukajadi,24,30,38,38,39,19,368
SD AL- HIDAYAH,20252052,Jl. Rancabulan No. 7 Rancabentang,Kec. Cidadap,20,19,17,11,18,14,203
SD AL-IRHAAM GLOBAL ISLAMIC SCHOOL,20252083,Jl. A.H. NAsution No. 133,Kec. Mandalajati,8,11,4,7,8,8,81
