npsn,nama,bentuk_pendidikan_nama,jenjang_pendidikan_nama,alamat_jalan,rt,rw,nama_dusun,desa_kelurahan_nama,Column,lintang,bujur,kebutuhan_khusus_nama,status_sekolah_nama,status_kepemilikan_nama
20245261,SD NEGERI SARIJADI SELATAN 2,SD,SD / sederajat,"Jl. Sarimadu Bawah, Sarijadi Blok 26",1,1,,Sukawarna,Kec. Sukajadi,-6.8711,107.5812,Tidak ada,Aktif,Pemerintah Daerah
20245549,SD NEGERI COBLONG 4,SD,SD / sederajat,Jl. Ir. H. Juanda No. 338,5,7,,Dago,Kec. Coblong,-6.878,107.6171,Tidak ada,Aktif,Pemerintah Daerah
20244883,SD NEGERI KEBON GEDANG 10,SD,SD / sederajat,Jl. Kebon Gedang No. 82,3,7,,Maleer,Kec. Batununggal,-6.9309,107.6414,Tidak ada,Aktif,Pemerintah Daerah
20219539,SD ASY-SYIFA 1,SD,SD / sederajat,Jalan Saturnus Timur No. 94,6,12,,Manjahlega,Kec. Rancasari,-6.9511,108.0,Tidak ada,Tidak Aktif,Yayasan
20244839,SD NEGERI CIGONDEWAH 4,SD,SD / sederajat,JL.CIGONDEWAH KALER BLOK JAMBANGAN RT.03 RW 10,3,10,,Cigondewah Kaler,Kec. Bandung Kulon,-6.9358,107.5611,Tidak ada,Aktif,Lainnya
20245023,SD NEGERI CIJAGRA 1,SD,SD / sederajat,Jl. Situ Lembang,3,1,,Cijagra,Kec. Lengkong,-6.9446,107.6276,Tidak ada,Aktif,Pemerintah Daerah
20246399,SD NEGERI BUAHBATU 9,SD,SD / sederajat,Jl. H. Ibrahim Adjie No. 45,0,0,Cijaura,Cijaura,Kec. Buahbatu,-6.9517,107.6409,Tidak ada,Aktif,Pemerintah Daerah
20219602,SD CAHAYA PELITA 2,SD,SD / sederajat,Jl. Babakan Ciparay,2,2,,Sukahaji,Kec. Babakan Ciparay,-6.9323,107.5849,Tidak ada,Tidak Aktif,Yayasan
20219843,SDK KALAM KUDUS,SD,SD / sederajat,Jl. Ibu Inggit Garnasih No. 108 .,5,7,,,Kec. Regol,-6.9673,107.5907,Tidak ada,Tidak Aktif,Yayasan
20244872,SD NEGERI GUMURUH 09,SD,SD / sederajat,Jl. Gumuruh No. 138,8,7,,Gumuruh,Kec. Batununggal,-6.9304,107.6389,Tidak ada,Aktif,Pemerintah Daerah
20245020,SD NEGERI BATUNUNGGAL 2,SD,SD / sederajat,Jl. Terusan Buah Batu Gg. Anyelir,4,9,,Batununggal,Kec. Bandung Kidul,-6.9531,107.6385,Tidak ada,Aktif,Lainnya
20219833,SD PRASISTHA,SD,SD / sederajat,Jl. Andir Ri Winata No. 15,3,8,,Dungus Cariang,Kec. Andir,-6.9178,107.5857,Tidak ada,Tidak Aktif,Yayasan
20219906,SD YAKESWA,SD,SD / sederajat,Jl. Dr. Hatta 54/29 B,5,17,,Taman Sari,Kec. Bandung Wetan,-6.9017,107.6036,Tidak ada,Tidak Aktif,Yayasan
20245109,SD NEGERI BABAKAN PRIANGAN 2,SD,SD / sederajat,Jl. Babakan Priangan No. 29,4,1,,,Kec. Regol,-6.9469,107.6135,Tidak ada,Aktif,Pemerintah Daerah
20245734,SD NEGERI PASIR IMPUN 2,SD,SD / sederajat,Jl. Pasir Impun No. 23,5,11,,Karang Pamulang,Kec. Mandalajati,-6.8983,107.6738,Tidak ada,Aktif,Pemerintah Daerah
20245794,SD NEGERI SUKA ASIH,SD,SD / sederajat,Suka Asih Bandung,4,6,,Sindang Jaya,Kec. Mandalajati,-6.9009,107.681,Tidak ada,Aktif,Pemerintah Pusat
20219523,SD AL HIDAYAH,SD,SD / sederajat,Jl. Babakan Ciparay No. 147,4,7,,Suka Asih,Kec. Bojong Loa Kaler,-6.9295,107.5852,Tidak ada,Tidak Aktif,Yayasan
20244852,SD NEGERI CIPEDES 2,SD,SD / sederajat,Jl. Setrasari Tengah No. 15,6,2,Kampung Sukamulya,Sukarasa,Kec. Sukasari,-6.8692,107.5878,Tidak ada,Aktif,Pemerintah Daerah
20219823,SD PERTIWI,SD,SD / sederajat,Jl. Kebon Bibit No. 16,2,10,,Taman Sari,Kec. Bandung Wetan,-6.8978,107.6072,Tidak ada,Tidak Aktif,Pemerintah Daerah
20219825,SD SANTA ANGELA,SD,SD / sederajat,Jl. Merdeka No. 24,5,5,Sumur Bandung,Babakan Ciamis,Kec. Sumur Bandung,-6.9088,107.615,Tidak ada,Tidak Aktif,Yayasan
20247256,SD YAYASAN BERIBU,SD,SD / sederajat,Jl. B K R No. 1,7,6,,Cijagra,Kec. Lengkong,-6.9235,107.6422,"C1, D",Tidak Aktif,Yayasan
20244972,SD NEGERI CITARIP BARAT 6,SD,SD / sederajat,Jl. Madesa No. 24,1,12,,Kopo,Kec. Bojong Loa Kaler,-6.9391,107.5852,Tidak ada,Aktif,Pemerintah Daerah
20245576,SD NEGERI GRIYA BUMI ANTAPANI 14-2,SD,SD / sederajat,Jl. Cicalengka Raya No.1,2,6,,Antapani Kidul,Kec. Antapani,-6.9196,107.6581,Tidak ada,Aktif,Pemerintah Daerah
20245066,SD NEGERI PAGARSIH 5,SD,SD / sederajat,Jl. Pagarsih No. 77,3,9,,Cibadak,Kec. Astanaanyar,-6.9231,107.5945,Tidak ada,Aktif,Pemerintah Pusat
20245548,SD NEGERI COBLONG 3,SD,SD / sederajat,Jl. Ir.h. Juanda No. 304,7,7,Dago,Dago,Kec. Coblong,-6.8795,107.6166,Tidak ada,Aktif,Lainnya
20245262,SD NEGERI SALUYU 1,SD,SD / sederajat,Jl. Cimuncang Dalam No. 52,2,6,,Sukapada,Kec. Cibeunying Kidul,-6.8976,107.6489,Tidak ada,Aktif,Pemerintah Daerah
20245500,SD NEGERI CIPADUNG 3,SD,SD / sederajat,Jl. Embah Jaksa No. 145 B,5,12,,Cipadung,Kec. Cibiru,-6.9247,107.7161,Tidak ada,Aktif,Pemerintah Daerah
