NO,TANGGAL,TAHUN,TEMPAT,LEVEL,KATEGORI,PENGHARGAAN,PEMBERI,PENERIMA,PEMILIK PRESTASI
142,6/5/2014,2014,JAKARTA,NASIONAL,PIMPINAN,BEST EFFORT PENGHARGAAN ADIPURA 2014 KATEGORI KOTA METROPOLITAN,KEMENTERIAN LINGKUNGAN HIDUP,WALIKOTA,PEMKOT
143,5/26/2014,2014,JAKARTA,NASIONAL,PIMPINAN,PENGHARGAAN K3 KATEGORI PEMBINA,MENAKERTRANS,WAKIL WALIKOTA,PEMKOT
144,5/19/2014,2014,JAKARTA,NASIONAL,PIMPINAN,PENGHARGAAN PENGENDALIAN TEMBAKAU,KOMNAS PENGENDALIAN TEMBAKAU (KOMNAS PT),,PEMKOT
145,3/19/2014,2014,JAKARTA,NASIONAL,PIMPINAN,SINDO WEEKLY GOVERNMENT AWARD 2014,SINDO WEEKLY,WALIKOTA,PEMKOT
146,12/18/2014,2014,JAKARTA,NASIONAL,PIMPINAN,PARAHITA EKA PRAYA TINGKAT MADYA,KEMENTRIAN NEGARA PEMBERDAYAAN PEREMPUAN DAN PERLINDUNGAN ANAK RI ,,PEMKOT
147,,2014,JAKARTA,NASIONAL,KEWILAYAHAN,JUARA 2 LOMBA UKS ,KEMENTRIAN KESEHATAN,KECAMATAN LENGKONG,PUSKESMAS TALAGABODAS
148,12/1/2014,2014,JAKARTA,NASIONAL,KEWILAYAHAN,"SEKOLAH ADIWIYATA NASIONAL TAHUN 2014 ""SEKOLAH PEDULI DAN BERBUCAYA LINGKUNGAN""",MENTERI PENDIDIKAN DAN KEBUDAYAAN DAN MENTERI LINGKUNGAN HIDUP DAN KEHUTANAN,SMPN 31 BANDUNG,SMPN 31 BANDUNG
149,8/19/2014,2014,BANDUNG,NASIONAL,KEWILAYAHAN,KELURAHAN SADAR HUKUM,MENTERI HUKUM DAN HAK ASASI MANUSIA RI,KELURAHAN SUKAASIH,KELURAHAN SUKAASIH
150,6/2/2014,2014,BATAM,NASIONAL,BADAN,STAND TERBAIK PADA PAMERAN PRODUK UNGGULAN DAN PRODUK KHAS DAERAH,PT. AIRA MITRA MEDIA,BAPPEDA,BAPPEDA
151,,2014,,NASIONAL,DINAS,JUARA 1 INDONESIA MENCARI BAKAT TRANS TV,,DISBUDPAR,RISMAWAN
152,,2014,TOMOHON,NASIONAL,DINAS,KONTES RATU BUNGA ,,DISBUDPAR,WIDYA SARASAYU
153,,2014,,NASIONAL,DINAS,PENGHARAAN HAKI – INDONESIA,,DISBUDPAR,TISNA SANJAYA
154,7/18/2014,2014,,NASIONAL,DINAS,PREDIKAT KEPATUHAN STANDAR PELAYANAN PUBLIK,OMBUDSMAN,DISTARCIP,DISTARCIP
155,9/25/2014,2014,,NASIONAL,DINAS,"JUARA I ADIUPAYA PURITAMA, PENGHARGAAN SEKTOR PERUMAHAN & PEMUKIMAN",KEMENPERA,DISTARCIP,DISTARCIP
156,,2014,,NASIONAL,DINAS,TINGKAT KECELAKAAN NIHIL,MENAKERTRANS,DISNAKER,UNTUK 15 PERUSAHAAN DI KOTA BANDUNG
157,,2014,,NASIONAL,DINAS,PENGHARGAAN SMK3 (BENDERA EMAS),MENAKERTRANS,DISNAKER,PT. LEN INDONESIA; PT. ARKINDO BANDUNG; PT. GUNAKRYA NUSANTARA
158,7/18/2014,2014,BANDUNG,NASIONAL,BADAN,PREDIKAT KEPATUHAN STANDAR PELAYANAN PUBLIK,OMBUDSMAN,BPPT,BPPT
159,1/23/2014,2014,BANDUNG,NASIONAL,BADAN,PREDIKAT ZONA HIJAU (TINGKAT KEPATUHAN TINGGI),OMBUDSMAN,BPPT,BPPT
160,7/18/2014,2014,BANDUNG,NASIONAL,PD,PREDIKAT KEPATUHAN STANDAR PELAYANAN PUBLIK,S,PD BPR,PD BPR
161,,2014,,NASIONAL,DINAS,PARAMADHANA MADYA NUGRAHA - KOTA PENGGERAK KOPERASI TAHUN 2014,,DINAS KUKM INDAG,DINAS KUKM INDAG
162,,2014,,NASIONAL,DINAS,KOPERASI BERPRESTASI TINGKAT NASIONAL,,DINAS KUKM INDAG,KOPERASI KARYAWAN PT. TELKOM SARASWATI
163,,2014,,NASIONAL,DINAS,KOPERASI BERPRESTASI TINGKAT NASIONAL,,DINAS KUKM INDAG,PRIMKOP KARTIKA KARYA MANDIRI
164,,2014,,NASIONAL,DINAS,KOPERASI BERPRESTASI TINGKAT NASIONAL,,DINAS KUKM INDAG,KOPERASI PEGAWAI BINA KIMIA LIPI
165,,2014,,NASIONAL,DINAS,KOPERASI BERPRESTASI TINGKAT NASIONAL,,DINAS KUKM INDAG,KOPERASI KREDIT MELANIA
166,,2014,LOMBOK,NASIONAL,DINAS,JUARA 3 STAND TERBAIK,PAREKRAF EXPO,DINAS KUKM INDAG,DINAS KUKM INDAG
167,,2014,MAKASSAR,NASIONAL,DINAS,JUARA 2 STAND TERBAIK,IFAC EXPO,DINAS KUKM INDAG,DINAS KUKM INDAG
168,11/26/2014,2014,JAKARTA,NASIONAL,PIMPINAN,PRAMADHANA MADYA NUGRAHA,MENTERI KUKM,WAKIL WALIKOTA,PEMKOT
169,10/9/2014,2014,JAKARTA,NASIONAL,PIMPINAN,RASKIN AWARD 2014,MENKOKESRA,SEKRETARIS DAERAH,PEMKOT
170,9/30/2014,2014,JAKARTA,NASIONAL,PIMPINAN,MDG'S AWARD,MENKOKESRA,WAKIL WALIKOTA,PEMKOT
171,9/25/2014,2014,JAKARTA,NASIONAL,PIMPINAN,ADIUPAYA PURITAMA,KEMENPERA,WALIKOTA,PEMKOT
172,7/17/2014,2014,JAKARTA,NASIONAL,PIMPINAN,STANDAR PELAYANAN PUBLIK,OMBUDSMAN,WALIKOTA,PEMKOT
173,8/11/2014,2014,JAKARTA,INTERNASIONAL,PIMPINAN,"PENGHARGAAN GOVERNMENT AND PRIVATE PARTNERSHIP FOR PUBLIC SPACES PROVISION
(EAROPH WORLD CONGRESS;  MAYOR CAUCUS)
",24th EAROPH World Congress bertajuk ‘Mayor Caucus: Challenges in the Government of Cities Today’ ,WALIKOTA,PEMKOT
174,,2014,,INTERNASIONAL,DINAS,BANGUNAN CAGAR BUDAYA SEBAGAI BANGUNAN TEMPO DULU YANG TERPELIHARA SANGAT BAIK,UNESCO,DISBUDPAR,DISBUDPAR
175,10/21/2014,2014,JAKARTA,INTERNASIONAL,PIMPINAN,PENGELOLAAN SAMPAH,UNIV. KITAKYUSHU LABORATORIUM MATSUMOTO,IBU WAKIL WALIKOTA,LSM HIJAU LESTARI
