TANGGAL,NO_SURAT,NAMA_DOKUMEN,NAMA_GEDUNG_PERUSAHAAN,ALAMAT
1/22/2015,74,IJIN PENJ. APK.,CV. MITRA ABADI,JL. PAJAJARAN DALAM NO. 113
1/29/2015,101,IJIN PENJ. APK.,CV. ANEKA MANDIRI,JL. GEDEBAGE WETAN NO. 20
3/17/2015,268,IJIN PENJ. APK.,CV. BANDUNG SERVICE,JL. JEND. SUDIRMAN NO. 104
4/9/2015,358,IJIN PENJ. APK.,CV. DELIMA LESTARI,JL. CINAMBO INDAH NO. 5
4/9/2015,359,IJIN PENJ. APK.,CV. FIORA BAGUS PERSADA,JL. MARGAHAYU RAYA BARAT U2 NO. 147
4/28/2015,430,IJIN PENJ. APK.,CV. CIPTA SARANA ABADI,JL. ABDURAHMAN SALAEH NO. 14
5/21/2015,518,IJIN PENJ. APK.,CV. ROMARISTA,JL. HOLIS NO. 336
8/19/2015,907,IJIN PENJ. APK.,CV. CITRA WULAN,KOMP. BUMI ASRI GEMPOLSARI BLOK B NO. 163
9/3/2015,993,IJIN PENJ. APK.,CV. PUTERA BAHARI ,JL. AWI BITUNG NO. 52
9/7/2015,999,IJIN PENJ. APK.,PT. KAYNEL INDONESIA,JL. BATUNUNGGAL INDAH
10/15/2015,1173,IJIN PENJ. APK.,CV. CAHAYA GEMILANG,JL. BABAKAN TAROGONG
11/4/2015,1256,IJIN PENJ. APK.,PT. VINATAMA MAS,JL. SENDI KENCANA BLOK A-17
11/9/2015,1290,IJIN PENJ. APK.,CV. DAI PROTEKSINDO ,JL. MOH. YUNUS I NO. 172/6B
12/17/2015,1477,IJIN PENJ. APK.,CV. SINAR CAHAYA,JL. R.E. MARTADINATA NO. 145
