NO,NAMA SUNGAI,LOKASI USULAN ( RT DAN RW ),KELURAHAN
1,ANAK KALI CITEPUS,RT.004 / RW.001,Babakan Asih
2,ANAK KALI CITEPUS,RT.002 / RW.001,Babakan Asih
3,ANAK KALI CITEPUS,PERBATASAN KEL.BBK TAROGONG DAN KEL.BABAKAN ASIH RW.005,Babakan Asih
4,CUCU KALI CITEPUS,RT.006/RW.005,Babakan Asih
5,CUCU KALI CITEPUS,RT.003/RW.005,Babakan Asih
6,CUCU KALI CITEPUS,SAMPING IBU MAIRAH RT.002/RW.004,Babakan Asih
7,ANAK KALI CITEPUS,DEPAN KANTOR POS RT.001/RW.004,Babakan Asih
8,ANAK KALI CITEPUS,DEPAN KANTOR POS RT.001/RW.004,Babakan Asih
9,CUCU KALI CITEPUS,GG. SUKARMA RT.007/RW.003,Babakan Asih
10,CUCU KALI CITEPUS,GG. SUKARMA RT.003/RW.003,Babakan Asih
