BULAN, Kutipan Akta Pengesahan Anak WNI, Kutipan Akta Pengesahan Anak WNI (LT)
Januari, 6, 5
Februari, 5, 1
Maret, 15, 2
April, 11, 4
Mei, 4, 2
Juni, 2, 1
Juli, 13, 4
Agustus, 14, 1
September, 14, 0
Oktober, 25, 2
November, 6, 1
Desember, 10, 1
