"KODE
REKENING,URAIAN,JUMLAH,DASAR HUKUM",DESKRIPSI,JUMLAH,DASAR HUKUM
1.02 . 1.02.03 . 00 . 00 . 4,PENDAPATAN,25000000000,
1.02 . 1.02.03 . 00 . 00 . 4 . 1,PENDAPATAN ASLI DAERAH,25000000000,
1.02 . 1.02.03 . 00 . 00 . 4 . 1 . 4,Lain-lain Pendapatan Asli Daerah yang Sah,25000000000,
1.02 . 1.02.03 . 00 . 00 . 5,BELANJA,73558716548,
1.02 . 1.02.03 . 00 . 00 . 5 . 1,BELANJA TIDAK LANGSUNG,10958924906,
1.02 . 1.02.03 . 00 . 00 . 5 . 1 . 1,Belanja Pegawai,10958924906,PP 12 Tahun 2006 ttg Tunjangan Umum bagi PNS
1.02 . 1.02.03 . 01 . 02 . 5 . 2,BELANJA LANGSUNG,62599791642,
1.02 . 1.02.03 . 01,Program Pelayanan Administrasi Perkantoran,6245682000,
1.02 . 1.02.03 . 01 . 02,Penyediaan jasa komunikasi Sumber daya air dan listrik,696000000,
1.02 . 1.02.03 . 01 . 02 . 5 . 2 . 2,Belanja Barang dan Jasa,696000000,
1.02 . 1.02.03 . 01 . 08,Penyediaan jasa kebersihan kantor,1746050000,
1.02 . 1.02.03 . 01 . 08 . 5 . 2 . 1,Belanja Pegawai,23050000,
1.02 . 1.02.03 . 01 . 08 . 5 . 2 . 2,Belanja Barang dan Jasa,1723000000,
1.02 . 1.02.03 . 01 . 10,Penyediaan alat tulis kantor,200000000,
1.02 . 1.02.03 . 01 . 10 . 5 . 2 . 1,Belanja Pegawai,2000000,
1.02 . 1.02.03 . 01 . 10 . 5 . 2 . 2,Belanja Barang dan Jasa,198000000,
1.02 . 1.02.03 . 01 . 11,Penyediaan barang cetakan dan penggandaan,688791000,
1.02 . 1.02.03 . 01 . 11 . 5 . 2 . 1,Belanja Pegawai,10700000,
1.02 . 1.02.03 . 01 . 11 . 5 . 2 . 2,Belanja Barang dan Jasa,678091000,
1.02 . 1.02.03 . 01 . 13,Penyediaan peralatan dan perlengkapan kantor,1703100000,
1.02 . 1.02.03 . 01 . 13 . 5 . 2 . 1,Belanja Pegawai,22800000,
1.02 . 1.02.03 . 01 . 13 . 5 . 2 . 2,Belanja Barang dan Jasa,564300000,
1.02 . 1.02.03 . 01 . 13 . 5 . 2 . 3,Belanja Modal,1116000000,
1.02 . 1.02.03 . 01 . 20,Penyediaan Jasa Pengamanan Kantor,1211741000,
1.02 . 1.02.03 . 01 . 20 . 5 . 2 . 1,Belanja Pegawai,9950000,
1.02 . 1.02.03 . 01 . 20 . 5 . 2 . 2,Belanja Barang dan Jasa,1201791000,
1.02 . 1.02.03 . 02,Program Peningkatan Sarana dan Prasarana Aparatur,372000000,
1.02 . 1.02.03 . 02 . 05,pengadaan Kendaraan dinas/operasional,252000000,
1.02 . 1.02.03 . 02 . 05 . 5 . 2 . 3,Belanja Modal,252000000,
1.02 . 1.02.03 . 02 . 24,Pemeliharaan rutin/berkala kendaraan dinas/operasional,120000000,
1.02 . 1.02.03 . 02 . 24 . 5 . 2 . 2,Belanja Barang dan Jasa,120000000,
1.02 . 1.02.03 . 03,Program peningkatan disiplin aparatur,473000000,
1.02 . 1.02.03 . 03 . 02,Pengadaan pakaian dinas beserta perlengkapannya,473000000,
1.02 . 1.02.03 . 03 . 02 . 5 . 2 . 1,Belanja Pegawai,8000000,
1.02 . 1.02.03 . 03 . 02 . 5 . 2 . 2,Belanja Barang dan Jasa,465000000,
1.02 . 1.02.03 . 05,Program Peningkatan Kapasitas Sumber Daya Aparatur,1928800000,
1.02 . 1.02.03 . 05 . 04,Pembinaan Kinerja Aparatur,1028800000,
1.02 . 1.02.03 . 05 . 04 . 5 . 2 . 1,Belanja Pegawai,2000000,
1.02 . 1.02.03 . 05 . 04 . 5 . 2 . 2,Belanja Barang dan Jasa,1026800000,
1.02 . 1.02.03 . 05 . 05,Seminar dan Lokakarya,900000000,
1.02 . 1.02.03 . 05 . 05 . 5 . 2 . 2,Belanja Barang dan Jasa,900000000,
1.02 . 1.02.03 . 15,Program Obat dan Perbekalan Kesehatan,3945550000,
1.02 . 1.02.03 . 15 . 01,Pengadaaan Obat dan Perbekalan Kesehatan,3945550000,
1.02 . 1.02.03 . 15 . 01 . 5 . 2 . 1,Belanja Pegawai,36150000,
1.02 . 1.02.03 . 15 . 01 . 5 . 2 . 2,Belanja Barang dan Jasa,3909400000,
1.02 . 1.02.03 . 19,Program Promosi Kesehatan dan Pemberdayaan Masyarakat,215600000,
1.02 . 1.02.03 . 19 . 01,Pengembangan media promosi dan informasi sadar hidup sehat,215600000,
1.02 . 1.02.03 . 19 . 01 . 5 . 2 . 1,Belanja Pegawai,1600000,
1.02 . 1.02.03 . 19 . 01 . 5 . 2 . 2,Belanja Barang dan Jasa,214000000,
1.02 . 1.02.03 . 23,Program Standarisasi Pelayanan Kesehatan,770000000,
1.02 . 1.02.03 . 23 . 07,Akreditasi Rumah Sakit,770000000,
1.02 . 1.02.03 . 23 . 07 . 5 . 2 . 2,Belanja Barang dan Jasa,770000000,
1.02 . 1.02.03 . 26,Program pengadaan Peningkatan sarana dan prasarana rumah sakit/ rumah sakit jiwa/  rumah sakit paru-paru/  rumah sakit mata,18259359642,
1.02 . 1.02.03 . 26 . 01,Pembangunan rumah sakit,14778749642,
1.02 . 1.02.03 . 26 . 01 . 5 . 2 . 1,Belanja Pegawai,29050000,
1.02 . 1.02.03 . 26 . 01 . 5 . 2 . 2,Belanja Barang dan Jasa,8034000000,
1.02 . 1.02.03 . 26 . 01 . 5 . 2 . 3,Belanja Modal,6715699642,
1.02 . 1.02.03 . 26 . 18,Pengadaan alat-alat kesehatan rumah sakit,2203600000,
1.02 . 1.02.03 . 26 . 18 . 5 . 2 . 1,Belanja Pegawai,6000000,
1.02 . 1.02.03 . 26 . 18 . 5 . 2 . 2,Belanja Barang dan Jasa,415000000,
1.02 . 1.02.03 . 26 . 18 . 5 . 2 . 3,Belanja Modal,1782600000,
1.02 . 1.02.03 . 26 . 27,Pengadaan Alat-Alat Kesehatan (DAK),1277010000,
1.02 . 1.02.03 . 26 . 27 . 5 . 2 . 3,Belanja Modal,1277010000,
1.02 . 1.02.03 . 32,Program peningkatan keselamatan ibu melahirkan dan anak,5389800000,
1.02 . 1.02.03 . 32 . 03,Pertolongan persalinan bagi ibu dari keluarga kurang mampu,5389800000,
1.02 . 1.02.03 . 32 . 03 . 5 . 2 . 1,Belanja Pegawai,2914750000,
1.02 . 1.02.03 . 32 . 03 . 5 . 2 . 2,Belanja Barang dan Jasa,2373450000,
1.02 . 1.02.03 . 32 . 03 . 5 . 2 . 3,Belanja Modal,101600000,
1.02 . 1.02.03 . 33,Program Peningkatan Pelayanan Kesehatan Badan Layanan Umum Daerah,25000000000,
1.02 . 1.02.03 . 33 . 01,Pelayanan,25000000000,
1.02 . 1.02.03 . 33 . 01 . 5 . 2 . 1,Belanja Pegawai,5180350000,
1.02 . 1.02.03 . 33 . 01 . 5 . 2 . 2,Belanja Barang dan Jasa,19619650000,
1.02 . 1.02.03 . 33 . 01 . 5 . 2 . 3,Belanja Modal,200000000,
,SURPLUS / (DEFISIT),48558716548,
