NO,NAMA SARANA PENDIDIKAN,STATUS,JUMLAH KEPALA SEKOLAH,JUMLAH GURU TETAP,JUMLAH GURU HONORER,JUMLAH GURU BANTU,JUMLAH GURU KESELURUHAN,JUMLAH MURID LAKI-LAKI,JUMLAH MURID PEREMPUAN,JUMLAH MURID KESELURUHAN,JUMLAH RUANG BELAJAR,JUMLAH ROMBONGAN BELAJAR,ALAMAT
1,TK. Bunga Pertiwi,Swasta,1,1,,,2,18,15,33,1,2,Gg. Katir No.57 RT 04/01 Kel. Situsaeur
2,RA. Anisa,Swasta,1,1,2,2,6,18,17,35,,3,Gg. Parasdi RT.05 RW.08 Kel. Situsaeur
3,RA. Arafah,Swasta,1,,,,,,,,,,Jl. Leuwi Panjang RT 05/05 Kel. Situsaeur
4,TK. Dian Mas,Swasta,1,9,,,10,27,27,54,3,3,Komp. Muara Rw 03 Kel. Situsaeur
5,TK. Nurul Janah,Swasta,1,,,,,,,,,,Jl. Leuwi Panjang RT 02/04 Kel. Situsaeur
6,TK. Al.Kaafah,Swasta,1,,,,,,,,,,Jl. Kopo 233 RT 01/06 Kel.Situsaeur
7,TK. Aisiayah,Swasta,1,2,,,3,24,22,46,1,2,Gg KebonKalapa RT 11/07 Kel.Situsaeur
8,TK. Al.Basyariah,Swasta,1,,,,,,,,,,Jl. Sauyunan Rw 07 Kel. Kebonlega
9,TK. ASL. Mizan,Swasta,1,,,,,,,,,,Jl. Sauyunan Rw 07 Kel. Kebonlega
10,RA. Al.Gozali,Swasta,1,,6,,7,18,27,45,3,3,Jl. Karasak Lama Rw 05 Kel.Kebonlega
11,TK. Husnul,Swasta,1,,,,,,,,,,RT 03/02 Kel. Kebonlega
12,TK. A Hikmah,Swasta,1,,,,,,,,,,RT 03/09 Kel. Kebonlega
13,TK. TPA A Husada,Swasta,1,,,,,,,,,,Jl. Karasak Lama Rw 09 Kel.Kebonlega
14,TK. Harapan Bunda,Swasta,1,,,,,,,,,,Jl. Inhoftank RW 03 Kel Kebonlega
15,TK. Rembulan,Swasta,1,,,,,,,,,,Jl. Muara RW 11 Kel. Kebonlega
16,TKQ. Darunisa,Swasta,1,1,6,0,7,28,23,51,1,2,RW 05 Kel. Cibaduyut
17,TKQ Al Hadist Solihin,Swasta,1,7,,1,9,31,39,70,2,1,RW 02 Kel Cibaduyut
18,TK. Ahilah,Swasta,1,,,,,,,,,,RT 02/ 08 Kel. Cibaduyut
19,TK. AR Rosyid,Swasta,1,4,,,5,20,26,46,2,2,RT 03/ 01 Kel. Cibaduyut
20,TK. Dewi Asri,Swasta,1,1,,1,2,11,14,25,1,1,Jl. Salakadomas RW 02 Kel.Cibaduyut Kidul
21,TK. Mutnaninah,Swasta,1,10,,,11,47,41,88,5,5,RT 01/02 Kel. Cibaduyut  Kidul
22,TK. Al. Hidayah,Swasta,1,1,,1,2,1,7,8,1,1,RT 02/01 Kel. Cibaduyut Kidul
23,TKQ Al Alawy Al Islami,Swasta,1,2,,,3,7,8,15,1,1,Ciparay Tengah RT 07 RW 06 Kel Cibaduyut Kidul
24,TK Sifaushudur,Swasta,1,2,,2,5,9,8,17,1,1,Ciparay Tengah RT 07 RW 06 Kel Cibaduyut Kidul
25,TK Al Baqi,Swasta,1,5,,,6,19,19,38,3,3,Ciparay Tengah RT 07 RW 06 Kel.Cibaduyut Kidul
26,TK/RA Baiturrohim,Swasta,1,3,,2,5,12,13,25,1,1,Sekekuda RW 07 Kel. Mekarwangi
