nama_kecamatan,jumlah_pus,jml_pus_kps_ksi,persentase_pus_kps_ks1,jml_pus_jkn_penerima_bantuan,persentase_pus_jkn_terima_bantuan,jml_pus_jkn_bukan_penerima_bantuan,persentase_pus_jkn_bukan_penerima_bantuan,jml_pus_jkn,persentase_pus_jkn
Sukasari,8702,3554,40.84,0,0.00,0,0.00,0,0.00
Coblong,16147,7057,43.70,5,0.03,5,0.03,10,0.06
Babakan Ciparay,21499,8312,38.66,8108,37.71,13390,62.28,21498,100.00
Bojongloa Kaler,17529,7881,44.96,7536,42.99,9982,56.95,17518,99.94
Andir,18477,11172,60.46,2058,11.14,0,0.00,2058,11.14
Cicendo,12077,6330,52.41,0,0.00,12077,100.00,12077,100.00
Sukajadi,16472,4958,30.10,0,0.00,0,0.00,0,0.00
Cidadap,8116,2541,31.31,2540,31.30,0,0.00,2540,31.30
Bandung Wetan,5097,2087,40.95,0,0.00,0,0.00,0,0.00
Astana Anyar,9495,2283,24.04,0,0.00,0,0.00,0,0.00
Regol,14812,4443,30.00,0,0.00,0,0.00,0,0.00
Batununggal,16661,9305,55.85,0,0.00,0,0.00,0,0.00
Lengkong,14998,5769,38.47,1973,13.16,13025,86.84,14998,100.00
Cibeunying Kidul,17390,7879,45.31,7519,43.24,9483,54.53,17002,97.77
Bandung Kulon,14779,10558,71.44,5406,36.58,5384,36.43,10790,73.01
Kiaracondong,15132,8772,57.97,0,0.00,0,0.00,0,0.00
Bojongloa Kidul,12086,4927,40.77,2102,17.39,8972,74.23,11074,91.63
Cibeunying Kaler,10378,2014,19.41,3035,29.24,6789,65.42,9824,94.66
Sumur Bandung,6341,3024,47.69,0,0.00,0,0.00,0,0.00
Antapani,9975,1529,15.33,0,0.00,0,0.00,0,0.00
Bandung Kidul,4263,1907,44.73,1864,43.73,2399,56.27,4263,100.00
Buahbatu,11497,2168,18.86,0,0.00,0,0.00,0,0.00
Rancasari,10047,1557,15.50,1417,14.10,138,1.37,1555,15.48
Arcamanik,8539,3245,38.00,0,0.00,0,0.00,0,0.00
Cibiru,9554,3426,35.86,1306,13.67,2332,24.41,3638,38.08
Ujung Berung,17290,15096,87.31,2223,12.86,0,0.00,2223,12.86
Gedebage,8843,2753,31.13,570,6.45,5061,57.23,5631,63.68
Panyileukan,5495,1428,25.99,726,13.21,702,12.78,1428,25.99
Cinambo,4130,1497,36.25,777,18.81,1511,36.59,2288,55.40
Mandalajati,11096,4063,36.62,4063,36.62,6973,62.84,11036,99.46
