jenis_kelamin,asal_sekolah,kelas
Laki-laki,SDN Bojong Rawalumbu VI Kota Bekasi,V(lima)
Perempuan,SDN Cipagalo 1 Kab.bandung,V(lima)
Perempuan,SD Mulia Kencana,III(tiga)
Laki-laki,SDN 10 Lubuk begalung Kota Padang,II(dua)
Perempuan,SDN 10 Lubuk begalung Kota Padang,IV(empat)
perempuan,SDN Dayeuh Kolot 4 Kab.Bandung,II(dua)
Laki-laki,SDN Cidulang II Kab.Majalengka,II(dua)
Perempuan,SD Mutiara Parahyangan,II (dua)
Perempuan,SDN Sirnagalih,IV(empat)
Laki-laki,SDN Taman Ciruas Permai,IV (empat)
Perempuan,SDN Taman Ciruas Permai,VI (Enam)
Laki-laki,SDN Pondok Labu 4 Pg Kota Jakarta Selatan,II(dua)
Laki-laki,SDN Galihpawarti Kab.Bandung ,III(tiga)
Perempuan,"SDN Cingambu, I Kab.Majalengka",III(tiga)
Laki-laki,SDN Tunas Mekar,V(lima)
Perempuan,SDK Petra 7 Kota Surabaya,V(lima)
Perempuan,SDN Bingkur Kab.Bandung,V(lima)
Perempuan,SDN Jati 01 Kab.Bandung,III(tiga)
Laki-laki,SDN Negeri 002 Nunukan,VI(enam)
Perempuan,SDN Negeri 002 Nunukan,IV(empat)
Laki-laki,SDN Sayuran Kabupaten Bandung,IV(empat)
Laki-laki,SDN Cinere 3 Kota Depok,IV(empat)
Perempuan,SDN Cimari Cikoneng Kab.Ciamis,VI(enam)
Laki-laki,SDN 3 Purabaya Kab.Bandung Barat,II(dua)
Laki-laki,SDN 01 Sungai Ringin Kab.Sekadau,VI(enam)
Perempuan,SD Kartika 11-5 Bandarlampung ,II(dua)
Perempuan,SDN 11 Serang ,III(tiga)
Perempuan,SDN 11 Serang ,II(dua)
Laki-laki,SDN 10 Lembang Kab.Bandung Barat,IV(empat)
Laki-laki,SDN cimahi Mandiri 5 Kota Cimahi,III(tiga)
Laki-laki,SDN Sukahurip 01 Kabupaten Garut,III(tiga)
