NO,KELURAHAN,ISLAM,KRISTEN,KHATOLIK,HINDU,BUDDHA,KEPERCAYAAN,KONGHUCHU
1,CIKUTRA,21839,407,161,34,5,,
2,SUKAPADA,18754,504,148,9,26,0,0
3,PADASUKA,14406,102,46,,,,
4,PASIRLAYUNG,18609,574,208,26,28,26,0
5,CICADAS,14034,618,166,49,13,,
6,SUKAMAJU,9523,586,104,2,,,
