npsn,nama,bentuk_pendidikan_nama,jenjang_pendidikan_nama,alamat_jalan,rt,rw,nama_dusun,desa_kelurahan,desa_kelurahan_nama,,lintang,bujur,kebutuhan_khusus_nama,status_sekolah_nama,status_kepemilikan_nama
20258091,SMP MUTIARA BUNDA,SMP,SMP / sederajat,Jl. Padang Golf No. 2,4,1,,tidak diisi,,Kec. Arcamanik,-6.9497,107.6177,Tidak ada,Tidak Aktif,Yayasan
20219516,SMP PASUNDAN 12,SMP,SMP / sederajat,Jl. Sarirasa No. 130/04 RT.04/04,4,4,,Sarijadi,Sarijadi,Kec. Sukasari,-6.8774,107.579,Tidak ada,Tidak Aktif,Yayasan
20219452,SMP ISTIQAMAH,SMP,SMP / sederajat,Jl. Pahlawan No.65,8,8,,Sukaluyu,Sukaluyu,Kec. Cibeunying Kaler,-6.897,107.6358,Tidak ada,Tidak Aktif,Yayasan
20219514,SMP PASUNDAN 3,SMP,SMP / sederajat,Jl. Bapak Husen,1,5,,CIPAGANTI,Cipaganti,Kec. Coblong,-6.8911,107.6034,Tidak ada,Tidak Aktif,Yayasan
20219467,SMP KRISTEN PAULUS,SMP,SMP / sederajat,Jl. Dr. Rajiman 11,2,2,,Pasirkaliki,Pasirkaliki,Kec. Cicendo,-6.904,107.5994,Tidak ada,Tidak Aktif,Yayasan
20219342,SMP NEGERI 22,SMP,SMP / sederajat,Jl. Wr Supratman No. 24 Bandung,6,2,,Sukamaju,Sukamaju,Kec. Cibeunying Kidul,-6.9119,107.6336,Tidak ada,Aktif,Pemerintah Daerah
20219409,SMP NEGERI 25,SMP,SMP / sederajat,Pajagalan,4,6,Karanganyar,NYENGSERET,Nyengseret,Kec. Astanaanyar,-6.9121,107.6422,Tidak ada,Aktif,Pemerintah Daerah
20219483,SMP PELITA,SMP,SMP / sederajat,Sekejati Cikutra,4,3,SEKEJATI,SUKAPADA,Sukapada,Kec. Cibeunying Kidul,-6.8954,107.6355,Tidak ada,Tidak Aktif,Yayasan
20219400,SMP NEGERI 41,SMP,SMP / sederajat,Jl. Arjuna No. 18,1,2,,Ciroyom,Ciroyom,Kec. Andir,-6.9158,107.5903,Tidak ada,Aktif,Pemerintah Daerah
20219466,SMP KRISTEN REHOBOTH,SMP,SMP / sederajat,Jl. Rd. Dewi Sartika No.36-38,2,2,,BOJONGLOA,,Kec. Regol,-6.925,107.6156,Tidak ada,Tidak Aktif,Yayasan
20219380,SMP NEGERI 49,SMP,SMP / sederajat,Jl. Antapani No. 58,5,6,Antapani,Antapani Kulon,Antapani Kulon,Kec. Antapani,-6.9072,107.6583,Tidak ada,Aktif,Pemerintah Daerah
20219412,SMP NEGERI 31,SMP,SMP / sederajat,JALAN BINONG JATI NO.139,2,6,,Binong,Binong,Kec. Batununggal,-6.938446,107.640234,Tidak ada,Aktif,Pemerintah Daerah
20219382,SMP NEGERI 47,SMP,SMP / sederajat,Jl. Budi Cilember No. 19 B,3,4,,Sukaraja,Sukaraja,Kec. Cicendo,-6.8898,107.5588,Tidak ada,Aktif,Pemerintah Daerah
69931767,SMP NURUL HIDAYAH,SMP,SMP / sederajat,Jl. Randusari V No. 5,4,17,,Antapani Kidul,Antapani Kidul,Kec. Antapani,,,Tidak ada,Tidak Aktif,Yayasan
