npsn,nama,bentuk_pendidikan_nama,jenjang_pendidikan_nama,alamat_jalan,rt,rw,nama_dusun,desa_kelurahan,desa_kelurahan_nama,,lintang,bujur,kebutuhan_khusus_nama,status_sekolah_nama,status_kepemilikan_nama
20219356,SMP TAMANSISWA,SMP,SMP / sederajat,Jl.Tamansiswa No.4 Bandung,1,9,,Malabar,Malabar,Kec. Lengkong,-6.9392,107.6307,Tidak ada,Tidak Aktif,Yayasan
20253821,SMP KRISTEN GAMALIEL,SMP,SMP / sederajat,Jln. Jenderal Sudirman no 205-207,2,2,Astana Anyar,Cibadak,Cibadak,Kec. Astanaanyar,-6.9196,107.6027,Tidak ada,Tidak Aktif,Yayasan
20270078,SMP CENDEKIA MUDA,SMP,SMP / sederajat,Jl Puri Ayu Pratama No 17 Arcamanik,2,4,,Sukamiskin,Sukamiskin,Kec. Arcamanik,-6.9213,107.6756,Tidak ada,Tidak Aktif,Yayasan
20219344,SMP NEGERI 20,SMP,SMP / sederajat,Jl. Centeh No. 5,7,10,,SAMOJA,Samoja,Kec. Batununggal,-6.9321,107.622,Tidak ada,Aktif,Pemerintah Daerah
20219364,SMP TRIYASA,SMP,SMP / sederajat,Ujungberung,2,1,mekar wangi,PASIR WANGI,Pasir Wangi,Kec. Ujungberung,-6.9121,107.7042,Tidak ada,Tidak Aktif,Yayasan
20219502,SMP NASIONAL,SMP,SMP / sederajat,Jl. Sadang Serang No.17,14,9,,Sekeloa,Sekeloa,Kec. Coblong,-6.8921,107.6302,Tidak ada,Tidak Aktif,Yayasan
20219491,SMP PGRI 10,SMP,SMP / sederajat,Jl. A.h. Nasution  No.15,1,1,Cigending,Cigending,Cigending,Kec. Ujungberung,-6.9167,107.6973,Tidak ada,Tidak Aktif,Yayasan
20219384,SMP NEGERI 45,SMP,SMP / sederajat,Jl. Yogyakarta Antapani Bandung,7,9,Antapani Kidul,Antapani Kidul,Antapani Kidul,Kec. Antapani,-6.9224,107.6599,Tidak ada,Aktif,Pemerintah Daerah
20254287,SMP PRIBADI,SMP,SMP / sederajat,JL. PHH. MUSTOFA NO 41 RT 02 RW 06,2,6,,Neglasari,Neglasari,Kec. Cibeunying Kaler,-6.9007,107.6182,Tidak ada,Tidak Aktif,Yayasan
20219492,SMP PGRI 9,SMP,SMP / sederajat,Jl. Gede Bage No. 17,1,5,RUKUN MULYA,BABAKAN PENGHULU,Babakan Penghulu,Kec. Cinambo,-6.9126,107.651,Tidak ada,Tidak Aktif,Yayasan
