nama_bak,kapasitas
Bak Supratman,1.5
Bak Hotel Sheraton,1.5
Bak SMPN 15,1.5
Bak Tamansari,1.5
Bak Antapani Wetan,1.5
Bak Panorama,3
Bak Borma Setiabudhi,1.5
Bak Rumah Susun,1.5
Bak Karang Pamulang,1.5
Bak Tanabe,1.5
Bak Bumi Asri,1.5
Bak Pertamina,1.5
Bak Auto 2000,1.5
Bak Perhutani,3
Bak MTC,1.5
Bak Margahayu Raya,1.5
Bak Cipamokalan,1.5
Bak Cipadung,1.5
Bak Komplek Palasari,1.5
Bak Cilengkrang,1.5
