nama_aplikasi,pemilik,tautan,status,jenis_platform,kepemillikan
Web Kerjasama Dalam Negeri,Bag Kerjasama,,dioperasikan,web,sendiri
Web Kerjasama Luar Negeri,Bag Kerjasama,,dioperasikan,web,sendiri
Web Komunitas Kreatif,Setda Perekonomian,,direncanakan,web,sendiri
Web Pelayanan PATEN Kecamatan,BagPemUm,,diujicoba,web,sendiri
Web Portal Inspektorat Kota Bandung,Inspektorat,,dioperasikan,web,sendiri
Web RSKIA,RSKIA,,dioperasikan,web,sendiri
Website Dinas KUKM,DInas KUKM Indag,,dioperasikan,web,sendiri
Website Dinas Sosial Pemkot Bandung,Dinsos,,tidak operasional,web,sendiri
Website Dispora,DISPORA,http://disporakotabandung.info,dioperasikan,web,sendiri
Website PD Pasar,PD Pasar,http://www.pasarkotabandung.co.id/,dioperasikan,web,sendiri
Website profil Koperasi Simpan Pinjam,DInas KUKM Indag,,diujicoba,web,sendiri
Website RSUD Kota Bandung,RSUD Kota Bandung,,dioperasikan,web,sendiri
Whistle Blower System,Inspektorat,http://wbs.bandung.go.id,dibangun,multiplatform,sendiri
