nama_aplikasi,pemilik,tautan,status,jenis_platform,kepemillikan
Aplikasi Penyimpan Berkas Rekam medis,RSUD Kota Bandung,,dioperasikan,desktop,sendiri
Aplikasi Perawatan Anak,RSUD Kota Bandung,,dibangun,desktop,sendiri
Aplikasi Perawatan Bayi,RSUD Kota Bandung,,dibangun,desktop,sendiri
Aplikasi Perawatan Bedah,RSUD Kota Bandung,,dibangun,desktop,sendiri
Aplikasi Perawatan ICU,RSUD Kota Bandung,,dibangun,desktop,sendiri
Aplikasi Perawatan Kandungan,RSUD Kota Bandung,,dibangun,desktop,sendiri
Aplikasi Perawatan Penyakit Dalam,RSUD Kota Bandung,,dibangun,desktop,sendiri
Aplikasi PIPPK,Setda Perekonomian,,direncanakan,web,sendiri
Aplikasi Poliklini Umum,RSUD Kota Bandung,,dioperasikan,desktop,sendiri
Aplikasi Poliklinik Anak,RSUD Kota Bandung,,dioperasikan,desktop,sendiri
Aplikasi Poliklinik Bedah,RSUD Kota Bandung,,dioperasikan,desktop,sendiri
Aplikasi Poliklinik Bedah Mulut,RSUD Kota Bandung,,dioperasikan,desktop,sendiri
Aplikasi Poliklinik Bedah Syaraf,RSUD Kota Bandung,,dioperasikan,desktop,sendiri
Aplikasi Poliklinik DOT,RSUD Kota Bandung,,dioperasikan,desktop,sendiri
Aplikasi Poliklinik Fisioterapi,RSUD Kota Bandung,,dioperasikan,desktop,sendiri
Aplikasi Poliklinik Gigi,RSUD Kota Bandung,,dioperasikan,desktop,sendiri
Aplikasi Poliklinik Gizi,RSUD Kota Bandung,,dioperasikan,desktop,sendiri
Aplikasi Poliklinik Kandungan,RSUD Kota Bandung,,dioperasikan,desktop,sendiri
Aplikasi Poliklinik Kulit dan Kelamin,RSUD Kota Bandung,,dioperasikan,desktop,sendiri
Aplikasi Poliklinik Mata,RSUD Kota Bandung,,dioperasikan,desktop,sendiri
Aplikasi Poliklinik Orthodonthie,RSUD Kota Bandung,,dioperasikan,desktop,sendiri
Aplikasi Poliklinik Orthopedi,RSUD Kota Bandung,,dioperasikan,desktop,sendiri
Aplikasi Poliklinik Penyakit Dalam,RSUD Kota Bandung,,dioperasikan,desktop,sendiri
Aplikasi Poliklinik Psikiatri/Jiwa,RSUD Kota Bandung,,dioperasikan,desktop,sendiri
Aplikasi Poliklinik Rehabilitasi Medik,RSUD Kota Bandung,,dioperasikan,desktop,sendiri
Aplikasi Poliklinik Syaraf,RSUD Kota Bandung,,dioperasikan,desktop,sendiri
Aplikasi Poliklinik THT,RSUD Kota Bandung,,dioperasikan,desktop,sendiri
Aplikasi Poliklinik VCT,RSUD Kota Bandung,,dioperasikan,desktop,sendiri
Aplikasi Rencana dan Realisasi Anggaran RSUD,RSUD Kota Bandung,,direncanakan,desktop,sendiri
Aplikasi Ruang Anesthesi,RSUD Kota Bandung,,direncanakan,desktop,sendiri
Aplikasi Ruang Bedah,RSUD Kota Bandung,,direncanakan,desktop,sendiri
Aplikasi Ruang Hemodialisa,RSUD Kota Bandung,,direncanakan,desktop,sendiri
Aplikasi Ruang Radiologi,RSUD Kota Bandung,,dioperasikan,desktop,sendiri
Aplikasi Sabilulungan,DPKAD,http://sabilulungan.bandung.go.id/,dioperasikan,web,hibah
Aplikasi Sarana Prasarana dan Peralatan Kesehatan,K/L Pusat,,dioperasikan,web,dari pusat
Aplikasi Simuter,PDAM Tirtawening,,dioperasikan,desktop,sendiri
Aplikasi Sistem Akuntansi,PDAM Tirtawening,,dioperasikan,desktop,sendiri
Aplikasi Storage,Disdik,,diujicoba,web,sendiri
Aplikasi Surat KPP,TU Setda,http://surat-kpp.bandung.go.id,dibangun,web,sendiri
Aplikasi tanda daftar usaha pariwisata,Disbudpar,,dioperasikan,desktop,sendiri
Aplikasi Tim Pengendali Inflasi Daerah,Setda Perekonomian,http://tpid.bandung.go.id,dibangun,web,sendiri
Aplikasi Tindak Kekerasan,BPPPKB,,tidak operasional,web,sendiri
Aplikasi TJSL Monitoring System,Setda Perekonomian,http://tjsl.bandung.go.id,diujicoba,web,sendiri
Aplikasi Tracking SPPT,Disyanjak,,dibangun,web,sendiri
Aplikasi Transaksi RWnet Bukopin,PDAM Tirtawening,,dioperasikan,multiplatform,sendiri
Aplikasi Tunjangan Insentif,RSUD Kota Bandung,,dioperasikan,desktop,sendiri
Aplikasi Tutupan,PDAM Tirtawening,,dioperasikan,desktop,sendiri
Aplikasi Update Rekening,PDAM Tirtawening,,dioperasikan,desktop,sendiri
Aplikasi Verifikasi PMKS,Dinsos,,direncanakan,web,sendiri
Aplikasi Yantap,PDAM Tirtawening,,dioperasikan,desktop,sendiri
Area Traffic Control System,DISHUB,,dioperasikan,multiplatform,sendiri
Bahan Ajar,Disdik,,dioperasikan,web,sendiri
Bandun Single ID,Disdik,,dioperasikan,multiplatform,sendiri
Bandung Integrated Manpower Management Application System  Sistem Bursa Kerja Online.,Disnaker,,dioperasikan,web,sendiri
Bandung Integrated Manpower Management Application System  Sub Sistem Wajib Lapor Ketenagakerjaan Online,Disnaker,,dioperasikan,web,sendiri
Bandung Integrated Resources Management System,BPSDA,http://birms.bandung.go.id/,dioperasikan,web,sendiri
Bandung Open School,Disdik,,dioperasikan,web,sendiri
Bantuan Sosial,Dinsos,,direncanakan,web,sendiri
Billing Info System Telkom,PDAM Tirtawening,,dioperasikan,multiplatform,sendiri
Billing Info System Web,PDAM Tirtawening,,dioperasikan,multiplatform,sendiri
Buku Tamu,PDAM Tirtawening,,dioperasikan,desktop,sendiri
CASS,Disdukcapil,,dioperasikan,desktop,sendiri
CCTV internal,RSKIA,,dioperasikan,web,sendiri
CCTV Public,RSKIA,,dioperasikan,mobile,sendiri
Command Center Kantor Distarcip dengan Korwil,Distarcip,,direncanakan,web,sendiri
Contact Center 113,DISKAR,,dioperasikan,desktop,sendiri
Cyber Base Audit,Inspektorat,,dioperasikan,multiplatform,sendiri
Dashboard Amdal Online,BPLH,,direncanakan,web,sendiri
Dashboard Dukcapil,Disdukcapil,,direncanakan,web,sendiri
Dashboard Kualitas Udara,BPLH,,direncanakan,web,sendiri
Dashboard Pengelolaan Air Tanah,BPLH,,direncanakan,web,sendiri
Dashboard Persampahan Cerdas,BPLH,,direncanakan,web,sendiri
Data Warehouse Kesehatan,Dinkes,,direncanakan,web,sendiri
Database IMB,Distarcip,,dioperasikan,web,sendiri
Database Keanggotaan dan E-Katalog,Kapusarda,,dioperasikan,web,sendiri
