TAHUN,STRATA PENDIDIKAN,JUMLAH
2014,DOCTOR (S3),0
,PASCA SARJANA (S2),13
,SARJANA (S1) / D IV,100
,D3 / SARJANA MUDA,6
,D2,4
,D1 / SLTA,266
,SLTP,26
,SD,37
