jenis_izin,2012,2013,2014
Izin Lokasi,6,9,7
Ijin Mendirikan Bangunan (IMB),4687,5574,4667
"Izin Pemanfaatan Titik Tiang Pancang Reklame, Jembatan Penyeberangan Orang (JPO) dan Sejenisnya",53,138,15
Izin Pembuatan Jalan Masuk Pekarangan,57,84,73
"Izin Penutupan/Penggunaan Trotoar, Berm dan Saluran",3,-,1
Izin Pematangan Lahan/Tanah,11,35,32
Izin Pengelolaan Air Bawah Tanah,97,113,151
Izin Pengambilan Air Permukaan,-,1,-
Izin Pembuangan Air Buangan ke Sumber Air,27,34,48
Izin Pembangunan Lintasan yang berada di bawah/diatasnya,20,12,7
Izin Pemanfaatan Bangunan Pengairan dan Lahan pada Daerah Sempadan Sungai,3,-,-
Izin Gangguan / HO,7487,8720,7999
Tanda Daftar Perusahaan / TDP,6024,6304,5623
Izin Usaha Perdagangan / SIUP,6913,7639,6770
Tanda Daftar Gudang / TDG,212,210,217
Tanda Daftar Industri /TDI,211,212,213
Izin Usaha Industri / IUI,84,97,85
Izin Penyelenggaraan Angkutan /Trayek,550,545,675
Izin Usaha Jasa Konstruksi / IUJK,586,558,594
Izin Pengelolaan Tempat Parkir /IPTP,48,91,42
Izin Pemasangan/Penyelenggaraan Reklame,1960,1809,1663
Izin Usaha Angkutan / IUA,46,39,28
