NO,NAMA PERUSAHAAN,ALAMAT,KET
93,PT. EVENA MERCINDO/SHIN MEN JAPANESE RESTO,Jl. Sukajadi No. 137-139,
94,PT. GANIUS FATIMA,Jl. Gamelan No. 2A,
95,PT. GUNAPARI SEJAHTERA/HARTZ CHICKEN BUFFET,Jalan Sukajadi No. 225,
96,PT. ISMAYA SUSHIGROOVE / SUSHIGROOVE,Jl. Sukajadi No. 137-139(ParisPanJava),
97,PT. KAGUM KARYA PESONA,jl. Ir. H. Juanda no. 152,
98,PT. KARTIKA FOOD INDUSTRI,Jl. Ir. H. Juanda No. 85-87,
99,PT. KOPITIAM OEY INDONESIA,Jl. Braga no. 74,
100,PT. LISHAN JAYA PUTERA,Jl. Ir. H. Juanda No. 61-63,
101,PT. MANCHESTER UNITED FOOD & BEVERANGE,Jl. Sukajadi No. 137-139,
102,PT. MAS MILLENIUM BANDUNG,Jl. Sumatra No. 1,
103,PT. MOUNT SCOPUS INDONESIA,Jl. Ir. H. Juanda No. 15,
104,PT. NUANSA TIMUR LESTARI/EASTERN,Jalan Pasirkaliki No. 121-123 (IP),
105,PT. OFRESH INTI LESTARI,Jalan Sunda No. 71,
106,PT. SARANA GAMMA SAKTI,Jl. Dr. Setiabudhi No. 24,
107,PT. OH LALA INTERNASIONAL,Bsm Lt. 2 Unit B200-B202 Jl. Gatsu ,
108,PT. MAHARASA JAYA ABADI,Jl. Sukajadi No. 137-139 (PVJ)RLA 08,
109,PT. PRIME RESTAURANT INDONESIA/CHICKEN STORY,Jl. Merdeka No. 56,
110,PT. PUTIH BIRU HARMONIES/PAPA RON'S PIZZA,Jl. Dr. Abdul Rivai No. 11,
111,PT. RASA,Jalan Tamblong No. 15,
112,PT. SARI COFFEE INDONESIA/STARBUCK,Jl. Sukajadi No. 137-139 (PVJ),
113,PT. TEKKO FOOD SUKSES. Pasanggrahan,Jl. Dr. Setiabudhi No. 146-A-B,
114,PT. TRI TUNGGAL BUMI ASRI/ciumbuleuit restoran,Jl. Ciumbuleuit No. 42,
115,PT. TRIREKAN RASA UTAMA/D'BAY,Jl. Sukajadi No. 137-139,
116,PT. TURUNTEMURUN MAKMUR SEJAHTERA,Jl. Ir. H. Juanda No. 72,
117,PT. WENDY CITRARASA,Jl. Braga No. 99-101,
118,PT.APRILASTA RAJA BOGA/RAFFEL'S,Jl. Cihampelas No. 160,
119,PT.CARREFOUR INDONESIA STORE KIARACONDONG,Jl. Kiaracondong No. 526,
120,PT.POPINDO SELERA PRIMA/POPEYE?S,Jalan Merdeka No. 54,
121,PT.POPINDO SELERA PRIMA/POPEYE?S,Jalan Jend. Gatot Subroto No. 289,
122,PT. ARBELLA /KAMIKAZE KARAAGE,Jl. Sukajadi No. 137-139,
123,PT. PERKEBUNAN NUSANTARA XII/ROLLAAS COFFEE & TEA,Jl. Sukajadi No. 137-139,
124,PT. ANUGRAH SEHATI CEMERLANG,Ruko Hyper Square No. A/18,
125,PT.USAHA SARI BOGA,Jl. Kopo No. 599,
126,PUSSEMA PELANGI / KIRISHIMA,Jalan Asia Afrika No. 129,
127,RESTORAN 83,Jl. Bengawan No. 83,
128,RAA-CHA,Jl. Sukajadi No. 225 Bandung,
129,RADJA-RADJA,Jl. Cipaku Indah IV No. 17,
130,RAJA SUNDA,Jl. Terusan Pasteur No. 63,
131,RED TOMATO,Jl. Sukajadi No. 137-139,
132,RESEP DAPURKU,Jl. Lembong No. 12-18,P.A. 2010
133,Richeese Factory,Jl. Sukajadi No. 137,Baru Februari 2011
134,ROEMPOET CAFE,Jalan Braga No.,
135,RUMAH MAKAN BELACAN,Jl. Halmahera no. 4,
136,RUBBY CHINESSE FOOD,Jl. Burangrang No. 15,
137,SAPO ORIENTAL,Jalan Jend. Gatot Subroto No. 289,
138,SUIS BUTCHER,Jl. Peta No. 241,
139,SAPULIDI,Jalan Cihampelas No. 7,
140,SETIABUDHI RESTAURANT,Jl. Dr. Setiabudhi No. 130-134,
141,SHAMIRA,Jl. Burangrang No. 24,
142,SHOOTERS CAFE,Jl. Ir. H. Juanda No. 3,
143,SINDANG RERET,Jalan Surapati No. 35,P.A. 2007
144,SOLARIA,Jl. Sukajadi No. 137-139,
145,SOLELUNA,Jl. Sumatra No. 28,
146,SAPU LIDI,Jl. Cihampelas No. 107 Bdg,
147,SOLARIA,Jl. Pasirkaliki No. 121-123 ,
148,SOLARIA,Jl. Peta No. 241 (CITY LINK),
149,SOLARIA,Jl. Kepatihan No. 4-6,
150,SOLARIA,Jl. Cihampelas No. 160,
151,SUIS BUTCHER,Jl. RE. Martadinata No. 201,
152,SUIS BUTCHER,Jl. Gatot Subroto 289,
153,SUIS RESTAURANT,Jalan DR. Setiabudhi No. 174,
