BULAN,Kutipan Akta Kelahiran Umum WNI,Kutipan Akta Kelahiran WNI (LT),Kutipan Akta Kelahiran WNI (PN),Kutipan Akta Kelahiran Umum WNA,Kutipan Akta Kelahiran WNA (LT/PN)
Januari,3600,463,100,1,0
Februari,3050,442,127,1,0
Maret,2950,406,110,2,0
April,3950,500,212,2,0
Mei,1600,1057,0,0,0
Juni,2150,1720,0,2,0
Juli,3000,1291,0,0,1
Agustus,2150,786,0,3,0
September,2900,1500,0,0,0
Oktober,2800,1285,0,2,0
November,2750,1140,0,1,0
Desember,2300,1120,0,0,0
