NO,NAMA SARANA PENDIDIKAN,STATUS,JUMLAH KEPALA SEKOLAH,JUMLAH GURU TETAP,JUMLAH GURU HONORER,JUMLAH GURU BANTU,JUMLAH GURU KESELURUHAN,JUMLAH MURID LAKI-LAKI,JUMLAH MURID PEREMPUAN,JUMLAH MURID KESELURUHAN,JUMLAH RUANG BELAJAR,JUMLAH ROMBONGAN BELAJAR,ALAMAT
1,MTs. Nurul Huda,Swasta,1,4,18,,23,68,46,114,4,4,Jl. L. Panjang RW 07 Kel. Situsaeur
2,Sejati / YPS,Swasta,1,3,,,4,22,19,41,4,3,JL. Kopo Gg Pakasih RW 07 Kel.Kebonlega
3,SMP Plus Al. Gozali,Swasta,1,4,9,,14,10,17,27,3,3,Cibintinu RW 05 Kel. Kebonlega
4,MTs. Sirna Miskin,Swasta,1,5,34,,39,211,136,347,10,10,Jl. KH. Wahid Hasyim/ Kopo 429-433 Kel Kebonlega
5,MTs. Al Huda,Swasta,1,1,16,,18,53,55,108,3,1,Jl. Kebonlega 2 RW 01 Kel.Kebonlega
6,SMP Cokroaminoto,Swasta,1,2,13,,16,66,49,115,6,6,Jl. Kebonlega 2 RW 01 Kel.Kebonlega
7,SMPN 38,Negeri,1,52,7,,60,530,542,1072,21,25,Jl. Borobudur RT 03 RW 04 Kel. Cib Kidul
8,SMP Yudistira,Swasta,1,,13,,14,28,24,52,6,3,SDA
9,Mts. Nurul Iman,Swasta,1,3,21,,25,250,236,486,11,11,Jl. Cibaduyut  RW.03 Kel Cibaduyut Wetan
