bulan,jml_izin_gangguan_2013,jml_retribusi_izin_gangguan_2013
Januari,679,313323144
Februari,935,597167151
Maret,792,415993715
April,904,490390735
Mei,905,671935542
Juni,564,383216313
Juli,526,307968618
Agustus,211,185319412
September,492,306734580
Oktober,460,161090366
November,362,122630333
Desember,425,184933470
