Kecamatan ,Tingkatan,Negri,Swasta
Bandung Kulon ,SD,35,6
Babakan Ciparay ,SD,36,8
Bojongloa Kaler ,SD,16,5
Bojongloa Kidul ,SD,16,6
Astanaanyar ,SD,26,5
Regol,SD,26,9
Lengkong ,SD,16,13
Bandung Kidul ,SD,10,1
Buah Batu ,SD,23,3
Rancasari ,SD,13,1
Gedebage ,SD,9,0
Cibiru ,SD,23,2
Panyileukan,SD,8,2
Ujungberung,SD,18,2
Cinambo,SD,6,0
Arcamanik ,SD,15,6
Antapani ,SD,17,3
Mandalajati ,SD,20,1
Kiaracondong ,SD,38,
Batunungga,SD,30,5
Sumur Bandung,SD,17,6
Andir,SD,18,17
Cicendo,SD,28,13
Bandung Wetan w ,SD,4,16
Cibeunying Kidulw ,SD,36,6
Cibeunying Kalwer ,SD,16,4
Coblong ,SD,35,7
Sukajadi ,SD,27,8
Sukasari ,SD,277,7
Cidadap ,SD,11,4
Bandung Kulon ,SLTP,-,5
Babakan Ciparay ,SLTP,4,2
Bojongloa Kaler ,SLTP,2,6
Bojongloa Kidul ,SLTP,1,6
Astanaanyar ,SLTP,1,4
Regol,SLTP,4,8
Lengkong ,SLTP,2,8
Bandung Kidul ,SLTP,1,2
Buah Batu ,SLTP,2,3
Rancasari ,SLTP,3,1
Gedebage ,SLTP,0,0
Cibiru ,SLTP,1,4
Panyileukan,SLTP,0,3
Ujungberung,SLTP,2,7
Cinambo,SLTP,0,1
Arcamanik ,SLTP,1,6
Antapani ,SLTP,2,3
Mandalajati ,SLTP,1,3
Kiaracondong ,SLTP,2,6
Batunungga,SLTP,3,4
Sumur Bandung,SLTP,2,6
Andir,SLTP,4,14
Cicendo,SLTP,3,14
Bandung Wetan w ,SLTP,4,9
Cibeunying Kidulw ,SLTP,1,6
Cibeunying Kalwer ,SLTP,1,5
Coblong ,SLTP,2,9
Sukajadi ,SLTP,1,2
Sukasari ,SLTP,3,7
Cidadap ,SLTP,1,6
Bandung Kulon ,SMU,0,2
Babakan Ciparay ,SMU,1,0
Bojongloa Kaler ,SMU,1,5
Bojongloa Kidul ,SMU,0,2
Astanaanyar ,SMU,0,2
R e g o l ,SMU,1,5
Lengkong ,SMU,3,10
Bandung Kidul ,SMU,0,3
Buah Batu ,SMU,1,2
Rancasari ,SMU,1,0
Gedebage ,SMU,1,0
Cibiru ,SMU,1,5
Panyileukan,SMU,0,2
Ujungberung,SMU,1,3
Cinambo,SMU,0,0
Arcamanik ,SMU,0,3
Antapani ,SMU,1,1
Mandalajati ,SMU,0,2
Kiaracondong ,SMU,2,3
Batunungga,SMU,0,0
Sumur Bandung,SMU,2,5
A n d I r,SMU,2,13
Cicendo,SMU,2,9
Bandung Wetan w ,SMU,1,5
Cibeunying Kidulw ,SMU,2,1
Cibeunying Kalwer ,SMU,0,5
Coblong ,SMU,3,10
Sukajadi ,SMU,0,1
Sukasari ,SMU,1,6
Cidadap ,SMU,0,3
Bandung Kulon ,SMK,0,3
Babakan Ciparay ,SMK,0,0
Bojongloa Kaler ,SMK,0,5
Bojongloa Kidul ,SMK,0,6
Astanaanyar ,SMK,0,7
R e g o l ,SMK,0,3
Lengkong ,SMK,5,14
Bandung Kidul ,SMK,0,1
Buah Batu ,SMK,5,4
Rancasari ,SMK,0,0
Gedebage ,SMK,1,1
Cibiru ,SMK,0,5
Panyileukan,SMK,0,2
Ujungberung,SMK,0,5
Cinambo,SMK,0,2
Arcamanik ,SMK,0,2
Antapani ,SMK,1,3
Mandalajati ,SMK,0,1
Kiaracondong ,SMK,0,10
Batunungga,SMK,0,0
Sumur Bandung,SMK,1,5
Andir,SMK,0,4
Cicendo,SMK,2,7
Bandung Wetan w ,SMK,1,2
Cibeunying Kidulw ,SMK,1,3
Cibeunying Kalwer ,SMK,0,9
Coblong ,SMK,0,3
Sukajadi ,SMK,0,2
Sukasari ,SMK,0,4
Cidadap ,SMK,0,2
