nama_dewan,partai_politik,dapil,kecamatan_dapil,tahun,usulan_reses,skpd,program,kegiatan,volume,lokasi,anggaran_skpd,status
WILLY KUSWANDI,PDI Perjuangan,Kota Bandung 1,"Sukasari, Andir, Cicendo, Sukajadi",2015,Rutilahu,Dinas Tata Ruang dan Cipta Karya,Program Pengembangan Perumahan,Kegiatan Fasilitasi dan Stimulasi Pembangunan Perumahan Masyarakat Kurang Mampu,-,"RT.02 RW.08, KEL., KEC.",20000000,Diakomodir
WILLY KUSWANDI,PDI Perjuangan,Kota Bandung 1,"Sukasari, Andir, Cicendo, Sukajadi",2015,Rutlahu,Dinas Tata Ruang dan Cipta Karya,Program Pengembangan Perumahan,Kegiatan Fasilitasi dan Stimulasi Pembangunan Perumahan Masyarakat Kurang Mampu,-,"GG. GERLONG TENGAH IV DALAM RT.04 RW.08, KEL., KEC.",20000000,Diakomodir
WILLY KUSWANDI,PDI Perjuangan,Kota Bandung 1,"Sukasari, Andir, Cicendo, Sukajadi",2015,Perbaikan Jalan,Dinas Bina Marga dan Pengairan,-,-,-,"JN. GEGERKALONG TENGAH II RT.02 RW.08, KEL., KEC.",0,Tidak diakomodir
WILLY KUSWANDI,PDI Perjuangan,Kota Bandung 1,"Sukasari, Andir, Cicendo, Sukajadi",2015,Perbaikan Jalan,Dinas Bina Marga dan Pengairan,-,-,-,"GERLONG TENGAH WETAN RT.04 RW.08, KEL., KEC.",0,Tidak diakomodir
WILLY KUSWANDI,PDI Perjuangan,Kota Bandung 1,"Sukasari, Andir, Cicendo, Sukajadi",2015,Perbaikan Jalan,Dinas Bina Marga dan Pengairan,-,-,-,"JL. GERLONG TOMNGGOH V RT.04 RW.08, KEL., KEC.",0,Tidak diakomodir
WILLY KUSWANDI,PDI Perjuangan,Kota Bandung 1,"Sukasari, Andir, Cicendo, Sukajadi",2015,Perbikan Mck,Dinas Tata Ruang dan Cipta Karya,Program Lingkungan Sehat Perumahan,Kegiatan Penyediaan Sarana Air Bersih dan Sanitasi Dasar Terutama bagi Masyaraka Miskin,-,"GERLONG TOONGGOH IV DALAM RT.04 RW.08, KEL., KEC.",30000000,Diakomodir
WILLY KUSWANDI,PDI Perjuangan,Kota Bandung 1,"Sukasari, Andir, Cicendo, Sukajadi",2015,Perbaikan Jalan dan Gang,Dinas Bina Marga dan Pengairan,-,-,-,"GG. BAPAK MISDA RT.01/08 , KEL., KEC.",0,Tidak diakomodir
WILLY KUSWANDI,PDI Perjuangan,Kota Bandung 1,"Sukasari, Andir, Cicendo, Sukajadi",2015,Pembuatan Beton Saluran Air,Dinas Bina Marga dan Pengairan,-,-,-,"GERLONG TONGGOH V RT.04/08 , KEL., KEC.",0,Tidak diakomodir
"RIEKE SURYANINGSIH,  SH",PDI Perjuangan,Kota Bandung 1,"Sukasari, Andir, Cicendo, Sukajadi",2015,Perbaikan Jalan,Dinas Bina Marga dan Pengairan,Program Pembangunan Jalan dan Jembatan,Kegiatan Pembangunan Jalan,-,"JL. BABAKAN STASIUN BARAT RT.05, KEL., KEC.",100000000,Diakomodir
"RIEKE SURYANINGSIH,  SH",PDI Perjuangan,Kota Bandung 1,"Sukasari, Andir, Cicendo, Sukajadi",2015,Perbaikan Pju,Dinas Bina Marga dan Pengairan,-,-,-,"SELURUH WILAYAH KECAMATAN ANDIR, KEL., KEC.",0,Tidak diakomodir
