NO,JENIS LINGKUNG SENI,ALAMAT
1,PENCAK SILAT,JL. SEKELOA TIMUR RW. 03
2,BARONGSAY,JL.SEKELOA TENGHA RW.04
3,BARONGSAY,JL.SEKELOA RW.05
4,SILAT,JL.BABAKAN SEMBUNG RW.12
