NO,KODE WILAYAH,KECAMATAN,0-4Thn,5-9Thn,10-14Thn,15-19Thn,20-24Thn,25-29Thn,30-34Thn,35-39Thn,40-44Thn,45-49Thn,50-54Thn,55-59Thn,60-64Thn,65-69Thn,70-74Thn,>75Thn
1,327301,SUKASARI,"3,920","5,749","5,884","5,383","5,422","5,412","5,662","6,303","5,971","5,547","4,561","3,727","2,929","2,246","1,605","2,137"
2,327302,COBLONG,"6,169","8,965","8,882","8,608","8,627","8,626","9,150","10,012","8,643","8,315","6,731","5,474","4,485","2,929","2,045","3,145"
3,327303,BABAKAN CIPARAY,"7,851","11,421","11,614","11,398","10,959","10,684","11,677","12,054","10,246","8,692","6,805","5,968","4,645","2,903","1,712","1,844"
4,327304,BOJONGLOA KALER,"6,937","10,528","10,635","10,261","9,875","9,447","10,457","11,011","9,389","8,322","6,874","5,848","4,555","2,901","1,804","2,266"
5,327305,ANDIR,"5,254","7,954","8,181","8,240","8,026","7,489","8,087","9,311","8,499","8,004","6,396","5,063","4,054","2,822","1,922","2,674"
6,327306,CICENDO,"5,020","7,188","7,504","7,566","7,479","7,101","7,429","8,301","7,500","6,914","5,996","4,902","3,847","2,611","1,744","2,644"
7,327307,SUKAJADI,"5,469","8,134","8,133","8,223","7,671","7,785","8,247","8,695","7,743","7,098","5,918","5,002","4,045","2,715","1,751","2,370"
8,327308,CIDADAP,"2,985","4,359","4,253","4,290","4,210","3,994","4,308","4,549","3,952","3,782","3,205","2,586","2,075","1,373",853,"1,318"
9,327309,BANDUNG WETAN,"1,381","2,027","2,160","2,294","2,355","2,212","2,475","2,807","2,585","2,439","2,092","1,763","1,517",966,608,"1,277"
10,327310,ASTANA ANYAR,"3,818","5,703","5,897","5,797","5,674","5,481","5,917","6,528","5,714","5,197","4,540","3,841","3,308","2,402","1,597","2,230"
11,327311,REGOL,"4,082","5,970","6,331","6,512","6,408","6,117","6,538","7,578","6,769","6,012","5,086","4,296","3,432","2,538","1,762","2,325"
12,327312,BATUNUNGGAL,"6,164","9,184","9,707","9,806","9,781","8,754","9,157","10,127","9,347","8,955","7,603","5,834","4,542","2,920","1,985","2,843"
13,327313,LENGKONG,"3,436","5,045","5,456","5,706","5,692","5,205","5,533","5,920","5,500","5,675","4,873","3,925","3,007","2,193","1,676","2,735"
14,327314,CIBEUNYING KIDUL,"6,061","8,971","9,052","8,882","8,604","8,401","8,652","9,708","8,483","8,052","6,661","5,682","4,575","2,743","1,784","2,737"
15,327315,BANDUNG KULON,"7,435","11,335","11,810","11,883","11,253","10,705","11,329","12,183","10,453","9,039","7,068","5,630","4,199","2,547","1,693","2,001"
16,327316,KIARACONDONG,"7,107","10,055","10,198","10,423","10,090","9,343","9,567","10,719","9,744","9,081","7,748","6,105","4,903","3,042","1,882","2,305"
17,327317,BOJONGLOA KIDUL,"4,927","7,350","7,244","7,114","6,613","6,519","7,222","7,913","6,793","5,868","4,556","3,700","2,920","1,869","1,178","1,503"
18,327318,CIBEUNYING KALER,"3,619","5,399","5,509","5,667","5,349","5,206","5,395","5,927","5,379","4,981","4,308","3,551","2,751","1,758","1,281","1,833"
19,327319,SUMUR BANDUNG,"1,772","2,634","2,817","3,148","2,804","2,728","2,869","2,897","2,725","2,685","2,338","1,825","1,526","1,033",660,"1,077"
20,327320,ANTAPANI,"4,380","5,765","5,490","5,570","6,003","6,490","6,550","6,627","5,306","4,590","4,402","4,739","3,853","2,150","1,031","1,064"
21,327321,BANDUNG KIDUL,"3,296","4,746","4,950","4,836","4,718","4,305","4,548","5,188","4,607","4,185","3,555","2,672","2,044","1,310",895,"1,054"
22,327322,BUAH BATU,"5,564","7,944","7,986","8,019","8,112","7,834","8,116","8,500","7,355","6,800","5,996","5,056","3,869","2,447","1,448","1,650"
23,327323,RANCASARI,"4,537","6,559","6,537","6,570","6,454","6,285","6,608","7,105","6,184","5,644","4,595","3,831","3,262","2,219","1,305","1,534"
24,327324,ARCAMANIK,"4,186","5,914","5,941","5,927","6,010","5,655","5,915","6,101","5,330","4,972","4,393","3,560","2,858","1,690",970,"1,245"
25,327325,CIBIRU,"4,265","6,184","6,369","6,302","6,157","5,730","5,468","6,296","5,385","5,342","4,109","3,169","2,296","1,337",781,"1,011"
26,327326,UJUNGBERUNG,"4,841","7,114","7,137","7,002","6,660","6,180","6,263","7,009","6,183","5,935","4,605","3,698","2,800","1,733","1,076","1,364"
27,327327,GEDEBAGE,"2,234","3,314","3,418","3,301","3,051","2,808","2,856","3,445","3,223","2,799","2,268","1,730","1,262",745,493,557
28,327328,PANYILEUKAN,"2,137","2,664","2,892","3,284","3,662","3,534","2,892","2,758","2,439","2,610","2,866","2,595","1,495",710,386,477
29,327329,CINAMBO,"1,523","2,156","2,070","2,062","1,974","1,868","2,008","2,204","1,985","1,738","1,321","1,032",773,476,283,398
30,327330,MANDALAJATI,"4,157","5,918","5,919","5,572","5,438","5,369","5,437","6,186","5,028","4,530","3,826","3,144","2,516","1,450",865,986
