ID PKL,LOKASI USAHA,KOMODITI
PKL01CBDWT,JL.Raya Cibaduyut ,Goreng Hayam
PKL02CBDWT,JL.Raya Cibaduyut ,Tambal ban
PKL03CBDWT,JL.Raya Cibaduyut ,Kopi Mie Baso
PKL04CBDWT,JL.Raya Cibaduyut ,Nasi Rames
PKL05CBDWT,JL.Raya Cibaduyut ,Gorengan
PKL06CBDWT,JL.Raya Cibaduyut ,Nasi Kuning
PKL07CBDWT,JL.Raya Cibaduyut ,Minuman
PKL08CBDWT,JL.Raya Cibaduyut ,Nasi Kuning
PKL09CBDWT,JL.Raya Cibaduyut , Gorengan
PKL10CBDWT,JL.Raya Cibaduyut ,Bunga
PKL11CBDWT,JL.Raya Cibaduyut ,Nasi
PKL12CBDWT,JL.Raya Cibaduyut ,Es Gula Asem
PKL13CBDWT,JL.Raya Cibaduyut ,Bajigur/ Bandrek
PKL14CBDWT,JL.Raya Cibaduyut ,Gorengan
PKL15CBDWT,JL.Raya Cibaduyut ,"Rokok,Kopi"
PKL16CBDWT,Depan TVRI ,"Kupat Tahu,Kopi"
PKL17CBDWT,JL.Raya Cibaduyut ,Martabak/Telor
PKL18CBDWT,JL.Raya Cibaduyut ,Bubur
PKL19CBDWT,JL.Raya Cibaduyut ,Krupuk Gurilem
PKL20CBDWT,JL.Raya Cibaduyut ,Buah buahan
PKL21CBDWT,JL.Raya Cibaduyut ,Pakaian sunda
PKL22CBDWT,JL.Raya Cibaduyut ,Tambal ban
PKL23CBDWT,Depan TVRI ,Batagor
PKL24CBDWT,Depan TVRI ,Tambal ban
PKL25CBDWT,Depan TVRI ,Buah buahan
PKL26CBDWT,Depan TVRI ,Krupuk Jengkol
PKL27CBDWT,Depan TVRI ,Jualan Tutut
PKL28CBDWT,Depan TVRI ,Krupuk Gurilem
PKL29CBDWT,Depan TVRI ,Kios Rokok
