BULAN, HO , JML IZIN , IMB , JML IZIN , Trayek , JML IZIN 
1," 384,561,414 ", 342 ," 3,119,201,961 ", 458 ," 16,800,000 ", 112 
2," 116,853,720 ", 370 ," 4,267,141,385 ", 325 ," 600,000 ", 4 
3," 193,249,852 ", 421 ," 3,457,673,819 ", 400 ," 10,500,000 ", 70 
4," 205,339,765 ", 390 ," 3,404,552,352 ", 344 ," 8,250,000 ", 55 
5," 105,686,580 ", 330 ," 12,743,073,757 ", 364 ," 6,000,000 ", 40 
6," 384,034,330 ", 304 ," 3,339,453,491 ", 454 ," 6,300,000 ", 42 
7," 208,711,980 ", 329 ," 3,165,907,385 ", 375 ," 6,250,000 ", 40 
8," 79,341,030 ", 267 ," 2,351,169,252 ", 318 ," 1,500,000 ", 10 
9," 252,205,080 ", 460 ," 2,838,856,891 ", 502 ," 9,450,000 ", 63 
10," 359,076,060 ", 297 ," 2,365,797,722 ", 297 ," 12,750,000 ", 85 
11," 234,045,660 ", 382 ," 4,473,978,430 ", 362 ," 12,150,000 ", 81 
12," 200,791,000 ", 375 ," 4,138,800,586 ", 420 ," 11,250,000 ", 72 
