Sektor,Jumlah
Pertanian,4.13
Pertambangan dan Penggalian,-
Industri Pengolahan,3.29
"Listrik, Gas dan Air Bersih",9.79
Konstruksi,9.47
"Perdagangan,Hotel dan Restoran",10.41
Pengangkutan dan Komunikasi,10.36
"Keuangan, Persewaan & JasaPerusahaan",8.44
Jasa-jasa,11.39
