NO,KELURAHAN,SUMBER ANGGARAN,JUMLAH PENANAMAN POHON,WAKTU PENANAMAN,KETERANGAN
1,Margasari,DPA Kelurahan (PIPPK),50,Juni 2015,Komplek Kiarasari   RW 01
2,Margasari,DPA Kelurahan (PIPPK),50,Maret 2015,Jln Ibrahim Adjie  & Jl SMP 18 RW 02
3,Margasari,DPA Kelurahan (PIPPK),50,Maret 2015,Gg. Antabaru & Jl. Bahagia RW 03
4,Margasari,DPA Kelurahan (PIPPK),50,Maret 2015,Komplek Antabaru Endah RW 04
5,Margasari,DPA Kelurahan (PIPPK),50,Maret 2015,Komplek Bahagia Permai RW 05
6,Margasari,DPA Kelurahan (PIPPK),50,Maret 2015,Jln cipagalo Girang RW 06
7,Margasari,DPA Kelurahan (PIPPK),50,Maret 2015,Jln Cipagalo  RW 07
8,Margasari,DPA Kelurahan (PIPPK),50,Maret 2015,Margaluyu Barat RW 08
9,Margasari,DPA Kelurahan (PIPPK),50,Maret 2015,Margaluyu RW 09
10,Margasari,DPA Kelurahan (PIPPK),50,Maret 2015,Margasari RW 10
11,Margasari,DPA Kelurahan (PIPPK),50,Maret 2015,Komplek Mega Brata RW 11
12,Margasari,DPA Kelurahan (PIPPK),50,Mei 2015,Jln Siti Mariah  RW 12
13,Margasari,DPA Kelurahan (PIPPK),50,Mei 2015,Komplek Margahayu Raya  RW   13
14,Margasari,DPA Kelurahan (PIPPK),50,Mei 2015,Komplek Margahayu Raya RW 14
15,Margasari,DPA Kelurahan (PIPPK),50,Mei 2015,Komplek Marga makmur. Ciwastra RW 15
16,Margasari,DPA Kelurahan (PIPPK),50,Mei 2015,Jl. Sawo endah Rancasawo  RW 18
17,Margasari,DPA Kelurahan (PIPPK),50,Mei 2015,Kajim Mekar  RW  17
18,Margasari,DPA Kelurahan (PIPPK),50,Mei 2015,Rancasawo RW 18
19,Margasari,DPA Kelurahan (PIPPK),50,Mei 2015,Jln RansacawoRW  19
20,Margasari,DPA Kelurahan (PIPPK),50,Mei 2015,Komplek Pindad  Tirtasari  RW 20
21,Margasari,DPA Kelurahan (PIPPK),50,Mei 2015,Komplek Pindad  Rancasawo RW  21
22,Sekejati,Kecamatan/Distaman,35,Agustus 2015,
23,Sekejati,DPA Kelurahan,224,Nopember 2015,
24,Cijawura,APBD,200,42309,
25,Cijawura,DPA Kelurahan,81,Des 2015,PIPPK
26,Jatisari,Dinas Pertanian,100,Des 2015,
27,Jatisari,DPA Kelurahan,200,Des 2015,
,JUMLAH,,1890,,
