bulan,jml_imb_2013,jml_retribusi_2013
Januari,449,6894611375
Februari,570,7384523512
Maret,405,2932851489
April,651,6827296543
Mei,586,11683127890
Juni,465,3930423801
Juli,589,9167869355
Agustus,176,2636556114
September,597,7672247945
Oktober,435,9360941127
November,437,2455437998
Desember,447,2872369756
