Kode,Kecamatan,Lintang Selatan,"Bujur Timur",Ketinggian
10,Bandung Kulon,6.9252,107.5745,709
20,Babakan Ciparay,6.9371,107.583,697
30,Bojongloa Kaler,6.9388,107.5938,694
40,Bojongloa Kidul,6.94285,107.5967,689
50,Astanaanyar,6.9319,107.5998,695
60,Regol,6.94607,107.6118,686
70,Lengkong,6.9281,107.6241,696
80,Bandung Kidul,6.959,107.6365,670
90,Buahbatu,6.9612,107.6667,670
100,Rancasari,6.948,107.6749,670
101,Gedebage,6.9626,107.6873,666
110,Cibiru,6.9291,107.72,706
111,Panyileukan,6.936,107.6995,675
120,Ujung Berung,6.913,107.7014,698
121,Cinambo,6.9244,107.6952,677
130,Arcamanik,6.918,107.685,680
141,Antapani,6.90395,107.6646,690
142,Mandalajati,6.8955,107.677,760
150,Kiaracondong,6.8955,107.677,760
160,Batununggal,6.9385,107.6371,682
170,Sumur Bandung,6.9131,107.6179,712
180,Andir,6.9082,107.574,733
190,Cicendo,6.9079,107.5974,700
200,Bandung Wetan,6.89728,107.6096,751
210,Cibeunying Kidul,6.89994,107.6371,706
220,Cibeunying Kaler,6.8856,107.6313,750
230,Coblong,6.88351,107.611,792
240,Sukajadi,6.89269,107.588,891
250,Sukasari,6.8694,107.5816,856
260,Cidadap,6.8733,107.5996,848
