No,NAMA PRODUK,HARGA SATUAN,ALAMAT ,KELURAHAN
1,ROLL CAKE BATIK CARACHTER,Rp 35.000 s/d 50.000,JL. KOPO GG. SUKARMA NO.10 RT 03/RW 03 ,Kelurahan Babakan Asih
2,SEPATU OLAH RAGA,Rp 75.000 s/d 90.000,JL. BABAKAN TAROGONG RT. 06/RW. 04 ,Kelurahan Babakan Asih
3,TRESNA RASA,Rp 25.000 s/d 50.000,JL. KOPO GG. SUKALEUEUR RT.04/RW.04 ,Kelurahan Babakan Asih
4,KRUPUK AGUNG,Rp 200 s/d 500,JL. KOPO GG. PA SAHDI RT.03/RW.03,Kelurahan Babakan Asih
5,BATAGOR DAN MINUMAN,Rp 3000 s/d 5000,JL.KOPO GG. H YUSUF II RT.10/RW.01 ,Kelurahan Babakan Asih
