Bulan Kejadian,Lokasi Bencana,Jenis Bencana,Korban Jiwa, Taksiran Kerugian ,latitude,longitude
November,Kelurahan Sukamiskin,Kebakaran,0, - ,-6.918133,107.671847
November,Kelurahan Sadangserang,Kebakaran,0,100000000,-6.889309,107.626339
November,Kelurahan Cisaranten Kidul,Kebakaran,5,25000000,-6.948116,107.695528
November,Kelurahan Cipadung Kidul,Kebakaran,0,10000000,-6.941056,107.711809
November,Kelurahan Mekarmulya,Kebakaran,0, - ,-6.924756,107.703116
November,Kelurahan Turangga,Kebakaran,5,15000000,-6.939074,107.628931
November,Kelurahan Antapani Tengah,Kebakaran,0,500,-6.916625,107.660747
November,Kelurahan Kebon Pisang,Kebakaran,5,1000000,-6.918928,107.617093
November,Kelurahan Pasteur,Kebakaran,5,74000000,-6.891289,107.599337
November,Kelurahan Manjahlega,Kebakaran,5,100000000,-6.949249,107.665927
November,Kelurahan Cipaganti,Kebakaran,0,150000000,-6.890450,107.604516
November,Kelurahan Pelindung Hewan,Kebakaran,5,100000000,-6.940089,107.602296
November,Kelurahan Sukahaji,Kebakaran,20,350000000,-6.927272,107.583802
Desember,Kelurahan Sukamulya,Banjir,1870, - ,-6.929971,107.728227
Desember,Kelurahan Babakan Penghulu,Banjir,2010, - ,-6.936702,107.691087
Desember,Kelurahan Pakemitan,Banjir,445, - ,-6.921146,107.694048
Desember,Kelurahan Cisaranten Wetan,Angin Topan,181, - ,-6.923946,107.688127
Desember,Kelurahan Cipadung Kulon,Angin Topan,2548, - ,-6.922123,107.703127
Desember,Kelurahan Cipadung,Angin Topan,1155, - ,-6.925388,107.717730
Desember,Kelurahan Cisaranten Kulon,Angin Topan,650, - ,-6.926745,107.682207
