Lokasi
Jalan Dr. Rajiman Kecamatan Cicendo
Jalan Dr. Rum Kecamatan Cicendo
Jalan Arjuna Kecamatan Cicendo
Jalan Aruna Kecamatan Cicendo
Jalan Samiaji Kecamatan Cicendo
Jalan Baladewa Kecamatan Cicendo
Jalan Sukawarna Kecamatan Cicendo
Jalan Komodor Udara (Komud) Supadio Kecamatan Cicendo
Jalan Pandu Kecamatan Cicendo
Jalan Dr. Currie Kecamatan Cicendo
Jalan Begawan Sempani Kecamatan Cicendo
Jalan Sadewa Kecamatan Cicendo
Jalan Korawa Kecamatan Cicendo
Jalan Dr. Erlih Kecamatan Cicendo
"Jalan Cipamokolan, Derwati, Mekarjaya (sepanjang 1900 meter) Kecamatan Rancasari"
Jalan Rancabolang Kelurahan Manjahlega Kecamatan Rancasari (sepanjang 3.250 meter)
Jalan Babakan Ciparay Kecamatan Bojongloa Kaler
Jalan Pagarsih Kecamatan Bojongloa Kaler
Jalan Arjuna (Persimpangan Jalan Rajawali Timur sampai dengan Pintu Rel Kereta Api) Kecamatan Andir
"Jalan Purwakarta, Antapani Lama Kelurahan Antapani Kidul Rukun Warga (RW) 05 Rukun Tetangga (RT) 01 (Tanah Milik Dinas Bina Marga dan Pengairan Kota Bandung) Kecamatan Antapani"
Jalan Taman Holis Indah Kelurahan Cigondewah Kidul dan Kelurahan Cigondewah Kaler Kecamatan Bandung Kulon
Lapangan Taman Holis Indah Kelurahan Cigondewah Kidul Kecamatan Bandung Kulon
Rukun Warga (RW) 03 Kelurahan Cihaurgeulis Kecamatan Cibeunying Kaler
Rukun Warga (RW) 06 Kelurahan Cihaurgeulis Kecamatan Cibeunying Kaler
Rukun Warga (RW) 09 Kelurahan Cihaurgeulis Kecamatan Cibeunying Kaler
Rukun Warga (RW) 14 Kelurahan Cihaurgeulis Kecamatan Cibeunying Kaler
Jalan Gelap Nyawang Kelurahan Lebak Siliwangi Kecamatan Coblong
Jalan Teuku Umar (samping outlet Grande) Kelurahan Dago Kecamatan Coblong
Jalan Kindang Pananjung Kecamatan Coblong
Jalan Rancabayawak Kelurahan Cisaranten Kidul Kecamatan Gedebage
Jalan Enur Kelurahan Braga Kecamatan Sumur Bandung
Jalan Kebon Sirih sekitar Polisi Sektor (Polsek) Sumur Bandung sampai dengan belokan Sari Petojo Kelurahan Braga Kecamatan Sumur Bandung
Jalan Barangsiang Rukun Warga (RW) 12 Kelurahan Kebon Pisang Kecamatan Sumur Bandung
Jalan Kosambi Rukun Warga (RW) 01 sampai dengan Rukun Warga (RW) 06 Kelurahan Kebon Pisang Kecamatan Sumur Bandung
Jalan Achmad Yani (dari depan pasar Kosambi) Kelurahan Kebon Pisang Kecamatan Sumur Bandung
Jalan Rangga gading Kelurahan Tamansari Kecamatan Bandung Wetan
Jalan Tamansari Bawah Kelurahan Tamansari Kecamatan Bandung Wetan
Jalan Tamansari Bawah depan gerbang Universitas Islam Bandung (UNISBA) Kelurahan Tamansari Kecamatan Bandung Wetan
Jalan Tamansari (samping Universitas Islam Bandung (UNISBA) Kecamatan Bandung Wetan
Jalan Cihampelas Atas Kelurahan Tamansari Kecamatan Bandung Wetan
Jalan Linggawastu Kelurahan Tamansari Kecamatan Bandung Wetan
Jalan Cimanuk depan Sekolah Menengah Pertama Negeri (SMPN) 44 Kecamatan Bandung Wetan
Jalan Ternate Kelurahan Citarum Kecamatan Bandung Wetan
Jalan Ambon Kelurahan Citarum Kecamatan Bandung Wetan
Jalan Trunojoyo Bawah Kelurahan Citarum Kecamatan Bandung Wetan
Jalan Sultan Agung Kelurahan Citarum Kecamatan Bandung Wetan
Jalan Progo Kelurahan Citarum Kecamatan Bandung Wetan
Jalan Pasar Cihapit (Polsek)/Graha Wanita Kelurahan Cihapit Kecamatan Bandung Wetan
"Jalan Cihapit, Taman Cibeunying Kelurahan Cihapit Kecamatan Bandung Wetan"
Jalan Taman Cibeunying Selatan Kelurahan Cihapit Kecamatan Bandung Wetan
Jalan Taman Cibeunying Utara Kelurahan Cihapit Kecamatan Bandung Wetan
Jalan Anggrek Kelurahan Cihapit Kecamatan Bandung Wetan
Jalan Lombok Kelurahan Cihapit Kecamatan Bandung Wetan
Jalan Johar Kelurahan Cihapit Kecamatan Bandung Wetan
Jalan Cendana Kelurahan Cihapit Kecamatan Bandung Wetan
Sekitar Jalan Burangrang (khusus makanan/minuman) Kecamatan Lengkong
Jalan Cikutra (kecuali depan Rumah Sakit (RS) Santo Yusuf) Kecamatan Cibeunying Kidul
Karangsetra Kecamatan Cidadap
Kawasan Punclut Kecamatan Cidadap
Jalan Arjuna (Persimpangan Jalan Rajawali Timur sampai dengan Rel Kereta Api (KA)) Kecamatan Andir
Jalan Taman Holis Kelurahan Cigondewah Kidul dan Kelurahan Cigondewah Kaler Kecamatan Bandung Kulon
"Lapangan Taman Holis Indah Kelurahan Cigondewah Kidul, Cigondewah Kaler Kecamatan Bandung Kulon"
