NO,NAMA PERUSAHAAN,ALAMAT,KET
116,ROUMAH ENAK ENAK,Jl. Cihapit No. 33,
117,RUMAH NENEK,Jalan Tmn Cibeunying Selatan No.41,
118,RUMAH MAKAN DAPOER PENYET,Jl. Buah Batu No. 262,
119,SUKI TIME,BSM Lt. 2 Unit D 02-03 Jl. Gatsu,
120,SAMARA GUNUNG,Jl. Naripan No. 79,
121,SAMBEL HEJO,Jl. Mekar Kencana No. 60,Baru September 2011
122,SARI SUNDA,Jalan DR. Setiabudhi No. 86-88,
123,SARI SUNDA,Jalan Lengkong Besar No. 77,
124,SAUNG RASA,Jalan Jenderal Ahmad Yani No. 259,tutup
125,SEDAP MALAM,Jalan Burangrang No. 11,P.A. 2007
126,SEDERHANA,Jalan DR. Djunjunan No. 120,P.A. 2006
127,SUKI TIME,BSM Lt.2 D.02-03 Jl. Gatsu,
128,SEDERHANA,Jl. Soekarno Hatta No. 508,
129,SEDERHANA BINTARO,Jl. Pel. Pejuang 45 No. 72,P.A. 2010
130,SEDERHANA BINTARO,Jl. Jend. Sudirman No. 111-113,
131,SIMPANG RAYA,Jl. Ir.H.Djuanda No.55,
132,SPEAK EASY RESTO,Jl. Maulana Yusuf No. 5,
133,SUHARTA RAJA SEAFOOD CIREBON,Jl. Naripan No. 114,
134,SULAWESI,Jalan DR. Setiabudhi No. 35,
135,SUMBER HIDANGAN,Jalan Braga No. 20,
136,SUNDA KELAPA,Jalan Sumatera Belakang No. 7,
137,TALIWANG BERSAUDARA,Jl. Citarum No. 29,
138,TASTE OF INDIA,Jl. Pasirkaliki No. 44,Baru Februari 2011
139,THE BEACH,Jln Prof.Drg.Surya Somantri No.III C,
140,THE CELLAR CAFê AND LOUNGE,Jl. Diponegoro No. 9,
141,TOBA TABO,Jl. Palasari No. 30,
142,TOJOYO,Jalan Prabudimuntur No. 22,
143,TOMO SUSHI dan MORE,Jl. Sukajadi No. 137-139 PVJ,
144,THREE DOLPHINE DINER,Jl. Cigadung Raya Barat No. 3,
145,VOEDSEL DOINF,Jl. R.E Martadinata No. 189 A,
146,WAROENG KITA,Jl. Jend. Gatot Subroto No. 289,
147,WARUNG NASI 'AMPERA',Jl. Oto Iskandardinata No. 61,Feb-12
148,WARUNG NASI 'AMPERA',Gang  Kaum No. 54/15-A,
149,WARUNG SATE SHINTA,Jl. Diponegoro No. 54,P.A. 2008
150,"WARUNG SATE SIDAREJA ""PAK GINO""",Jl. Supratman No. 104,
151,WARUNG MAKAN STEAK & SHAKE,Jl. Gatot Subroto No. 28,
152,WARUNG SATE KAMBING SIDAREJA,Jl. Sunda No. 76,
