NO.,KELURAHAN,,KARTU KELUARGA,,KTP,SKTS,SK. AHLI WARIS
1.,CISARANTEUN KIDUL,,127,,106,0,5
2.,RANCABOLANG,,19,,24,0,3
3.,CIMINCRANG ,,14,,17,0,1
4.,RANCANUMPANG,,27,,34,0,1
,JUMLAH,,187,,181,0,10
