NO,KELURAHAN,JUMLAH RT,JUMLAH RW,JUMLAH KEPALA KELUARGA WNI,JUMLAH KEPALA KELUARGA WNA,JUMLAH PENDUDUK PRIA,JUMLAH PENDUDUK WANITA,ISLAM,KRISTEN,KHATOLIK,HINDU,BUDHA,KEPERCAYAAN,KONGHUCHU
1,Jamika,105,11,31928,0,16268,15660,20549,6440,3956,0,983,0,0
2,Babakan Tarogong,70,7,6932,0,12338,11898,22196,1916,109,4,11,0,0
3,Babakan Asih,59,7,3368,0,7578,7177,13860,774,80,5,36,0,0
4,Kopo,86,12,6451,0,14048,15476,25380,2817,1220,55,52,0,0
5,Sukaasih,75,10,7174,1,10758,10372,20074,608,246,0,101,43,58
