Nama Lembaga,Jenis Satuan,No. NPSN/NILEK/  NILEM,Status,Alamat,Kelurahan,Kecamatan,PTK_LakiLaki,PTK_Perempuan,Siswa_LakiLaki,Siswa_Perempuan
BUNGA ALAMI,TK,20254852,Swasta,BABAKAN CIANJUR,Campaka,Andir,0,10,19,18
BUNGA HARAPAN,TK,20254855,Swasta,PALEDANG 25 RT. 01/02,Campaka,Andir,0,2,8,7
TAWEKAL,TK,20254850,Swasta,SAPTAMARGA CIBEUERUM,Campaka,Andir,0,3,7,17
NURSAADAH,TK,20254832,Swasta,ANDIR NO.23/78,Ciroyom,Andir,0,3,15,11
DAHLIA,TK,20254836,Swasta,JL. RAJAWALI TIMUR NO. 88,Ciroyom,Andir,0,3,37,24
MARIA BINTANG LAUT,TK,20254844,Swasta,KEBON JATI NO. 209,Ciroyom,Andir,0,9,55,54
AISYIYAH,TK,20254846,Swasta,JL. ANDIR GG. RI WINATA 316A,Dungus Cariang,Andir,0,4,27,33
PRASISTHA,TK,20254842,Swasta,JL. ANDIR RI WINATA NO. 15,Dungus Cariang,Andir,1,5,36,25
BPK PENABUR 638,TK,20254841,Swasta,JL. JENDRAL SUDIRMAN 638,Dungus Cariang,Andir,0,17,116,84
DWISAKTI,TK,20254843,Swasta,JL. LAKSMUD NURTANIO NO. 58,Garuda,Andir,3,7,31,32
MELATI,TK,20254856,Swasta,MALEBER UTARA 27,Garuda,Andir,0,3,9,17
YWKA,TK,20254834,Swasta,RAJAWALI NO 6,Garuda,Andir,1,4,27,16
PASUNDAN ISTRI,TK,20254835,Swasta,JL KEBON JERUK 196,Kebon Jeruk,Andir,0,3,15,12
ARISTA,TK,20254833,Swasta,JL KEBONJATI NO 43,Kebon Jeruk,Andir,0,3,3,2
BALA KESELAMATAN,TK,20254848,Swasta,JL. GARDU JATI,Kebon Jeruk,Andir,0,2,3,4
ARIESTA,TK,20254833,Swasta,JL. KEBON JATI 144/8A,Kebon Jeruk,Andir,0,3,6,3
TERATAI,TK,20254831,Swasta,JL. MALEBER BARAT NO. 15,Maleber,Andir,0,2,6,12
TERATAI 2,TK,20254859,Swasta,JL. SRIGUNTING 2 NO. 14A,Maleber,Andir,0,2,7,3
PSY CENTER,TK,20276827,Swasta,JL. INDRAMAYU NO. 31,Antapani Kidul,Antapani,0,5,4,6
ASY SYIFA 3,TK,20255120,Swasta,JL. RANDUSARI V,Antapani Kidul,Antapani,0,4,12,16
AISYIYAH 12,TK,20255125,Swasta,KADIPATEN RAYA NO. 4-6,Antapani Kidul,Antapani,0,12,54,59
NURUL IMAN,TK,20255446,Swasta,KARANG ASEM NO. 10 A,Antapani Kidul,Antapani,0,2,8,4
CENTER,TK,,Swasta,MANOKWARI NO. 22,Antapani Kidul,Antapani,0,5,10,6
PELITA 3,TK,20255128,Swasta,JL. CIBATU RAYA NO. 15,Antapani Tengah,Antapani,0,3,17,13
AL-MUNAWWARAOH,TK,20255124,Swasta,JL. DEPOK VI T. 04 RW. 04,Antapani Tengah,Antapani,0,3,11,11
TERATAI MAS,TK,69759458,Swasta,JL. PARAKAN MAS VII NO. 1,Antapani Tengah,Antapani,2,8,15,13
PERTIWI II,TK,20255118,Swasta,JL. SUBANG V NO. 3,Antapani Tengah,Antapani,0,6,31,33
CINEAS,TK,,Swasta,PURWAKARTA NO. 126,Antapani Tengah,Antapani,0,4,17,18
ISLAM MUTIARA HATI,TK,20255130,Swasta,TERUSAN CIKAJANG RAYA,Antapani Tengah,Antapani,0,11,17,20
GENERASI UNGGUL,TK,20255287,Swasta,TERUSAN KUNINGAN NO. 86,Antapani Tengah,Antapani,0,3,10,11
NURUS SA'ADAH,TK,20255129,Swasta,JL. A.H. NASUTION KM. 7 KAMPUNG BUNISARI RT. 02 RW. 07,Antapani Wetan,Antapani,0,3,10,10
AISYIYAH 20,TK,20255122,Swasta,JL. ANTAPANI TARUMASARI NO. 110 RT. 01 RW. 05,Antapani Wetan,Antapani,0,3,4,13
KARYA PUTRA 2,TK,20255119,Swasta,JL. SINDANGSARI 1,Antapani Wetan,Antapani,0,2,15,17
PLUS AL-MUSLIMUN,TK,69759459,Swasta,JL. SINDANGSARI 1 NO. 11 RT. 02 RW. 08,Antapani Wetan,Antapani,2,4,54,54
AISYIYAH 17,TK,20255127,Swasta,Jl. Tanjungsari Raya No. 2A,Antapani Wetan,Antapani,0,4,18,16
NURSALAM,TK,20255145,Swasta,CICUKANG NO. 56,Cisaranten Bina Harapan,Arcamanik,0,2,9,6
LARISSA,TK,20255144,Swasta,GOLF SELATAN III NO. 12,Cisaranten Bina Harapan,Arcamanik,0,3,17,23
PUTRA 1,TK,20255143,Swasta,JL. GOLF SELATAN VII NO. 25,Cisaranten Bina Harapan,Arcamanik,0,7,37,33
TKIT LOQMANUL HAKIM INSAN MADANI,TK,20255159,Swasta,CINGISED KOMP. GRIYACARAKA,Cisaranten endah,Arcamanik,0,11,48,37
ARRAUDHAH,TK,,Swasta,DIRGANTARA,Cisaranten endah,Arcamanik,1,3,,
SABILULUNGAN,TK,20255160,Swasta,JL PARAKANSAAT,Cisaranten endah,Arcamanik,0,1,18,18
