BULAN,PELAJAR_TK,PELAJAR_SD,PELAJAR_SLTP,PELAJAR_SLTA,PELAJAR_Perguruan_Tinggi,Instansi_Pemerintah,Instansi_BUMN,Instansi__BUMD,Karyawan_Hotel,Karyawan_Rumah_Sakit,Pegawai_Swasta,TNI_Polri,Kelurahan_Kecamatan,SATWANKAR,Ormas
Januari,289,,, - , - , - , - ,,30, -- ,30, - , - ,,75
Februari,2,449, - , - , - , - ,45,, - , - ,633, - , - ,,40
Maret,2,308, - ,75, - , - , - ,, - , - ,290, - , - ,, - 
April,843,261,100,100, - ,370, - ,, - ,300, - , - , - ,, - 
Mei ,436,40, - , - ,500,75, - ,,40, - ,285, - ,105,,50
Juni ,358,1,1, - , - ,150,130,, - ,200,285, - ,-   ,550, - 
Juli , - ,-   , - ,470, - , - ,35,, - ,130, - , - ,100,, - 
Agustus ,118,, - , - ,401,160, - ,, - ,180,70,110,50,,50
September ,196,21,300, - ,100,150,303,, - ,100,50, - ,155,,200
Oktober,662,610, - ,1,200,200,105,, - ,250,729, - ,30,,40
November,1,288, - , - ,500,340,450,140,100, - ,100, - ,80,,50
Desember ,1,, - , - ,,50,215,,50,140,125, - ,50,,225
