indikator,kecamatan,kelurahan_desa,jamban_sendiri,jamban_bersama__umum,tidak_ada,total_krt
"Fasilitas BAB","BANDUNG KULON","GEMPOL SARI",349,296,0,645
"Fasilitas BAB","BANDUNG KULON","CIGONDEWAH KALER",603,932,13,1548
"Fasilitas BAB","BANDUNG KULON","CIGONDEWAH KIDUL",197,225,0,422
"Fasilitas BAB","BANDUNG KULON","CIGONDEWAH RAHAYU",302,326,10,638
"Fasilitas BAB","BANDUNG KULON",CARINGIN,129,119,0,248
"Fasilitas BAB","BANDUNG KULON","WARUNG MUNCANG",744,1012,0,1756
"Fasilitas BAB","BANDUNG KULON",CIBUNTU,472,390,4,866
"Fasilitas BAB","BANDUNG KULON",CIJERAH,610,810,0,1420
"Fasilitas BAB","BABAKAN CIPARAY",MARGASUKA,292,362,8,662
"Fasilitas BAB","BABAKAN CIPARAY",CIRANGRANG,329,319,2,650
"Fasilitas BAB","BABAKAN CIPARAY","MARGAHAYU UTARA",536,587,2,1125
"Fasilitas BAB","BABAKAN CIPARAY","BABAKAN CIPARAY",806,1079,0,1885
"Fasilitas BAB","BABAKAN CIPARAY",BABAKAN,1112,1010,40,2162
"Fasilitas BAB","BABAKAN CIPARAY",SUKAHAJI,1169,939,11,2120
"Fasilitas BAB","BOJONGLOA KALER",KOPO,912,912,4,1828
"Fasilitas BAB","BOJONGLOA KALER","SUKA ASIH",943,888,3,1835
"Fasilitas BAB","BOJONGLOA KALER","BABAKAN ASIH",698,723,0,1421
"Fasilitas BAB","BOJONGLOA KALER","BABAKAN TAROGONG",1357,1088,3,2448
"Fasilitas BAB","BOJONGLOA KALER",JAMIKA,1172,1344,7,2523
"Fasilitas BAB","BOJONGLOA KIDUL","CIBADUYUT KIDUL",292,335,0,627
"Fasilitas BAB","BOJONGLOA KIDUL","CIBADUYUT WETAN",280,149,2,431
"Fasilitas BAB","BOJONGLOA KIDUL","MEKAR WANGI",465,320,19,804
"Fasilitas BAB","BOJONGLOA KIDUL",CIBADUYUT,520,400,1,921
"Fasilitas BAB","BOJONGLOA KIDUL","KEBON LEGA",612,533,5,1150
"Fasilitas BAB","BOJONGLOA KIDUL",SITUSAEUR,690,510,3,1203
"Fasilitas BAB",ASTANAANYAR,KARASAK,237,205,0,442
"Fasilitas BAB",ASTANAANYAR,"PELINDUNG HEWAN",414,446,0,860
"Fasilitas BAB",ASTANAANYAR,NYENGSERET,162,451,2,615
"Fasilitas BAB",ASTANAANYAR,PANJUNAN,195,230,0,425
"Fasilitas BAB",ASTANAANYAR,CIBADAK,236,347,0,583
"Fasilitas BAB",ASTANAANYAR,"KARANG ANYAR",53,115,8,176
"Fasilitas BAB",REGOL,CISEUREUH,310,608,0,918
"Fasilitas BAB",REGOL,PASIRLUYU,464,565,9,1038
"Fasilitas BAB",REGOL,ANCOL,246,231,0,477
"Fasilitas BAB",REGOL,CIGERELENG,186,185,0,371
"Fasilitas BAB",REGOL,CIATEUL,73,138,0,211
"Fasilitas BAB",REGOL,PUNGKUR,77,156,0,233
"Fasilitas BAB",REGOL,"BALONG GEDE",93,138,0,231
"Fasilitas BAB",LENGKONG,CIJAGRA,134,121,1,256
"Fasilitas BAB",LENGKONG,TURANGGA,77,86,0,163
"Fasilitas BAB",LENGKONG,"LINGKAR SELATAN",56,57,0,113
"Fasilitas BAB",LENGKONG,MALABAR,77,231,1,309
"Fasilitas BAB",LENGKONG,BURANGRANG,157,302,0,459
"Fasilitas BAB",LENGKONG,CIKAWAO,83,270,1,354
"Fasilitas BAB",LENGKONG,PALEDANG,115,133,2,250
"Fasilitas BAB","BANDUNG KIDUL",WATES,339,332,0,671
"Fasilitas BAB","BANDUNG KIDUL",MENGGER,234,229,2,465
"Fasilitas BAB","BANDUNG KIDUL",BATUNUNGGAL,484,643,3,1130
"Fasilitas BAB","BANDUNG KIDUL",KUJANGSARI,707,418,1,1126
"Fasilitas BAB",BUAHBATU,CIJAURA,919,501,4,1424
"Fasilitas BAB",BUAHBATU,MARGASARI,1509,420,9,1938
"Fasilitas BAB",BUAHBATU,SEKEJATI,532,351,10,893
"Fasilitas BAB",BUAHBATU,"JATI SARI",183,112,1,296
"Fasilitas BAB",RANCASARI,DERWATI,738,342,49,1129
"Fasilitas BAB",RANCASARI,CIPAMOKOLAN,501,156,0,657
"Fasilitas BAB",RANCASARI,MANJAHLEGA,249,139,0,388
"Fasilitas BAB",RANCASARI,MEKARJAYA,470,187,3,660
"Fasilitas BAB",GEDEBAGE,RANCABOLANG,245,105,5,355
"Fasilitas BAB",GEDEBAGE,RANCANUMPANG,102,22,0,124
"Fasilitas BAB",GEDEBAGE,"CISARANTEN KIDUL",391,422,5,818
"Fasilitas BAB",GEDEBAGE,CIMINCRANG,155,92,2,249
"Fasilitas BAB",CIBIRU,"PASIR BIRU",614,349,7,970
"Fasilitas BAB",CIBIRU,CIPADUNG,652,479,9,1140
"Fasilitas BAB",CIBIRU,PALASARI,438,411,2,851
"Fasilitas BAB",CIBIRU,CISURUPAN,557,309,25,891
"Fasilitas BAB",PANYILEUKAN,"MEKAR MULYA",60,49,0,109
"Fasilitas BAB",PANYILEUKAN,"CIPADUNG KIDUL",115,54,6,175
"Fasilitas BAB",PANYILEUKAN,"CIPADUNG WETAN",111,233,4,348
"Fasilitas BAB",PANYILEUKAN,"CIPADUNG KULON",320,329,4,653
"Fasilitas BAB","UJUNG BERUNG",PASANGGRAHAN,817,465,4,1286
"Fasilitas BAB","UJUNG BERUNG",PASIRJATI,643,453,8,1104
"Fasilitas BAB","UJUNG BERUNG","PASIR WANGI",603,534,6,1143
"Fasilitas BAB","UJUNG BERUNG",CIGENDING,483,430,1,914
"Fasilitas BAB","UJUNG BERUNG","PASIR ENDAH",198,163,5,366
"Fasilitas BAB",CINAMBO,"CISARANTEN WETAN",222,101,2,325
"Fasilitas BAB",CINAMBO,"BABAKAN PENGHULU",172,242,0,414
"Fasilitas BAB",CINAMBO,PAKEMITAN,139,52,0,191
"Fasilitas BAB",CINAMBO,SUKAMULYA,185,175,0,360
"Fasilitas BAB",ARCAMANIK,"CISARANTEN KULON",783,263,15,1061
