Jenis Kelamin,Tahun,Partisipasi(Persen)
Laki-Laki,2011,80.08
Perempuan,2012,81.07
Laki-laki+Perempuan,2013,82.5
Laki-Laki,2011,42.24
Perempuan,2012,44.81
Laki-laki+Perempuan,2013,44.28
Laki-Laki,2011,61.4
Perempuan,2012,63.14
Laki-laki+Perempuan,2013,63.61
